rank,trigram,frequency
1,like monster hunter,27
2,like salt sanctuary,20
3,2d monster hunter,15
4,sequel salt sanctuary,12
5,2d dark souls,11
6,monster hunter style,11
7,good salt sanctuary,10
8,play salt sanctuary,10
9,salt sanctuary it's,10
10,souls monster hunter,10
11,hunter dark souls,9
12,loved salt sanctuary,9
13,monster hunter dark,9
14,played salt sanctuary,9
15,salt sanctuary still,9
16,salt sanctuary like,8
17,different salt sanctuary,7
18,fight each other,7
19,it's salt sanctuary,7
20,more monster hunter,7
21,predecessor salt sanctuary,7
22,2d souls like,6
23,dark souls like,6
24,dark souls salt,6
25,don't know what,6
26,love salt sanctuary,6
27,more like monster,6
28,salt sacrifice has,6
29,salt sanctuary better,6
30,all over place,5
31,almost every boss,5
32,chase around map,5
33,dark souls monster,5
34,different first one,5
35,don't feel like,5
36,don't know how,5
37,don't know why,5
38,enjoyed salt sanctuary,5
39,fan salt sanctuary,5
40,it's monster hunter,5
41,it's more like,5
42,mages over over,5
43,one has scaling,5
44,over over again,5
45,salt sacrifice good,5
46,salt sanctuary don't,5
47,salt sanctuary instead,5
48,salt sanctuary one,5
49,salt sanctuary salt,5
50,sanctuary salt sacrifice,5
51,some monster hunter,5
52,better first one,4
53,better salt sanctuary,4
54,compared salt sanctuary,4
55,don't go expecting,4
56,don't have any,4
57,every time go,4
58,feel more like,4
59,feels like it's,4
60,fighting each other,4
61,first salt sanctuary,4
62,give thumbs up,4
63,have bad time,4
64,have good time,4
65,have lot fun,4
66,i've never played,4
67,isn't salt sanctuary,4
68,it's good idea,4
69,like first one,4
70,like salt sacrifice,4
71,liked salt sanctuary,4
72,mage you're hunting,4
73,metroidvania monster hunter,4
74,monster hunter 2d,4
75,monster hunter salt,4
76,monster hunter souls,4
77,monster hunter type,4
78,monster hunter world,4
79,nothing like first,4
80,only one has,4
81,original salt sanctuary,4
82,out way first,4
83,people complain about,4
84,salt sanctuary both,4
85,salt sanctuary different,4
86,salt sanctuary first,4
87,salt sanctuary had,4
88,salt sanctuary many,4
89,salt sanctuary monster,4
90,salt sanctuary more,4
91,salt sanctuary much,4
92,salt sanctuary other,4
93,salt sanctuary some,4
94,sanctuary monster hunter,4
95,still worth playing,4
96,weapons only one,4
97,actual boss fight,3
98,after all time,3
99,all above below,3
100,all negative reviews,3
