review_created_year_month,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage
2023-11,394,249,145,63.198,36.802
2023-12,107,66,41,61.6822,38.3178
2024-01,78,56,22,71.7949,28.2051
2024-02,23,19,4,82.6087,17.3913
2024-03,90,55,35,61.1111,38.8889
2024-04,30,19,11,63.3333,36.6667
2024-05,156,93,63,59.6154,40.3846
2024-06,45,31,14,68.8889,31.1111
2024-07,82,48,34,58.5366,41.4634
2024-08,37,26,11,70.2703,29.7297
2024-09,22,13,9,59.0909,40.9091
2024-10,22,16,6,72.7273,27.2727
2024-11,33,18,15,54.5455,45.4545
2024-12,91,50,41,54.9451,45.0549
2025-01,55,32,23,58.1818,41.8182
2025-02,79,53,26,67.0886,32.9114
2025-03,62,37,25,59.6774,40.3226
2025-04,26,14,12,53.8462,46.1538
2025-05,22,12,10,54.5455,45.4545
2025-06,25,18,7,72.0,28.0
2025-07,54,33,21,61.1111,38.8889
2025-08,23,17,6,73.913,26.087
2025-09,38,25,13,65.7895,34.2105
2025-10,33,18,15,54.5455,45.4545
2025-11,23,8,15,34.7826,65.2174
2025-12,35,25,10,71.4286,28.5714
2026-01,54,31,23,57.4074,42.5926
2026-02,36,24,12,66.6667,33.3333
2026-03,39,30,9,76.9231,23.0769
2026-04,9,5,4,55.5556,44.4444
