metric,value
app_id,1437400
game_slug,salt_and_sacrifice
game_title,Salt and Sacrifice
target_language,english
rows_in_cleaned_dataset,1823
rows_in_target_language,743
reviews_with_usable_text,729
reviews_with_any_emotion_match,657
total_tokens_analysed,55501
total_emotion_token_matches,10948
reviews_with_positive_signal,595
reviews_with_joy_signal,543
reviews_with_anticipation_signal,555
reviews_with_trust_signal,509
reviews_with_surprise_signal,374
reviews_with_negative_signal,496
reviews_with_fear_signal,413
reviews_with_sadness_signal,418
reviews_with_anger_signal,379
reviews_with_disgust_signal,315
