emotion,total_hits,hits_per_1000_tokens,reviews_with_emotion,review_share_with_emotion,mean_count_per_review,mean_per_100_tokens
positive,5067,91.295652,595,81.6187,6.950617,14.909211
joy,2574,46.377543,543,74.4856,3.530864,10.593186
anticipation,3208,57.80076,555,76.1317,4.400549,11.432372
trust,2946,53.080125,509,69.8217,4.041152,8.702396
surprise,1122,20.215852,374,51.3032,1.539095,4.693429
negative,4256,76.683303,496,68.0384,5.838134,8.117704
fear,2856,51.458532,413,56.6529,3.917695,4.788446
sadness,2069,37.278608,418,57.3388,2.838134,4.343173
anger,2165,39.008306,379,51.989,2.969822,3.235312
disgust,1188,21.40502,315,43.2099,1.62963,2.636031
