emotion,rank,token,frequency,relative_frequency_per_1000_emotion_hits
anger,1,bad,164,75.750577
anger,2,combat,153,70.669746
anger,3,fight,129,59.584296
anger,4,attack,112,51.732102
anger,5,damage,108,49.884527
anger,6,enemy,93,42.95612
anger,7,hit,92,42.494226
anger,8,annoying,71,32.794457
anger,9,hunting,66,30.484988
anger,10,fighting,62,28.637413
anger,11,death,48,22.170901
anger,12,coop,41,18.937644
anger,13,tree,40,18.475751
anger,14,hate,36,16.628176
anger,15,difficulty,31,14.318707
anger,16,limited,29,13.394919
anger,17,killing,27,12.471132
anger,18,feeling,26,12.009238
anger,19,shot,24,11.08545
anger,20,attacking,23,10.623557
anger,21,terrible,23,10.623557
anger,22,unfair,19,8.775982
anger,23,money,18,8.314088
anger,24,hell,15,6.928406
anger,25,chaotic,15,6.928406
anger,26,chaos,15,6.928406
anger,27,disappointed,15,6.928406
anger,28,grab,14,6.466513
anger,29,frustration,14,6.466513
anger,30,dislike,14,6.466513
anger,31,lose,14,6.466513
anger,32,poison,12,5.542725
anger,33,complain,12,5.542725
anger,34,beating,12,5.542725
anger,35,broken,11,5.080831
anger,36,dying,11,5.080831
anger,37,awful,11,5.080831
anger,38,invade,11,5.080831
anger,39,force,10,4.618938
anger,40,warp,10,4.618938
anger,41,challenge,10,4.618938
anger,42,losing,9,4.157044
anger,43,punishing,9,4.157044
anger,44,mob,8,3.69515
anger,45,insane,8,3.69515
anger,46,powerful,8,3.69515
anger,47,crazy,8,3.69515
anger,48,complaint,8,3.69515
anger,49,demon,8,3.69515
anger,50,strike,8,3.69515
anger,51,horrible,7,3.233256
anger,52,honest,7,3.233256
anger,53,deserve,7,3.233256
anger,54,blast,7,3.233256
anger,55,damn,6,2.771363
anger,56,execution,6,2.771363
anger,57,disappoint,6,2.771363
anger,58,battle,6,2.771363
anger,59,aggressive,6,2.771363
anger,60,mad,6,2.771363
anger,61,lightning,6,2.771363
anger,62,rating,5,2.309469
anger,63,shooting,5,2.309469
anger,64,hurt,5,2.309469
anger,65,worthless,5,2.309469
anger,66,abandoned,5,2.309469
anger,67,react,5,2.309469
anger,68,murder,5,2.309469
anger,69,ridiculous,5,2.309469
anger,70,remove,5,2.309469
anger,71,disliked,5,2.309469
anger,72,invasion,5,2.309469
anger,73,kick,5,2.309469
anger,74,slam,4,1.847575
anger,75,opposed,4,1.847575
anger,76,stab,4,1.847575
anger,77,disagree,4,1.847575
anger,78,invader,4,1.847575
anger,79,grim,4,1.847575
anger,80,hot,4,1.847575
anger,81,brutal,4,1.847575
anger,82,slash,4,1.847575
anger,83,unforgiving,4,1.847575
anger,84,defense,4,1.847575
anger,85,ruined,4,1.847575
anger,86,atrocious,4,1.847575
anger,87,crime,4,1.847575
anger,88,punished,4,1.847575
anger,89,vampire,3,1.385681
anger,90,endless,3,1.385681
anger,91,deadly,3,1.385681
anger,92,kicking,3,1.385681
anger,93,aggravating,3,1.385681
anger,94,criticism,3,1.385681
anger,95,inconvenient,3,1.385681
anger,96,smack,3,1.385681
anger,97,criminal,3,1.385681
anger,98,aggression,3,1.385681
anger,99,hostile,3,1.385681
anger,100,horrific,3,1.385681
anticipation,1,sanctuary,537,167.394015
anticipation,2,good,354,110.349127
anticipation,3,fun,336,104.738155
anticipation,4,time,237,73.877805
anticipation,5,hunter,203,63.279302
anticipation,6,pretty,98,30.548628
anticipation,7,sequel,77,24.002494
anticipation,8,hunting,66,20.573566
anticipation,9,start,59,18.391521
anticipation,10,enjoy,55,17.144638
anticipation,11,long,50,15.586035
anticipation,12,death,48,14.962594
anticipation,13,perfect,43,13.40399
anticipation,14,art,43,13.40399
anticipation,15,tree,40,12.468828
anticipation,16,progression,35,10.910224
anticipation,17,deal,33,10.286783
anticipation,18,explore,30,9.351621
anticipation,19,progress,27,8.416459
anticipation,20,feeling,26,8.104738
anticipation,21,hope,26,8.104738
anticipation,22,finally,24,7.481297
anticipation,23,thought,24,7.481297
anticipation,24,expect,20,6.234414
anticipation,25,wait,19,5.922693
anticipation,26,farm,19,5.922693
anticipation,27,enjoying,18,5.610973
anticipation,28,money,18,5.610973
anticipation,29,launch,18,5.610973
anticipation,30,expecting,17,5.299252
anticipation,31,top,16,4.987531
anticipation,32,happen,15,4.67581
anticipation,33,expected,14,4.36409
anticipation,34,track,14,4.36409
anticipation,35,luck,13,4.052369
anticipation,36,present,12,3.740648
anticipation,37,coming,12,3.740648
anticipation,38,intended,12,3.740648
anticipation,39,quest,12,3.740648
anticipation,40,store,12,3.740648
anticipation,41,result,11,3.428928
anticipation,42,weight,10,3.117207
