review_created_date_day,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage,cumulative_reviews,review_count_change_vs_previous_day,positive_percentage_change_vs_previous_day
2023-11-07,64,46,18,71.875,28.125,64,,
2023-11-08,45,32,13,71.1111,28.8889,109,-19.0,-0.7639000000000067
2023-11-09,29,19,10,65.5172,34.4828,138,-16.0,-5.593899999999991
2023-11-10,30,17,13,56.6667,43.3333,168,1.0,-8.850500000000004
2023-11-11,22,9,13,40.9091,59.0909,190,-8.0,-15.757599999999996
2023-11-12,26,16,10,61.5385,38.4615,216,4.0,20.629399999999997
2023-11-13,14,10,4,71.4286,28.5714,230,-12.0,9.890100000000004
2023-11-14,14,7,7,50.0,50.0,244,0.0,-21.428600000000003
2023-11-15,18,10,8,55.5556,44.4444,262,4.0,5.555599999999998
2023-11-16,11,7,4,63.6364,36.3636,273,-7.0,8.080800000000004
2023-11-17,10,4,6,40.0,60.0,283,-1.0,-23.636400000000002
2023-11-18,13,6,7,46.1538,53.8462,296,3.0,6.153799999999997
2023-11-19,10,5,5,50.0,50.0,306,-3.0,3.846200000000003
2023-11-20,6,2,4,33.3333,66.6667,312,-4.0,-16.6667
2023-11-21,15,10,5,66.6667,33.3333,327,9.0,33.333400000000005
2023-11-22,21,18,3,85.7143,14.2857,348,6.0,19.04759999999999
2023-11-23,11,7,4,63.6364,36.3636,359,-10.0,-22.077899999999993
2023-11-24,10,9,1,90.0,10.0,369,-1.0,26.363599999999998
2023-11-25,5,3,2,60.0,40.0,374,-5.0,-30.0
2023-11-26,7,3,4,42.8571,57.1429,381,2.0,-17.142899999999997
2023-11-27,3,2,1,66.6667,33.3333,384,-4.0,23.809600000000003
2023-11-28,6,5,1,83.3333,16.6667,390,3.0,16.66659999999999
2023-11-29,1,0,1,0.0,100.0,391,-5.0,-83.3333
2023-11-30,3,2,1,66.6667,33.3333,394,2.0,66.6667
2023-12-01,4,1,3,25.0,75.0,398,1.0,-41.666700000000006
2023-12-02,2,2,0,100.0,0.0,400,-2.0,75.0
2023-12-03,4,3,1,75.0,25.0,404,2.0,-25.0
2023-12-05,5,3,2,60.0,40.0,409,1.0,-15.0
2023-12-06,3,3,0,100.0,0.0,412,-2.0,40.0
2023-12-07,1,0,1,0.0,100.0,413,-2.0,-100.0
2023-12-08,3,2,1,66.6667,33.3333,416,2.0,66.6667
2023-12-09,5,2,3,40.0,60.0,421,2.0,-26.666700000000006
2023-12-10,4,2,2,50.0,50.0,425,-1.0,10.0
2023-12-11,4,2,2,50.0,50.0,429,0.0,0.0
2023-12-12,1,0,1,0.0,100.0,430,-3.0,-50.0
2023-12-13,3,2,1,66.6667,33.3333,433,2.0,66.6667
2023-12-15,2,2,0,100.0,0.0,435,-1.0,33.333299999999994
2023-12-16,3,2,1,66.6667,33.3333,438,1.0,-33.333299999999994
2023-12-17,2,2,0,100.0,0.0,440,-1.0,33.333299999999994
2023-12-18,3,2,1,66.6667,33.3333,443,1.0,-33.333299999999994
2023-12-19,2,1,1,50.0,50.0,445,-1.0,-16.666700000000006
2023-12-20,3,2,1,66.6667,33.3333,448,1.0,16.666700000000006
2023-12-21,1,1,0,100.0,0.0,449,-2.0,33.333299999999994
2023-12-22,2,1,1,50.0,50.0,451,1.0,-50.0
2023-12-23,3,2,1,66.6667,33.3333,454,1.0,16.666700000000006
2023-12-24,4,1,3,25.0,75.0,458,1.0,-41.666700000000006
2023-12-25,4,1,3,25.0,75.0,462,0.0,0.0
2023-12-26,8,6,2,75.0,25.0,470,4.0,50.0
2023-12-27,7,5,2,71.4286,28.5714,477,-1.0,-3.571399999999997
2023-12-28,5,3,2,60.0,40.0,482,-2.0,-11.428600000000003
2023-12-29,4,3,1,75.0,25.0,486,-1.0,15.0
2023-12-30,13,8,5,61.5385,38.4615,499,9.0,-13.461500000000001
2023-12-31,2,2,0,100.0,0.0,501,-11.0,38.4615
2024-01-01,2,1,1,50.0,50.0,503,0.0,-50.0
2024-01-02,5,4,1,80.0,20.0,508,3.0,30.0
2024-01-03,6,4,2,66.6667,33.3333,514,1.0,-13.333299999999994
2024-01-04,3,2,1,66.6667,33.3333,517,-3.0,0.0
2024-01-05,7,5,2,71.4286,28.5714,524,4.0,4.761899999999997
2024-01-06,9,6,3,66.6667,33.3333,533,2.0,-4.761899999999997
2024-01-07,4,3,1,75.0,25.0,537,-5.0,8.333299999999994
2024-01-08,2,1,1,50.0,50.0,539,-2.0,-25.0
2024-01-09,3,3,0,100.0,0.0,542,1.0,50.0
2024-01-10,2,2,0,100.0,0.0,544,-1.0,0.0
2024-01-11,3,1,2,33.3333,66.6667,547,1.0,-66.66669999999999
2024-01-12,2,1,1,50.0,50.0,549,-1.0,16.6667
2024-01-13,1,0,1,0.0,100.0,550,-1.0,-50.0
2024-01-14,2,2,0,100.0,0.0,552,1.0,100.0
2024-01-15,1,1,0,100.0,0.0,553,-1.0,0.0
2024-01-16,2,1,1,50.0,50.0,555,1.0,-50.0
2024-01-17,1,1,0,100.0,0.0,556,-1.0,50.0
2024-01-18,2,1,1,50.0,50.0,558,1.0,-50.0
2024-01-19,2,1,1,50.0,50.0,560,0.0,0.0
