review_created_date_month,review_count,reviews_with_developer_response,mean_days_to_developer_response,median_days_to_developer_response,developer_response_percentage,developer_responses_created_in_month,negative_reviews,negative_reviews_with_response,negative_response_percentage,positive_reviews,positive_reviews_with_response,positive_response_percentage
2023-11,394,2,49.6145,49.6145,0.5076,,145,2,1.3793,249,0,0.0
2023-12,107,2,4.2175,4.2175,1.8692,4.0,41,2,4.878,66,0,0.0
2024-01,78,0,,,0.0,,22,0,0.0,56,0,0.0
2024-02,23,0,,,0.0,,4,0,0.0,19,0,0.0
2024-03,90,0,,,0.0,,35,0,0.0,55,0,0.0
2024-04,30,0,,,0.0,,11,0,0.0,19,0,0.0
2024-05,156,0,,,0.0,,63,0,0.0,93,0,0.0
2024-06,45,0,,,0.0,,14,0,0.0,31,0,0.0
2024-07,82,0,,,0.0,,34,0,0.0,48,0,0.0
2024-08,37,0,,,0.0,,11,0,0.0,26,0,0.0
2024-09,22,0,,,0.0,,9,0,0.0,13,0,0.0
2024-10,22,0,,,0.0,,6,0,0.0,16,0,0.0
2024-11,33,0,,,0.0,,15,0,0.0,18,0,0.0
2024-12,91,0,,,0.0,,41,0,0.0,50,0,0.0
2025-01,55,0,,,0.0,,23,0,0.0,32,0,0.0
2025-02,79,0,,,0.0,,26,0,0.0,53,0,0.0
2025-03,62,0,,,0.0,,25,0,0.0,37,0,0.0
2025-04,26,0,,,0.0,,12,0,0.0,14,0,0.0
2025-05,22,0,,,0.0,,10,0,0.0,12,0,0.0
2025-06,25,0,,,0.0,,7,0,0.0,18,0,0.0
2025-07,54,0,,,0.0,,21,0,0.0,33,0,0.0
2025-08,23,0,,,0.0,,6,0,0.0,17,0,0.0
2025-09,38,0,,,0.0,,13,0,0.0,25,0,0.0
2025-10,33,0,,,0.0,,15,0,0.0,18,0,0.0
2025-11,23,0,,,0.0,,15,0,0.0,8,0,0.0
2025-12,35,0,,,0.0,,10,0,0.0,25,0,0.0
2026-01,54,0,,,0.0,,23,0,0.0,31,0,0.0
2026-02,36,0,,,0.0,,12,0,0.0,24,0,0.0
2026-03,39,0,,,0.0,,9,0,0.0,30,0,0.0
2026-04,9,0,,,0.0,,4,0,0.0,5,0,0.0
