review_created_date_month,votes_up_count_non_null,votes_up_mean,votes_up_median,votes_up_std,votes_up_min,votes_up_p25,votes_up_p75,votes_up_p90,votes_up_max,votes_funny_count_non_null,votes_funny_mean,votes_funny_median,votes_funny_std,votes_funny_min,votes_funny_p25,votes_funny_p75,votes_funny_p90,votes_funny_max,comment_count_count_non_null,comment_count_mean,comment_count_median,comment_count_std,comment_count_min,comment_count_p25,comment_count_p75,comment_count_p90,comment_count_max,has_helpful_votes_review_count,has_helpful_votes_true_count,has_helpful_votes_percentage,has_funny_votes_review_count,has_funny_votes_true_count,has_funny_votes_percentage,has_comments_review_count,has_comments_true_count,has_comments_percentage
2023-11,394,8.0051,1.0,26.216,0,0.0,5.75,15.0,296,394,0.8579,0.0,2.7193,0,0.0,1.0,2.0,26,394,0.1599,0.0,1.1645,0,0.0,0.0,0.0,18,394,262,66.4975,394,105,26.6497,394,19,4.8223
2023-12,107,4.5981,1.0,11.6123,0,0.0,4.0,11.8,92,107,0.3551,0.0,0.8929,0,0.0,0.0,1.0,5,107,0.0654,0.0,0.4182,0,0.0,0.0,0.0,3,107,57,53.271,107,20,18.6916,107,3,2.8037
2024-01,78,6.5,1.0,16.3745,0,0.0,5.75,14.3,117,78,0.4487,0.0,1.2551,0,0.0,0.0,1.3,8,78,0.0385,0.0,0.2519,0,0.0,0.0,0.0,2,78,49,62.8205,78,15,19.2308,78,2,2.5641
2024-02,23,2.4348,0.0,3.5525,0,0.0,5.0,7.6,11,23,0.4348,0.0,1.1211,0,0.0,0.0,1.0,5,23,0.087,0.0,0.417,0,0.0,0.0,0.0,2,23,11,47.8261,23,5,21.7391,23,1,4.3478
2024-03,90,7.3222,0.0,24.9651,0,0.0,2.75,14.2,193,90,0.6111,0.0,3.4174,0,0.0,0.0,1.0,32,90,0.1556,0.0,0.8983,0,0.0,0.0,0.0,8,90,44,48.8889,90,15,16.6667,90,5,5.5556
2024-04,30,6.4333,1.0,9.9019,0,0.0,8.5,19.5,37,30,1.2333,0.0,4.5689,0,0.0,0.75,2.1,25,30,0.0333,0.0,0.1826,0,0.0,0.0,0.0,1,30,19,63.3333,30,8,26.6667,30,1,3.3333
2024-05,156,2.7115,1.0,6.0716,0,0.0,2.0,7.5,41,156,0.3654,0.0,1.4417,0,0.0,0.0,1.0,15,156,0.0449,0.0,0.3078,0,0.0,0.0,0.0,3,156,80,51.2821,156,24,15.3846,156,4,2.5641
2024-06,45,3.8,1.0,13.9375,0,0.0,3.0,7.6,93,45,0.2,0.0,0.7261,0,0.0,0.0,0.0,4,45,0.1556,0.0,0.9034,0,0.0,0.0,0.0,6,45,23,51.1111,45,4,8.8889,45,2,4.4444
2024-07,82,2.561,1.0,4.611,0,0.0,3.0,7.9,28,82,0.439,0.0,1.3975,0,0.0,0.0,1.0,11,82,0.122,0.0,0.5303,0,0.0,0.0,0.0,4,82,50,60.9756,82,17,20.7317,82,6,7.3171
2024-08,37,3.9459,2.0,8.0724,0,0.0,4.0,7.4,48,37,0.3243,0.0,0.7092,0,0.0,0.0,1.0,3,37,0.1351,0.0,0.4809,0,0.0,0.0,0.0,2,37,25,67.5676,37,8,21.6216,37,3,8.1081
2024-09,22,4.8636,1.5,9.27,0,1.0,5.75,8.7,43,22,0.4545,0.0,1.0108,0,0.0,0.0,1.9,4,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22,17,77.2727,22,5,22.7273,22,0,0.0
