review_created_date_month,language,review_count,positive_reviews,month_total_reviews,review_percentage_within_month,positive_percentage_within_language_month
2023-11,english,182,137,394,46.1929,75.2747
2023-11,schinese,94,38,394,23.8579,40.4255
2023-11,brazilian,20,17,394,5.0761,85.0
2023-11,russian,19,10,394,4.8223,52.6316
2023-11,japanese,16,7,394,4.0609,43.75
2023-11,spanish,16,15,394,4.0609,93.75
2023-11,koreana,11,4,394,2.7919,36.3636
2023-11,tchinese,10,4,394,2.5381,40.0
2023-11,german,8,3,394,2.0305,37.5
2023-11,thai,4,3,394,1.0152,75.0
2023-11,italian,3,2,394,0.7614,66.6667
2023-11,turkish,3,2,394,0.7614,66.6667
2023-11,polish,2,2,394,0.5076,100.0
2023-11,ukrainian,2,2,394,0.5076,100.0
2023-11,french,1,1,394,0.2538,100.0
2023-11,latam,1,1,394,0.2538,100.0
2023-11,portuguese,1,0,394,0.2538,0.0
2023-11,vietnamese,1,1,394,0.2538,100.0
2023-12,english,50,37,107,46.729,74.0
2023-12,schinese,30,14,107,28.0374,46.6667
2023-12,russian,8,4,107,7.4766,50.0
2023-12,spanish,4,2,107,3.7383,50.0
2023-12,brazilian,3,2,107,2.8037,66.6667
2023-12,japanese,3,2,107,2.8037,66.6667
2023-12,tchinese,3,2,107,2.8037,66.6667
2023-12,koreana,2,1,107,1.8692,50.0
2023-12,czech,1,1,107,0.9346,100.0
2023-12,german,1,0,107,0.9346,0.0
2023-12,polish,1,1,107,0.9346,100.0
2023-12,turkish,1,0,107,0.9346,0.0
2024-01,english,38,26,78,48.7179,68.4211
2024-01,schinese,16,11,78,20.5128,68.75
2024-01,brazilian,6,6,78,7.6923,100.0
2024-01,spanish,6,5,78,7.6923,83.3333
2024-01,russian,4,2,78,5.1282,50.0
2024-01,italian,2,1,78,2.5641,50.0
2024-01,polish,2,1,78,2.5641,50.0
2024-01,german,1,1,78,1.2821,100.0
2024-01,japanese,1,1,78,1.2821,100.0
2024-01,koreana,1,1,78,1.2821,100.0
2024-01,tchinese,1,1,78,1.2821,100.0
2024-02,english,8,6,23,34.7826,75.0
2024-02,schinese,5,4,23,21.7391,80.0
2024-02,russian,3,3,23,13.0435,100.0
2024-02,brazilian,2,1,23,8.6957,50.0
2024-02,spanish,2,2,23,8.6957,100.0
2024-02,japanese,1,1,23,4.3478,100.0
2024-02,polish,1,1,23,4.3478,100.0
2024-02,turkish,1,1,23,4.3478,100.0
2024-03,english,35,26,90,38.8889,74.2857
2024-03,schinese,28,12,90,31.1111,42.8571
2024-03,brazilian,4,2,90,4.4444,50.0
2024-03,russian,4,2,90,4.4444,50.0
2024-03,tchinese,4,3,90,4.4444,75.0
2024-03,french,3,3,90,3.3333,100.0
2024-03,koreana,3,1,90,3.3333,33.3333
2024-03,polish,3,3,90,3.3333,100.0
