review_created_date_month,playtime_at_review_band,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage
2023-11,100h+,6,5,1,83.3333,16.6667
2023-11,10h-24h59m,107,66,41,61.6822,38.3178
2023-11,25h-49h59m,50,29,21,58.0,42.0
2023-11,2h-9h59m,148,98,50,66.2162,33.7838
2023-11,30m-1h59m,40,27,13,67.5,32.5
2023-11,50h-99h59m,16,12,4,75.0,25.0
2023-11,<30m,27,12,15,44.4444,55.5556
2023-12,100h+,1,1,0,100.0,0.0
2023-12,10h-24h59m,31,19,12,61.2903,38.7097
2023-12,25h-49h59m,23,14,9,60.8696,39.1304
2023-12,2h-9h59m,32,22,10,68.75,31.25
2023-12,30m-1h59m,11,3,8,27.2727,72.7273
2023-12,50h-99h59m,7,7,0,100.0,0.0
2023-12,<30m,2,0,2,0.0,100.0
2024-01,100h+,4,4,0,100.0,0.0
2024-01,10h-24h59m,24,17,7,70.8333,29.1667
2024-01,25h-49h59m,26,19,7,73.0769,26.9231
2024-01,2h-9h59m,17,10,7,58.8235,41.1765
2024-01,30m-1h59m,2,1,1,50.0,50.0
2024-01,50h-99h59m,5,5,0,100.0,0.0
2024-02,10h-24h59m,3,3,0,100.0,0.0
2024-02,25h-49h59m,7,6,1,85.7143,14.2857
2024-02,2h-9h59m,6,5,1,83.3333,16.6667
2024-02,30m-1h59m,4,3,1,75.0,25.0
2024-02,50h-99h59m,2,2,0,100.0,0.0
2024-02,<30m,1,0,1,0.0,100.0
2024-03,100h+,3,2,1,66.6667,33.3333
2024-03,10h-24h59m,22,15,7,68.1818,31.8182
2024-03,25h-49h59m,22,15,7,68.1818,31.8182
2024-03,2h-9h59m,27,15,12,55.5556,44.4444
2024-03,30m-1h59m,7,2,5,28.5714,71.4286
2024-03,50h-99h59m,4,4,0,100.0,0.0
2024-03,<30m,5,2,3,40.0,60.0
2024-04,100h+,1,1,0,100.0,0.0
2024-04,10h-24h59m,6,4,2,66.6667,33.3333
2024-04,25h-49h59m,8,8,0,100.0,0.0
2024-04,2h-9h59m,10,4,6,40.0,60.0
2024-04,30m-1h59m,1,0,1,0.0,100.0
2024-04,50h-99h59m,3,2,1,66.6667,33.3333
2024-04,<30m,1,0,1,0.0,100.0
2024-05,100h+,2,1,1,50.0,50.0
2024-05,10h-24h59m,56,30,26,53.5714,46.4286
2024-05,25h-49h59m,26,22,4,84.6154,15.3846
2024-05,2h-9h59m,54,32,22,59.2593,40.7407
2024-05,30m-1h59m,10,4,6,40.0,60.0
2024-05,50h-99h59m,7,4,3,57.1429,42.8571
2024-05,<30m,1,0,1,0.0,100.0
2024-06,100h+,3,3,0,100.0,0.0
2024-06,10h-24h59m,14,7,7,50.0,50.0
2024-06,25h-49h59m,12,8,4,66.6667,33.3333
2024-06,2h-9h59m,8,8,0,100.0,0.0
2024-06,30m-1h59m,1,0,1,0.0,100.0
2024-06,50h-99h59m,5,5,0,100.0,0.0
2024-06,<30m,2,0,2,0.0,100.0
2024-07,100h+,1,1,0,100.0,0.0
2024-07,10h-24h59m,22,13,9,59.0909,40.9091
2024-07,25h-49h59m,23,18,5,78.2609,21.7391
2024-07,2h-9h59m,22,11,11,50.0,50.0
2024-07,30m-1h59m,6,1,5,16.6667,83.3333
2024-07,50h-99h59m,6,4,2,66.6667,33.3333
2024-07,<30m,2,0,2,0.0,100.0
2024-08,100h+,1,1,0,100.0,0.0
2024-08,10h-24h59m,9,7,2,77.7778,22.2222
2024-08,25h-49h59m,7,5,2,71.4286,28.5714
2024-08,2h-9h59m,11,8,3,72.7273,27.2727
2024-08,30m-1h59m,2,1,1,50.0,50.0
2024-08,50h-99h59m,6,3,3,50.0,50.0
2024-08,<30m,1,1,0,100.0,0.0
2024-09,100h+,1,1,0,100.0,0.0
2024-09,10h-24h59m,10,5,5,50.0,50.0
2024-09,25h-49h59m,4,2,2,50.0,50.0
2024-09,2h-9h59m,2,1,1,50.0,50.0
2024-09,30m-1h59m,1,0,1,0.0,100.0
2024-09,50h-99h59m,3,3,0,100.0,0.0
2024-09,<30m,1,1,0,100.0,0.0
2024-10,10h-24h59m,4,3,1,75.0,25.0
2024-10,25h-49h59m,6,4,2,66.6667,33.3333
2024-10,2h-9h59m,9,8,1,88.8889,11.1111
2024-10,50h-99h59m,3,1,2,33.3333,66.6667
2024-11,100h+,2,2,0,100.0,0.0
2024-11,10h-24h59m,9,5,4,55.5556,44.4444
2024-11,25h-49h59m,9,3,6,33.3333,66.6667
2024-11,2h-9h59m,10,6,4,60.0,40.0
2024-11,30m-1h59m,1,1,0,100.0,0.0
2024-11,50h-99h59m,2,1,1,50.0,50.0
2024-12,100h+,1,1,0,100.0,0.0
2024-12,10h-24h59m,33,19,14,57.5758,42.4242
2024-12,25h-49h59m,18,11,7,61.1111,38.8889
2024-12,2h-9h59m,30,12,18,40.0,60.0
2024-12,30m-1h59m,4,2,2,50.0,50.0
2024-12,50h-99h59m,4,4,0,100.0,0.0
2024-12,<30m,1,1,0,100.0,0.0
2025-01,10h-24h59m,19,11,8,57.8947,42.1053
2025-01,25h-49h59m,12,9,3,75.0,25.0
2025-01,2h-9h59m,17,9,8,52.9412,47.0588
2025-01,30m-1h59m,2,0,2,0.0,100.0
2025-01,50h-99h59m,5,3,2,60.0,40.0
2025-02,100h+,2,2,0,100.0,0.0
2025-02,10h-24h59m,30,19,11,63.3333,36.6667
2025-02,25h-49h59m,15,14,1,93.3333,6.6667
2025-02,2h-9h59m,20,12,8,60.0,40.0
2025-02,30m-1h59m,6,1,5,16.6667,83.3333
2025-02,50h-99h59m,4,4,0,100.0,0.0
2025-02,<30m,2,1,1,50.0,50.0
2025-03,100h+,3,2,1,66.6667,33.3333
2025-03,10h-24h59m,19,11,8,57.8947,42.1053
2025-03,25h-49h59m,14,11,3,78.5714,21.4286
2025-03,2h-9h59m,20,8,12,40.0,60.0
2025-03,50h-99h59m,6,5,1,83.3333,16.6667
2025-04,10h-24h59m,6,4,2,66.6667,33.3333
2025-04,25h-49h59m,12,7,5,58.3333,41.6667
2025-04,2h-9h59m,6,3,3,50.0,50.0
2025-04,50h-99h59m,2,0,2,0.0,100.0
2025-05,100h+,1,1,0,100.0,0.0
2025-05,10h-24h59m,6,2,4,33.3333,66.6667
2025-05,25h-49h59m,8,4,4,50.0,50.0
2025-05,2h-9h59m,6,4,2,66.6667,33.3333
2025-05,50h-99h59m,1,1,0,100.0,0.0
2025-06,100h+,1,1,0,100.0,0.0
2025-06,10h-24h59m,9,5,4,55.5556,44.4444
2025-06,25h-49h59m,5,5,0,100.0,0.0
2025-06,2h-9h59m,6,5,1,83.3333,16.6667
2025-06,50h-99h59m,3,2,1,66.6667,33.3333
2025-06,<30m,1,0,1,0.0,100.0
2025-07,100h+,1,1,0,100.0,0.0
2025-07,10h-24h59m,23,12,11,52.1739,47.8261
2025-07,25h-49h59m,14,12,2,85.7143,14.2857
2025-07,2h-9h59m,12,5,7,41.6667,58.3333
2025-07,50h-99h59m,4,3,1,75.0,25.0
2025-08,10h-24h59m,7,7,0,100.0,0.0
2025-08,25h-49h59m,8,6,2,75.0,25.0
2025-08,2h-9h59m,5,2,3,40.0,60.0
2025-08,50h-99h59m,3,2,1,66.6667,33.3333
2025-09,10h-24h59m,10,9,1,90.0,10.0
2025-09,25h-49h59m,10,8,2,80.0,20.0
2025-09,2h-9h59m,9,4,5,44.4444,55.5556
