review_created_date_month,review_count,positive_reviews,negative_reviews,unique_reviewers,positive_percentage,negative_percentage,cumulative_reviews,review_count_change_vs_previous_month,positive_percentage_change_vs_previous_month,review_count_rolling_mean_3m,positive_percentage_rolling_mean_3m
2023-11,394,249,145,394,63.198,36.802,394,,,394.0,63.198
2023-12,107,66,41,107,61.6822,38.3178,501,-287.0,-1.5157999999999987,250.5,62.4401
2024-01,78,56,22,78,71.7949,28.2051,579,-29.0,10.112699999999997,193.0,65.5584
2024-02,23,19,4,23,82.6087,17.3913,602,-55.0,10.8138,69.3333,72.0286
2024-03,90,55,35,90,61.1111,38.8889,692,67.0,-21.4976,63.6667,71.8382
2024-04,30,19,11,30,63.3333,36.6667,722,-60.0,2.222200000000001,47.6667,69.0177
2024-05,156,93,63,156,59.6154,40.3846,878,126.0,-3.7179,92.0,61.3533
2024-06,45,31,14,45,68.8889,31.1111,923,-111.0,9.273500000000006,77.0,63.9459
2024-07,82,48,34,82,58.5366,41.4634,1005,37.0,-10.352300000000007,94.3333,62.347
2024-08,37,26,11,37,70.2703,29.7297,1042,-45.0,11.733700000000006,54.6667,65.8986
2024-09,22,13,9,22,59.0909,40.9091,1064,-15.0,-11.179400000000008,47.0,62.6326
2024-10,22,16,6,22,72.7273,27.2727,1086,0.0,13.636400000000002,27.0,67.3628
2024-11,33,18,15,33,54.5455,45.4545,1119,11.0,-18.181800000000003,25.6667,62.1212
2024-12,91,50,41,91,54.9451,45.0549,1210,58.0,0.3995999999999995,48.6667,60.7393
2025-01,55,32,23,55,58.1818,41.8182,1265,-36.0,3.236700000000006,59.6667,55.8908
2025-02,79,53,26,79,67.0886,32.9114,1344,24.0,8.906799999999997,75.0,60.0718
2025-03,62,37,25,62,59.6774,40.3226,1406,-17.0,-7.411200000000001,65.3333,61.6493
2025-04,26,14,12,26,53.8462,46.1538,1432,-36.0,-5.8311999999999955,55.6667,60.2041
2025-05,22,12,10,22,54.5455,45.4545,1454,-4.0,0.6992999999999938,36.6667,56.023
2025-06,25,18,7,25,72.0,28.0,1479,3.0,17.454500000000003,24.3333,60.1306
2025-07,54,33,21,54,61.1111,38.8889,1533,29.0,-10.8889,33.6667,62.5522
2025-08,23,17,6,23,73.913,26.087,1556,-31.0,12.801899999999996,34.0,69.008
2025-09,38,25,13,38,65.7895,34.2105,1594,15.0,-8.123499999999993,38.3333,66.9379
2025-10,33,18,15,33,54.5455,45.4545,1627,-5.0,-11.244000000000007,31.3333,64.7493
2025-11,23,8,15,23,34.7826,65.2174,1650,-10.0,-19.762899999999995,31.3333,51.7059
2025-12,35,25,10,35,71.4286,28.5714,1685,12.0,36.646,30.3333,53.5856
2026-01,54,31,23,54,57.4074,42.5926,1739,19.0,-14.0212,37.3333,54.5395
2026-02,36,24,12,36,66.6667,33.3333,1775,-18.0,9.259300000000003,41.6667,65.1676
2026-03,39,30,9,39,76.9231,23.0769,1814,3.0,10.2564,43.0,66.9991
2026-04,9,5,4,9,55.5556,44.4444,1823,-30.0,-21.367500000000007,28.0,66.3818
