review_created_date_month,num_reviews_count_non_null,num_reviews_mean,num_reviews_median,num_reviews_std,num_reviews_min,num_reviews_p25,num_reviews_p75,num_reviews_p90,num_reviews_max,num_games_owned_count_non_null,num_games_owned_mean,num_games_owned_median,num_games_owned_std,num_games_owned_min,num_games_owned_p25,num_games_owned_p75,num_games_owned_p90,num_games_owned_max,num_reviews_band_1,num_reviews_band_10+,num_reviews_band_2-4,num_reviews_band_5-9,num_games_owned_band_0-9,num_games_owned_band_10-49,num_games_owned_band_100-499,num_games_owned_band_50-99,num_games_owned_band_500+
2023-11,394,51.4949,22.5,96.2947,1,8.0,56.0,117.5,983,394,276.231,114.5,524.4322,0,0.0,370.5,720.3,6285,11,277,47,59,169,3,132,19,71
2023-12,107,52.2243,27.0,73.9914,1,9.0,60.5,137.4,436,107,280.7664,0.0,748.0592,0,0.0,268.5,613.4,6261,7,79,10,11,54,1,32,6,14
2024-01,78,91.3718,19.0,350.4126,1,9.0,48.75,111.0,2995,78,184.1667,0.0,402.6897,0,0.0,183.75,568.9,2835,3,57,8,10,43,4,16,4,11
2024-02,23,46.087,15.0,104.0144,2,8.0,26.0,75.2,491,23,192.4348,79.0,324.2424,0,0.0,208.5,616.2,1324,0,15,3,5,11,0,8,1,3
2024-03,90,52.9889,18.0,96.411,2,8.0,50.0,121.7,581,90,227.4111,65.5,359.2916,0,0.0,303.25,708.8,1502,0,65,10,15,41,2,21,10,16
2024-04,30,30.7667,20.5,35.8451,1,7.25,43.5,54.1,156,30,193.0,12.0,303.4154,0,0.0,331.5,695.1,1131,1,21,2,6,15,2,6,2,5
2024-05,156,33.8141,16.5,54.4944,1,8.0,41.0,74.0,540,156,263.6154,76.0,789.1259,0,0.0,248.25,526.0,7934,4,108,25,19,69,2,53,15,17
2024-06,45,36.3333,14.0,50.1847,1,6.0,39.0,105.4,233,45,245.6444,91.0,351.0892,0,0.0,349.0,697.6,1664,1,31,9,4,17,2,14,4,8
2024-07,82,35.0244,18.0,44.0384,1,5.25,45.25,95.6,193,82,183.7073,0.0,294.3669,0,0.0,267.0,594.9,1378,5,54,13,10,42,2,18,8,12
2024-08,37,45.4054,19.0,61.5952,1,7.0,45.0,128.4,300,37,276.5946,119.0,549.8697,0,0.0,248.0,637.8,3008,1,25,5,6,13,2,16,1,5
2024-09,22,34.3636,15.5,43.2562,1,5.0,45.25,111.2,139,22,127.1818,37.0,216.957,0,0.0,82.75,462.0,794,1,14,3,4,10,1,3,6,2
2024-10,22,41.0455,17.0,51.2542,1,6.25,49.5,123.3,162,22,111.6818,0.0,236.9391,0,0.0,96.0,325.7,1022,1,13,3,5,14,1,5,1,1
2024-11,33,60.7273,12.0,235.4089,1,6.0,28.0,47.8,1366,33,231.8788,28.0,491.4976,0,0.0,197.0,605.0,2222,1,20,5,7,14,4,7,4,4
2024-12,91,45.7033,15.0,89.2679,1,5.5,43.5,100.0,672,91,206.7143,63.0,420.4473,0,0.0,193.0,544.0,3126,6,60,13,12,43,1,26,8,13
2025-01,55,33.4727,15.0,54.1219,1,7.0,38.0,81.4,339,55,108.8,0.0,187.048,0,0.0,194.5,354.6,825,4,35,6,10,34,2,14,2,3
2025-02,79,58.1266,16.0,176.3797,1,5.0,42.0,92.0,1457,79,194.9494,0.0,513.4273,0,0.0,217.0,368.2,3467,5,51,14,9,40,4,23,7,5
2025-03,62,72.371,17.0,272.7522,1,6.0,70.75,112.3,2159,62,206.9194,83.0,390.4826,0,0.0,192.75,437.8,1883,3,41,8,10,24,4,23,6,5
2025-04,26,20.6538,13.0,23.6997,1,6.25,22.5,39.0,110,26,133.1154,0.0,234.7547,0,0.0,255.5,366.0,1046,1,16,3,6,16,0,8,1,1
2025-05,22,43.8636,13.0,105.3309,1,7.25,26.75,74.1,502,22,131.6818,64.0,162.0145,0,0.0,217.75,359.2,516,1,14,2,5,9,2,9,1,1
2025-06,25,30.72,15.0,36.7032,1,9.0,39.0,65.0,165,25,193.8,58.0,362.5909,0,0.0,263.0,344.8,1809,2,18,0,5,9,2,11,2,1
2025-07,54,33.8704,11.5,72.4379,1,3.0,37.75,77.4,489,54,251.2037,56.0,613.3859,0,0.0,265.25,573.6,4203,4,29,16,5,20,6,12,9,7
2025-08,23,16.4783,11.0,17.3961,1,3.0,21.5,47.4,57,23,92.6957,31.0,110.9785,0,0.0,148.5,279.6,316,2,13,7,1,10,2,9,2,0
2025-09,38,518.4211,23.0,2690.5434,1,5.25,111.75,302.3,16648,38,1412.3158,135.0,4986.5708,0,0.0,520.5,1850.8,30424,3,24,6,5,12,3,10,2,11
2025-10,33,47.8485,20.0,81.9146,1,9.0,48.0,80.2,452,33,416.6667,58.0,978.5348,0,0.0,248.0,764.6,4510,1,24,3,5,14,1,11,2,5
2025-11,23,47.2609,26.0,58.7044,1,6.0,74.0,110.6,251,23,156.6522,10.0,302.729,0,0.0,161.5,395.0,1352,1,15,3,4,11,1,7,2,2
