review_created_date_month,review_count,updated_reviews,mean_days_between_creation_and_update,median_days_between_creation_and_update,updated_reviews_percentage
2023-11,394,103,23.0942,0.0,26.1421
2023-12,107,26,32.8242,0.0,24.2991
2024-01,78,17,28.8701,0.0,21.7949
2024-02,23,3,0.7798,0.0,13.0435
2024-03,90,14,11.0421,0.0,15.5556
2024-04,30,5,0.3115,0.0,16.6667
2024-05,156,31,16.645,0.0,19.8718
2024-06,45,6,4.2848,0.0,13.3333
2024-07,82,9,10.9767,0.0,10.9756
2024-08,37,5,5.5835,0.0,13.5135
2024-09,22,3,0.4102,0.0,13.6364
2024-10,22,2,16.5192,0.0,9.0909
2024-11,33,9,34.1724,0.0,27.2727
2024-12,91,19,1.9725,0.0,20.8791
2025-01,55,6,5.0636,0.0,10.9091
2025-02,79,12,9.9888,0.0,15.1899
2025-03,62,10,9.4489,0.0,16.129
2025-04,26,4,7.5324,0.0,15.3846
2025-05,22,3,0.1525,0.0,13.6364
2025-06,25,6,8.5304,0.0,24.0
2025-07,54,10,10.362,0.0,18.5185
2025-08,23,2,0.4484,0.0,8.6957
2025-09,38,9,3.2411,0.0,23.6842
2025-10,33,3,0.1741,0.0,9.0909
2025-11,23,6,8.0782,0.0,26.087
2025-12,35,4,0.124,0.0,11.4286
2026-01,54,11,2.0261,0.0,20.3704
2026-02,36,5,0.746,0.0,13.8889
2026-03,39,7,0.1191,0.0,17.9487
2026-04,9,2,0.1239,0.0,22.2222
