token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
bom,52,4,10.39792,3.134796,7.263124,1.729851
game,28,1,5.59888,0.783699,4.815181,2.836767
alguns,23,1,4.59908,0.783699,3.815381,2.552974
esse,36,5,7.19856,3.918495,3.280065,0.877409
pra,43,7,8.59828,5.485893,3.112387,0.648322
isso,35,5,6.9986,3.918495,3.080105,0.836767
primeiro,46,8,9.19816,6.269592,2.928568,0.552974
aqui,18,1,3.59928,0.783699,2.815581,2.199337
vai,21,2,4.19916,1.567398,2.631762,1.421729
is,13,0,2.59948,0.0,2.59948,31.275576
souls,24,3,4.79904,2.351097,2.447943,1.029412
2d,16,1,3.19936,0.783699,2.415661,2.029412
hr,12,0,2.39952,0.0,2.39952,31.160099
me,19,2,3.79924,1.567398,2.231842,1.277339
só,19,2,3.79924,1.567398,2.231842,1.277339
pois,15,1,2.9994,0.783699,2.215701,1.936302
bastante,11,0,2.19956,0.0,2.19956,31.034568
itens,11,0,2.19956,0.0,2.19956,31.034568
gostei,18,2,3.59928,1.567398,2.031882,1.199337
muita,10,0,1.9996,0.0,1.9996,30.897064
pontos,10,0,1.9996,0.0,1.9996,30.897064
boa,13,1,2.59948,0.783699,1.815781,1.729851
horas,13,1,2.59948,0.783699,1.815781,1.729851
também,13,1,2.59948,0.783699,1.815781,1.729851
gameplay,9,0,1.79964,0.0,1.79964,30.745061
sendo,9,0,1.79964,0.0,1.79964,30.745061
the,9,0,1.79964,0.0,1.79964,30.745061
pode,20,3,3.9992,2.351097,1.648103,0.766377
está,12,1,2.39952,0.783699,1.615821,1.614374
outro,12,1,2.39952,0.783699,1.615821,1.614374
it,8,0,1.59968,0.0,1.59968,30.575136
mesma,8,0,1.59968,0.0,1.59968,30.575136
ponto,8,0,1.59968,0.0,1.59968,30.575136
realmente,8,0,1.59968,0.0,1.59968,30.575136
sobre,8,0,1.59968,0.0,1.59968,30.575136
to,8,0,1.59968,0.0,1.59968,30.575136
ter,23,4,4.59908,3.134796,1.464284,0.552974
recomendo,19,3,3.79924,2.351097,1.448143,0.692377
porém,15,2,2.9994,1.567398,1.432002,0.936302
acho,11,1,2.19956,0.783699,1.415861,1.488843
quando,11,1,2.19956,0.783699,1.415861,1.488843
demais,7,0,1.39972,0.0,1.39972,30.382491
desse,7,0,1.39972,0.0,1.39972,30.382491
preço,7,0,1.39972,0.0,1.39972,30.382491
steam,7,0,1.39972,0.0,1.39972,30.382491
ainda,22,4,4.39912,3.134796,1.264324,0.488843
dark,18,3,3.59928,2.351097,1.248183,0.614374
legal,14,2,2.79944,1.567398,1.232042,0.836767
coisa,10,1,1.9996,0.783699,1.215901,1.35134
like,10,1,1.9996,0.783699,1.215901,1.35134
lá,10,1,1.9996,0.783699,1.215901,1.35134
mundo,10,1,1.9996,0.783699,1.215901,1.35134
quem,10,1,1.9996,0.783699,1.215901,1.35134
algum,6,0,1.19976,0.0,1.19976,30.160099
dele,6,0,1.19976,0.0,1.19976,30.160099
elementos,6,0,1.19976,0.0,1.19976,30.160099
finalmente,6,0,1.19976,0.0,1.19976,30.160099
metroidvania,6,0,1.19976,0.0,1.19976,30.160099
negativos,6,0,1.19976,0.0,1.19976,30.160099
quanto,6,0,1.19976,0.0,1.19976,30.160099
raiva,6,0,1.19976,0.0,1.19976,30.160099
this,6,0,1.19976,0.0,1.19976,30.160099
trilha,6,0,1.19976,0.0,1.19976,30.160099
assim,13,2,2.59948,1.567398,1.032082,0.729851
diferentes,13,2,2.59948,1.567398,1.032082,0.729851
igual,13,2,2.59948,1.567398,1.032082,0.729851
caçada,9,1,1.79964,0.783699,1.015941,1.199337
entre,9,1,1.79964,0.783699,1.015941,1.199337
faz,9,1,1.79964,0.783699,1.015941,1.199337
nos,9,1,1.79964,0.783699,1.015941,1.199337
porem,9,1,1.79964,0.783699,1.015941,1.199337
vale,9,1,1.79964,0.783699,1.015941,1.199337
acaba,5,0,0.9998,0.0,0.9998,29.897064
chefe,5,0,0.9998,0.0,0.9998,29.897064
conclusão,5,0,0.9998,0.0,0.9998,29.897064
estão,5,0,0.9998,0.0,0.9998,29.897064
exemplo,5,0,0.9998,0.0,0.9998,29.897064
fazem,5,0,0.9998,0.0,0.9998,29.897064
foram,5,0,0.9998,0.0,0.9998,29.897064
fácil,5,0,0.9998,0.0,0.9998,29.897064
geral,5,0,0.9998,0.0,0.9998,29.897064
hunting,5,0,0.9998,0.0,0.9998,29.897064
lore,5,0,0.9998,0.0,0.9998,29.897064
momentos,5,0,0.9998,0.0,0.9998,29.897064
more,5,0,0.9998,0.0,0.9998,29.897064
one,5,0,0.9998,0.0,0.9998,29.897064
passa,5,0,0.9998,0.0,0.9998,29.897064
quer,5,0,0.9998,0.0,0.9998,29.897064
relação,5,0,0.9998,0.0,0.9998,29.897064
saber,5,0,0.9998,0.0,0.9998,29.897064
sal,5,0,0.9998,0.0,0.9998,29.897064
sonora,5,0,0.9998,0.0,0.9998,29.897064
soulslike,5,0,0.9998,0.0,0.9998,29.897064
variedade,5,0,0.9998,0.0,0.9998,29.897064
zerar,5,0,0.9998,0.0,0.9998,29.897064
magos,40,9,7.9984,7.053292,0.945109,0.181415
já,12,2,2.39952,1.567398,0.832122,0.614374
amigo,8,1,1.59968,0.783699,0.815981,1.029412
onde,8,1,1.59968,0.783699,0.815981,1.029412
alto,4,0,0.79984,0.0,0.79984,29.575136
além,4,0,0.79984,0.0,0.79984,29.575136
ano,4,0,0.79984,0.0,0.79984,29.575136
antes,4,0,0.79984,0.0,0.79984,29.575136
análise,4,0,0.79984,0.0,0.79984,29.575136
armadura,4,0,0.79984,0.0,0.79984,29.575136
baseado,4,0,0.79984,0.0,0.79984,29.575136
build,4,0,0.79984,0.0,0.79984,29.575136
builds,4,0,0.79984,0.0,0.79984,29.575136
chance,4,0,0.79984,0.0,0.79984,29.575136
chega,4,0,0.79984,0.0,0.79984,29.575136
confuso,4,0,0.79984,0.0,0.79984,29.575136
coop,4,0,0.79984,0.0,0.79984,29.575136
difícil,4,0,0.79984,0.0,0.79984,29.575136
dá,4,0,0.79984,0.0,0.79984,29.575136
entrega,4,0,0.79984,0.0,0.79984,29.575136
espere,4,0,0.79984,0.0,0.79984,29.575136
fez,4,0,0.79984,0.0,0.79984,29.575136
fiquei,4,0,0.79984,0.0,0.79984,29.575136
for,4,0,0.79984,0.0,0.79984,29.575136
