rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,14,11.128776
2,and sanctuary,9,7.154213
3,and sacrifice,5,3.974563
4,monster hunter,4,3.17965
5,que você,4,3.17965
6,dark souls,3,2.384738
7,diferente s'sanctuary,3,2.384738
8,perfect block,3,2.384738
9,tem que,3,2.384738
10,varias vezes,3,2.384738
11,que era,2,1.589825
12,espero que,2,1.589825
13,mecânica ficar,2,1.589825
14,ficar correndo,2,1.589825
15,correndo atrás,2,1.589825
16,que antecessor,2,1.589825
17,achei que,2,1.589825
18,como inimigo,2,1.589825
19,que fizeram,2,1.589825
20,bem melhor,2,1.589825
21,que te,2,1.589825
22,tudo que,2,1.589825
23,inimigos que,2,1.589825
24,parry perfect,2,1.589825
25,monstros h3,2,1.589825
26,você precisa,2,1.589825
27,precisa voltar,2,1.589825
28,voltar ao,2,1.589825
29,ao lobby,2,1.589825
30,mapa que,2,1.589825
31,que fica,2,1.589825
32,h3 diferente,2,1.589825
33,seja você,2,1.589825
34,você pode,2,1.589825
35,até você,2,1.589825
36,monstros que,2,1.589825
37,recomendo você,2,1.589825
38,bom porém,2,1.589825
39,ao invés,2,1.589825
40,você tem,2,1.589825
41,combo que,2,1.589825
42,pra te,2,1.589825
43,te fazer,2,1.589825
44,bate rola,2,1.589825
45,pelo mapa,2,1.589825
46,te dão,2,1.589825
47,bom dmais,1,0.794913
48,potencial chato,1,0.794913
49,chato esses,1,0.794913
50,esses magos,1,0.794913
51,magos pé,1,0.794913
52,pé saco,1,0.794913
53,saco historia,1,0.794913
54,historia fraca,1,0.794913
55,fraca reais,1,0.794913
56,reais bem,1,0.794913
57,bem mal,1,0.794913
58,mal pago,1,0.794913
59,pago monster,1,0.794913
60,hunter lixão,1,0.794913
61,lixão nunca,1,0.794913
62,nunca comentei,1,0.794913
63,comentei nesse,1,0.794913
64,joguei primeiro,1,0.794913
65,primeiro adorei,1,0.794913
66,adorei época,1,0.794913
67,época era,1,0.794913
68,era dito,1,0.794913
69,dito que,1,0.794913
70,era dark,1,0.794913
71,souls 2d,1,0.794913
72,2d perfeito,1,0.794913
73,perfeito entre,1,0.794913
74,entre todas,1,0.794913
75,todas opções,1,0.794913
76,opções nesse,1,0.794913
77,nesse segundo,1,0.794913
78,segundo que,1,0.794913
79,que decadencia,1,0.794913
80,decadencia terminei,1,0.794913
81,terminei esperança,1,0.794913
82,esperança que,1,0.794913
83,que hora,1,0.794913
84,hora ia,1,0.794913
85,ia melhorar,1,0.794913
86,melhorar melhorou,1,0.794913
87,melhorou combate,1,0.794913
88,combate legal,1,0.794913
89,legal extremamente,1,0.794913
90,extremamente repetitivo,1,0.794913
91,repetitivo sabem,1,0.794913
92,sabem fazer,1,0.794913
93,fazer bem,1,0.794913
94,bem polido,1,0.794913
95,polido espero,1,0.794913
96,que tenha,1,0.794913
97,tenha sequencia,1,0.794913
98,sequencia venha,1,0.794913
99,venha melhor,1,0.794913
100,melhor assim,1,0.794913
