rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,59,9.577922
2,and sanctuary,37,6.006494
3,dark souls,21,3.409091
4,que você,20,3.246753
5,monster hunter,17,2.75974
6,and sacrifice,17,2.75974
7,ao primeiro,10,1.623377
8,tem que,10,1.623377
9,souls 2d,9,1.461039
10,você pode,9,1.461039
11,você tem,8,1.298701
12,que era,7,1.136364
13,você vai,7,1.136364
14,que salt,6,0.974026
15,que primeiro,6,0.974026
16,hr hr,6,0.974026
17,você precisa,6,0.974026
18,ainda assim,6,0.974026
19,primeiro salt,6,0.974026
20,acho que,6,0.974026
21,que tem,6,0.974026
22,vai ter,5,0.811688
23,vale pena,5,0.811688
24,pra jogar,5,0.811688
25,diferente primeiro,5,0.811688
26,que me,5,0.811688
27,que estava,5,0.811688
28,pra quem,5,0.811688
29,coisa que,5,0.811688
30,pelo mapa,5,0.811688
31,mapa você,5,0.811688
32,aos magos,5,0.811688
33,hunting game,5,0.811688
34,perfect block,5,0.811688
35,você consegue,5,0.811688
36,trilha sonora,5,0.811688
37,parece que,5,0.811688
38,que esse,4,0.649351
39,espero que,4,0.649351
40,assim como,4,0.649351
41,esse game,4,0.649351
42,quando você,4,0.649351
43,que nem,4,0.649351
44,que anterior,4,0.649351
45,hunter 2d,4,0.649351
46,caçar magos,4,0.649351
47,souls like,4,0.649351
48,igual ao,4,0.649351
49,pontos positivos,4,0.649351
50,muita coisa,4,0.649351
51,and santuary,4,0.649351
52,pelo menos,4,0.649351
53,pontos negativos,4,0.649351
54,bem legal,4,0.649351
55,ainda tem,4,0.649351
56,game is,4,0.649351
57,que pode,4,0.649351
58,sanctuary porém,3,0.487013
59,comparado ao,3,0.487013
60,primeiro esse,3,0.487013
61,já que,3,0.487013
62,ter sido,3,0.487013
63,dá pra,3,0.487013
64,esse aqui,3,0.487013
65,igual sanctuary,3,0.487013
66,saber que,3,0.487013
67,que fica,3,0.487013
68,bosses que,3,0.487013
69,magos que,3,0.487013
70,te dão,3,0.487013
71,pra cada,3,0.487013
72,tudo que,3,0.487013
73,ficar correndo,3,0.487013
74,mago que,3,0.487013
75,caça aos,3,0.487013
76,que seja,3,0.487013
77,acredito que,3,0.487013
78,jogar amigo,3,0.487013
79,além disso,3,0.487013
80,me arrependo,3,0.487013
81,apesar ter,3,0.487013
82,que inimigos,3,0.487013
83,chefes que,3,0.487013
84,chefe final,3,0.487013
85,souls você,3,0.487013
86,melhor que,3,0.487013
87,achei que,3,0.487013
88,isso me,3,0.487013
89,esse tem,3,0.487013
90,vez que,3,0.487013
91,até mesmo,3,0.487013
92,cada arma,3,0.487013
93,bosses magos,3,0.487013
94,alguns bosses,3,0.487013
95,alguns monstros,3,0.487013
96,isso bom,3,0.487013
97,bem melhor,3,0.487013
98,monstros que,3,0.487013
99,mapa que,3,0.487013
100,que te,3,0.487013
