rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,45,9.179927
2,and sanctuary,28,5.711954
3,dark souls,18,3.671971
4,que você,16,3.263974
5,monster hunter,13,2.651979
6,and sacrifice,12,2.44798
7,ao primeiro,9,1.835985
8,souls 2d,8,1.631987
9,você pode,7,1.427989
10,tem que,7,1.427989
11,você vai,7,1.427989
12,que primeiro,6,1.22399
13,hr hr,6,1.22399
14,você tem,6,1.22399
15,ainda assim,6,1.22399
16,que tem,6,1.22399
17,vai ter,5,1.019992
18,que salt,5,1.019992
19,pra jogar,5,1.019992
20,que era,5,1.019992
21,diferente primeiro,5,1.019992
22,que me,5,1.019992
23,pra quem,5,1.019992
24,coisa que,5,1.019992
25,mapa você,5,1.019992
26,hunting game,5,1.019992
27,primeiro salt,5,1.019992
28,trilha sonora,5,1.019992
29,acho que,5,1.019992
30,que esse,4,0.815993
31,vale pena,4,0.815993
32,esse game,4,0.815993
33,que estava,4,0.815993
34,quando você,4,0.815993
35,hunter 2d,4,0.815993
36,caçar magos,4,0.815993
37,souls like,4,0.815993
38,você precisa,4,0.815993
39,pontos positivos,4,0.815993
40,muita coisa,4,0.815993
41,and santuary,4,0.815993
42,você consegue,4,0.815993
43,pontos negativos,4,0.815993
44,aos magos,4,0.815993
45,parece que,4,0.815993
46,bem legal,4,0.815993
47,ainda tem,4,0.815993
48,game is,4,0.815993
49,sanctuary porém,3,0.611995
50,comparado ao,3,0.611995
51,primeiro esse,3,0.611995
52,já que,3,0.611995
53,ter sido,3,0.611995
54,dá pra,3,0.611995
55,esse aqui,3,0.611995
56,igual sanctuary,3,0.611995
57,saber que,3,0.611995
58,pelo mapa,3,0.611995
59,magos que,3,0.611995
60,que nem,3,0.611995
61,assim como,3,0.611995
62,igual ao,3,0.611995
63,além disso,3,0.611995
64,me arrependo,3,0.611995
65,apesar ter,3,0.611995
66,chefe final,3,0.611995
67,pelo menos,3,0.611995
68,melhor que,3,0.611995
69,isso me,3,0.611995
70,que anterior,3,0.611995
71,bosses magos,3,0.611995
72,alguns bosses,3,0.611995
73,alguns monstros,3,0.611995
74,isso bom,3,0.611995
75,que teve,3,0.611995
76,tão bom,3,0.611995
77,bom quanto,3,0.611995
78,is way,3,0.611995
79,que pode,3,0.611995
80,this one,3,0.611995
81,primeiro você,2,0.407997
82,cruzado esquerda,2,0.407997
83,duas vezes,2,0.407997
84,que acho,2,0.407997
85,primeiro que,2,0.407997
86,game pode,2,0.407997
87,pode ter,2,0.407997
88,que pessoas,2,0.407997
89,ver que,2,0.407997
90,vale preço,2,0.407997
91,game saiu,2,0.407997
92,como exclusivo,2,0.407997
93,que sempre,2,0.407997
94,nosso amigo,2,0.407997
95,itens que,2,0.407997
96,que tinha,2,0.407997
97,pro lado,2,0.407997
98,legal pra,2,0.407997
99,quem gosta,2,0.407997
100,isso voce,2,0.407997
