rank,token,frequency,relative_frequency_per_1000_tokens
1,que,65,50.940439
2,você,23,18.025078
3,salt,15,11.755486
4,and,14,10.971787
5,tem,13,10.188088
6,te,13,10.188088
7,h3,12,9.404389
8,tudo,11,8.62069
9,bem,10,7.836991
10,como,10,7.836991
11,magos,9,7.053292
12,sanctuary,9,7.053292
13,bosses,9,7.053292
14,mapa,9,7.053292
15,monstros,9,7.053292
16,primeiro,8,6.269592
17,ao,8,6.269592
18,nem,8,6.269592
19,dano,8,6.269592
20,vezes,7,5.485893
21,até,7,5.485893
22,seja,7,5.485893
23,pra,7,5.485893
24,fazer,6,4.702194
25,mesmo,6,4.702194
26,sacrifice,6,4.702194
27,fica,6,4.702194
28,jogar,6,4.702194
29,s'sanctuary,6,4.702194
30,h2,6,4.702194
31,melhor,5,3.918495
32,mecânica,5,3.918495
33,ficar,5,3.918495
34,inimigos,5,3.918495
35,pouco,5,3.918495
36,divertido,5,3.918495
37,toda,5,3.918495
38,esse,5,3.918495
39,coisas,5,3.918495
40,diferente,5,3.918495
41,isso,5,3.918495
42,agora,5,3.918495
43,vão,5,3.918495
44,bom,4,3.134796
45,chato,4,3.134796
46,monster,4,3.134796
47,hunter,4,3.134796
48,mago,4,3.134796
49,menos,4,3.134796
50,chefes,4,3.134796
51,caça,4,3.134796
52,próximo,4,3.134796
53,caso,4,3.134796
54,problemas,4,3.134796
55,ainda,4,3.134796
56,ter,4,3.134796
57,parry,4,3.134796
58,lobby,4,3.134796
59,voltar,4,3.134796
60,varias,4,3.134796
61,potencial,3,2.351097
62,esses,3,2.351097
63,nesse,3,2.351097
64,era,3,2.351097
65,dark,3,2.351097
66,souls,3,2.351097
67,hora,3,2.351097
68,espero,3,2.351097
69,correndo,3,2.351097
70,atrás,3,2.351097
71,fases,3,2.351097
72,antecessor,3,2.351097
73,porque,3,2.351097
74,anterior,3,2.351097
75,armas,3,2.351097
76,infelizmente,3,2.351097
77,achei,3,2.351097
78,depois,3,2.351097
79,inimigo,3,2.351097
80,boss,3,2.351097
81,cada,3,2.351097
82,forma,3,2.351097
83,tentaram,3,2.351097
84,seria,3,2.351097
85,mistura,3,2.351097
86,s'sacrifice,3,2.351097
87,algo,3,2.351097
88,mecânicas,3,2.351097
89,perfect,3,2.351097
90,block,3,2.351097
91,sistema,3,2.351097
92,pelo,3,2.351097
93,consegue,3,2.351097
94,problema,3,2.351097
95,spawnam,3,2.351097
96,pode,3,2.351097
97,enquanto,3,2.351097
98,recomendo,3,2.351097
99,interessantes,3,2.351097
100,adoro,3,2.351097
101,monstro,3,2.351097
102,fazendo,3,2.351097
103,pé,2,1.567398
104,mal,2,1.567398
105,joguei,2,1.567398
106,adorei,2,1.567398
107,todas,2,1.567398
108,melhorou,2,1.567398
109,legal,2,1.567398
110,extremamente,2,1.567398
111,tenha,2,1.567398
112,sequencia,2,1.567398
113,assim,2,1.567398
114,esperando,2,1.567398
115,vai,2,1.567398
116,já,2,1.567398
117,conteúdo,2,1.567398
118,jogabilidade,2,1.567398
119,plataforma,2,1.567398
120,únicos,2,1.567398
121,apenas,2,1.567398
122,diversas,2,1.567398
123,dois,2,1.567398
124,vez,2,1.567398
125,talvez,2,1.567398
126,tempo,2,1.567398
127,ficam,2,1.567398
128,ideia,2,1.567398
129,continuação,2,1.567398
130,comprar,2,1.567398
131,história,2,1.567398
132,personagem,2,1.567398
133,todo,2,1.567398
134,maneira,2,1.567398
135,nao,2,1.567398
136,tendo,2,1.567398
137,feito,2,1.567398
138,quase,2,1.567398
139,posso,2,1.567398
140,essa,2,1.567398
141,colocaram,2,1.567398
142,normal,2,1.567398
143,aquele,2,1.567398
144,vc,2,1.567398
145,lugar,2,1.567398
146,fizeram,2,1.567398
147,nada,2,1.567398
148,igual,2,1.567398
149,vários,2,1.567398
150,jeito,2,1.567398
151,h1,2,1.567398
152,legado,2,1.567398
153,vou,2,1.567398
154,segue,2,1.567398
155,algumas,2,1.567398
156,áreas,2,1.567398
157,literalmente,2,1.567398
158,boas,2,1.567398
159,resto,2,1.567398
160,diferentes,2,1.567398
161,combos,2,1.567398
162,passar,2,1.567398
163,mudanças,2,1.567398
164,dentro,2,1.567398
165,magias,2,1.567398
166,precisa,2,1.567398
167,ir,2,1.567398
168,fora,2,1.567398
169,área,2,1.567398
170,só,2,1.567398
171,novas,2,1.567398
172,então,2,1.567398
173,farmar,2,1.567398
174,explorar,2,1.567398
175,caçar,2,1.567398
176,arma,2,1.567398
177,perde,2,1.567398
178,fôlego,2,1.567398
179,tentativa,2,1.567398
180,acabar,2,1.567398
181,x1,2,1.567398
182,morrer,2,1.567398
183,gostei,2,1.567398
184,porém,2,1.567398
185,me,2,1.567398
186,chata,2,1.567398
187,tinha,2,1.567398
188,invés,2,1.567398
189,tão,2,1.567398
190,considerar,2,1.567398
191,downgrade,2,1.567398
192,consigo,2,1.567398
193,insulto,2,1.567398
194,pro,2,1.567398
195,parece,2,1.567398
196,combo,2,1.567398
197,todos,2,1.567398
198,novo,2,1.567398
199,bate,2,1.567398
200,rola,2,1.567398
