rank,token,frequency,relative_frequency_per_1000_tokens
1,que,279,44.447985
2,você,95,15.134618
3,salt,70,11.151824
4,tem,67,10.673889
5,and,63,10.036642
6,bom,56,8.921459
7,primeiro,54,8.602836
8,pra,50,7.965589
9,magos,49,7.806277
10,sanctuary,46,7.328342
11,bem,43,6.850406
12,esse,41,6.531783
13,isso,40,6.372471
14,como,39,6.213159
15,mapa,34,5.4166
16,mesmo,33,5.257289
17,ao,29,4.620041
18,game,29,4.620041
19,ter,27,4.301418
20,souls,27,4.301418
21,ainda,26,4.142106
22,bosses,26,4.142106
23,até,25,3.982794
24,jogar,25,3.982794
25,sacrifice,25,3.982794
26,melhor,24,3.823483
27,te,24,3.823483
28,alguns,24,3.823483
29,vai,23,3.664171
30,pode,23,3.664171
31,nem,23,3.664171
32,tudo,22,3.504859
33,recomendo,22,3.504859
34,só,21,3.345547
35,dark,21,3.345547
36,diferente,21,3.345547
37,me,21,3.345547
38,gostei,20,3.186235
39,pouco,20,3.186235
40,monster,19,3.026924
41,aqui,19,3.026924
42,vezes,18,2.867612
43,depois,18,2.867612
44,2d,17,2.7083
45,hunter,17,2.7083
46,porém,17,2.7083
47,pelo,17,2.7083
48,cada,17,2.7083
49,armas,17,2.7083
50,sistema,17,2.7083
51,divertido,16,2.548988
52,legal,16,2.548988
53,pois,16,2.548988
54,h3,16,2.548988
55,monstros,16,2.548988
56,coisas,15,2.389677
57,assim,15,2.389677
58,diferentes,15,2.389677
59,anterior,15,2.389677
60,igual,15,2.389677
61,já,14,2.230365
62,boa,14,2.230365
63,também,14,2.230365
64,dano,14,2.230365
65,horas,14,2.230365
66,chefes,13,2.071053
67,outro,13,2.071053
68,tão,13,2.071053
69,todos,13,2.071053
70,está,13,2.071053
71,is,13,2.071053
72,menos,12,1.911741
73,acho,12,1.911741
74,era,12,1.911741
75,nada,12,1.911741
76,fazer,12,1.911741
77,fica,12,1.911741
78,quando,12,1.911741
79,quase,12,1.911741
80,boss,12,1.911741
81,ficar,12,1.911741
82,mago,12,1.911741
83,achei,12,1.911741
84,hr,12,1.911741
85,agora,12,1.911741
86,então,11,1.75243
87,lá,11,1.75243
88,quem,11,1.75243
89,itens,11,1.75243
90,mundo,11,1.75243
91,coisa,11,1.75243
92,novo,11,1.75243
93,mecânica,11,1.75243
94,seja,11,1.75243
95,bastante,11,1.75243
96,like,11,1.75243
97,problema,10,1.593118
98,antecessor,10,1.593118
99,vale,10,1.593118
100,caça,10,1.593118
101,entre,10,1.593118
102,tempo,10,1.593118
103,nos,10,1.593118
104,pro,10,1.593118
105,porem,10,1.593118
106,faz,10,1.593118
107,porque,10,1.593118
108,muita,10,1.593118
109,pontos,10,1.593118
110,algumas,10,1.593118
111,caçada,10,1.593118
112,consegue,10,1.593118
113,sendo,9,1.433806
114,tinha,9,1.433806
115,amigo,9,1.433806
116,comprar,9,1.433806
117,inimigos,9,1.433806
118,caçar,9,1.433806
119,gameplay,9,1.433806
120,forma,9,1.433806
121,todo,9,1.433806
122,onde,9,1.433806
123,the,9,1.433806
124,mesma,8,1.274494
125,jogabilidade,8,1.274494
126,caso,8,1.274494
127,deixa,8,1.274494
128,área,8,1.274494
129,parece,8,1.274494
130,meio,8,1.274494
131,muitas,8,1.274494
132,história,8,1.274494
133,dificuldade,8,1.274494
134,realmente,8,1.274494
135,ponto,8,1.274494
136,arma,8,1.274494
137,to,8,1.274494
138,sobre,8,1.274494
139,parry,8,1.274494
140,precisa,8,1.274494
141,toda,8,1.274494
142,outros,8,1.274494
143,lutas,8,1.274494
144,it,8,1.274494
145,tiver,7,1.115182
146,enquanto,7,1.115182
147,esses,7,1.115182
148,mal,7,1.115182
149,tenha,7,1.115182
150,sempre,7,1.115182
151,conta,7,1.115182
152,fora,7,1.115182
153,preço,7,1.115182
154,promoção,7,1.115182
155,seria,7,1.115182
156,combate,7,1.115182
157,steam,7,1.115182
158,algo,7,1.115182
159,apesar,7,1.115182
160,desse,7,1.115182
161,aos,7,1.115182
162,mapas,7,1.115182
163,pegar,7,1.115182
164,final,7,1.115182
165,demais,7,1.115182
166,apenas,7,1.115182
167,problemas,7,1.115182
168,infelizmente,7,1.115182
169,boas,7,1.115182
170,primeira,7,1.115182
171,disso,7,1.115182
172,certo,7,1.115182
173,mecânicas,7,1.115182
174,mistura,6,0.955871
175,chato,6,0.955871
176,nesse,6,0.955871
177,provavelmente,6,0.955871
178,literalmente,6,0.955871
179,hora,6,0.955871
180,existe,6,0.955871
181,experiencia,6,0.955871
182,pena,6,0.955871
183,pessoas,6,0.955871
184,quanto,6,0.955871
185,metroidvania,6,0.955871
186,espero,6,0.955871
187,finalmente,6,0.955871
188,estava,6,0.955871
189,algum,6,0.955871
190,achar,6,0.955871
191,passar,6,0.955871
192,ir,6,0.955871
193,trilha,6,0.955871
194,dele,6,0.955871
195,ruim,6,0.955871
196,estilo,6,0.955871
197,vez,6,0.955871
198,desafio,6,0.955871
199,normais,6,0.955871
200,volta,6,0.955871
