rank,token,frequency,relative_frequency_per_1000_tokens
1,que,214,42.791442
2,você,72,14.397121
3,salt,55,10.9978
4,tem,54,10.79784
5,bom,52,10.39792
6,and,49,9.79804
7,primeiro,46,9.19816
8,pra,43,8.59828
9,magos,40,7.9984
10,sanctuary,37,7.39852
11,esse,36,7.19856
12,isso,35,6.9986
13,bem,33,6.59868
14,como,29,5.79884
15,game,28,5.59888
16,mesmo,27,5.39892
17,mapa,25,4.999
18,souls,24,4.79904
19,ter,23,4.59908
20,alguns,23,4.59908
21,ainda,22,4.39912
22,vai,21,4.19916
23,ao,21,4.19916
24,pode,20,3.9992
25,só,19,3.79924
26,jogar,19,3.79924
27,me,19,3.79924
28,melhor,19,3.79924
29,recomendo,19,3.79924
30,sacrifice,19,3.79924
31,dark,18,3.59928
32,aqui,18,3.59928
33,até,18,3.59928
34,gostei,18,3.59928
35,bosses,17,3.39932
36,2d,16,3.19936
37,diferente,16,3.19936
38,monster,15,2.9994
39,porém,15,2.9994
40,pois,15,2.9994
41,depois,15,2.9994
42,nem,15,2.9994
43,pouco,15,2.9994
44,pelo,14,2.79944
45,legal,14,2.79944
46,cada,14,2.79944
47,armas,14,2.79944
48,sistema,14,2.79944
49,hunter,13,2.59948
50,boa,13,2.59948
51,assim,13,2.59948
52,diferentes,13,2.59948
53,igual,13,2.59948
54,também,13,2.59948
55,horas,13,2.59948
56,is,13,2.59948
57,já,12,2.39952
58,outro,12,2.39952
59,anterior,12,2.39952
60,hr,12,2.39952
61,está,12,2.39952
62,vezes,11,2.19956
63,divertido,11,2.19956
64,acho,11,2.19956
65,itens,11,2.19956
66,te,11,2.19956
67,tão,11,2.19956
68,quando,11,2.19956
69,todos,11,2.19956
70,tudo,11,2.19956
71,bastante,11,2.19956
72,coisas,10,1.9996
73,nada,10,1.9996
74,lá,10,1.9996
75,quem,10,1.9996
76,mundo,10,1.9996
77,coisa,10,1.9996
78,quase,10,1.9996
79,like,10,1.9996
80,muita,10,1.9996
81,pontos,10,1.9996
82,sendo,9,1.79964
83,chefes,9,1.79964
84,vale,9,1.79964
85,era,9,1.79964
86,entre,9,1.79964
87,nos,9,1.79964
88,então,9,1.79964
89,porem,9,1.79964
90,faz,9,1.79964
91,novo,9,1.79964
92,boss,9,1.79964
93,achei,9,1.79964
94,gameplay,9,1.79964
95,caçada,9,1.79964
96,the,9,1.79964
97,mesma,8,1.59968
98,menos,8,1.59968
99,amigo,8,1.59968
100,tempo,8,1.59968
101,pro,8,1.59968
102,realmente,8,1.59968
103,ponto,8,1.59968
104,mago,8,1.59968
105,to,8,1.59968
106,sobre,8,1.59968
107,algumas,8,1.59968
108,onde,8,1.59968
109,it,8,1.59968
110,problema,7,1.39972
111,tinha,7,1.39972
112,deixa,7,1.39972
113,preço,7,1.39972
114,antecessor,7,1.39972
115,comprar,7,1.39972
116,steam,7,1.39972
117,desse,7,1.39972
118,meio,7,1.39972
119,muitas,7,1.39972
120,demais,7,1.39972
121,caçar,7,1.39972
122,ficar,7,1.39972
123,porque,7,1.39972
124,dificuldade,7,1.39972
125,todo,7,1.39972
126,consegue,7,1.39972
127,outros,7,1.39972
128,lutas,7,1.39972
129,agora,7,1.39972
130,monstros,7,1.39972
131,tiver,6,1.19976
132,jogabilidade,6,1.19976
133,sempre,6,1.19976
134,conta,6,1.19976
135,promoção,6,1.19976
136,caça,6,1.19976
137,quanto,6,1.19976
138,metroidvania,6,1.19976
139,finalmente,6,1.19976
140,apesar,6,1.19976
141,fazer,6,1.19976
142,área,6,1.19976
143,fica,6,1.19976
144,aos,6,1.19976
145,algum,6,1.19976
146,parece,6,1.19976
147,mapas,6,1.19976
148,dano,6,1.19976
149,pegar,6,1.19976
150,final,6,1.19976
151,trilha,6,1.19976
152,dele,6,1.19976
153,combate,6,1.19976
154,história,6,1.19976
155,arma,6,1.19976
156,negativos,6,1.19976
157,mecânica,6,1.19976
158,elementos,6,1.19976
159,primeira,6,1.19976
160,disso,6,1.19976
161,precisa,6,1.19976
162,certo,6,1.19976
163,forma,6,1.19976
164,raiva,6,1.19976
165,this,6,1.19976
166,tenha,5,0.9998
167,provavelmente,5,0.9998
168,fora,5,0.9998
169,existe,5,0.9998
170,experiencia,5,0.9998
171,pena,5,0.9998
172,pessoas,5,0.9998
173,saber,5,0.9998
174,acaba,5,0.9998
175,estava,5,0.9998
176,relação,5,0.9998
177,achar,5,0.9998
178,variedade,5,0.9998
179,quer,5,0.9998
180,conclusão,5,0.9998
181,momentos,5,0.9998
182,ruim,5,0.9998
183,estilo,5,0.9998
184,hunting,5,0.9998
185,passa,5,0.9998
186,lore,5,0.9998
187,geral,5,0.9998
188,boas,5,0.9998
189,apenas,5,0.9998
190,árvore,5,0.9998
191,normais,5,0.9998
192,fácil,5,0.9998
193,foram,5,0.9998
194,soulslike,5,0.9998
195,perto,5,0.9998
196,fazem,5,0.9998
197,desafio,5,0.9998
198,chefe,5,0.9998
199,zerar,5,0.9998
200,exemplo,5,0.9998
