token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
enemies,132,116,6.139535,3.411664,2.727871,0.847654
all,192,224,8.930233,6.588042,2.342191,0.438848
have,254,329,11.813953,9.676186,2.137767,0.287981
even,126,128,5.860465,3.764595,2.09587,0.63852
bad,87,77,4.046512,2.264639,1.781872,0.837397
every,69,50,3.209302,1.470545,1.738757,1.125909
attacks,60,39,2.790698,1.147025,1.643673,1.282729
boss,113,126,5.255814,3.705773,1.550041,0.50414
first,175,225,8.139535,6.617452,1.522082,0.29867
level,70,62,3.255814,1.823476,1.432338,0.836327
design,68,59,3.162791,1.735243,1.427548,0.86606
only,97,105,4.511628,3.088144,1.423483,0.546908
time,110,127,5.116279,3.735184,1.381095,0.453916
almost,35,14,1.627907,0.411753,1.216154,1.983169
had,67,66,3.116279,1.941119,1.17516,0.682936
enemy,51,42,2.372093,1.235258,1.136835,0.941348
after,75,82,3.488372,2.411694,1.076678,0.532507
fight,64,65,2.976744,1.911708,1.065036,0.638873
any,52,47,2.418605,1.382312,1.036292,0.807091
again,43,33,2.0,0.97056,1.02944,1.043111
dodge,27,9,1.255814,0.264698,0.991116,2.246203
instead,41,32,1.906977,0.941149,0.965828,1.018793
make,65,70,3.023256,2.058763,0.964493,0.554325
about,77,89,3.581395,2.61757,0.963825,0.452294
teleport,27,10,1.255814,0.294109,0.961705,2.0942
can't,42,34,1.953488,0.999971,0.953518,0.966095
point,35,23,1.627907,0.676451,0.951456,1.266962
maybe,33,20,1.534884,0.588218,0.946666,1.383707
bosses,122,161,5.674419,4.735155,0.939264,0.261061
hit,48,44,2.232558,1.29408,0.938479,0.786771
made,46,41,2.139535,1.205847,0.933688,0.82725
boring,23,6,1.069767,0.176465,0.893302,2.59984
around,61,67,2.837209,1.97053,0.866679,0.525889
issue,29,17,1.348837,0.499985,0.848852,1.431759
now,53,56,2.465116,1.64701,0.818106,0.581806
jump,23,9,1.069767,0.264698,0.805069,2.014877
over,47,47,2.186047,1.382312,0.803734,0.661241
want,52,55,2.418605,1.617599,0.801005,0.580321
reason,25,13,1.162791,0.382342,0.780449,1.604657
back,48,50,2.232558,1.470545,0.762013,0.602347
through,58,66,2.697674,1.941119,0.756555,0.474827
too,75,93,3.488372,2.735214,0.753158,0.3509
down,54,60,2.511628,1.764654,0.746974,0.509237
nothing,28,19,1.302326,0.558807,0.743518,1.220668
doesn't,41,40,1.906977,1.176436,0.730541,0.696864
why,40,39,1.860465,1.147025,0.71344,0.697766
cannot,21,9,0.976744,0.264698,0.712046,1.883633
roll,20,8,0.930233,0.235287,0.694945,1.983169
off,44,46,2.046512,1.352901,0.69361,0.59711
terrible,18,5,0.837209,0.147054,0.690155,2.509237
most,69,86,3.209302,2.529337,0.679965,0.3435
one,172,249,8.0,7.323314,0.676686,0.127503
worst,18,6,0.837209,0.176465,0.660744,2.246203
attack,52,60,2.418605,1.764654,0.653951,0.45479
map,57,68,2.651163,1.999941,0.651222,0.406668
chase,29,24,1.348837,0.705862,0.642976,0.934259
death,27,21,1.255814,0.617629,0.638185,1.023811
downgrade,16,4,0.744186,0.117644,0.626542,2.661241
need,40,42,1.860465,1.235258,0.625207,0.590851
completely,26,20,1.209302,0.588218,0.621084,1.039752
into,81,107,3.767442,3.146966,0.620476,0.259624
screen,19,9,0.883721,0.264698,0.619023,1.739243
start,31,28,1.44186,0.823505,0.618355,0.808082
final,25,19,1.162791,0.558807,0.603984,1.057169
wanted,25,19,1.162791,0.558807,0.603984,1.057169
things,49,57,2.27907,1.676421,0.602648,0.44306
never,29,26,1.348837,0.764683,0.584154,0.818782
trying,27,23,1.255814,0.676451,0.579363,0.892566
annoying,35,36,1.627907,1.058792,0.569115,0.620599
know,40,44,1.860465,1.29408,0.566386,0.523737
up,95,131,4.418605,3.852828,0.565777,0.197673
feels,64,82,2.976744,2.411694,0.56505,0.303689
half,19,11,0.883721,0.32352,0.560201,1.449736
let,20,13,0.930233,0.382342,0.547891,1.282729
hp,13,2,0.604651,0.058822,0.545829,3.36168
spamming,13,2,0.604651,0.058822,0.545829,3.36168
trash,13,2,0.604651,0.058822,0.545829,3.36168
spam,18,10,0.837209,0.294109,0.5431,1.509237
traps,18,10,0.837209,0.294109,0.5431,1.509237
don't,100,140,4.651163,4.117526,0.533637,0.175814
tried,14,4,0.651163,0.117644,0.533519,2.468595
unavoidable,12,1,0.55814,0.029411,0.528729,4.246203
didn't,34,36,1.581395,1.058792,0.522603,0.578778
many,51,63,2.372093,1.852887,0.519206,0.356386
fall,18,11,0.837209,0.32352,0.513689,1.371734
moves,16,8,0.744186,0.235287,0.508899,1.661241
ever,21,16,0.976744,0.470574,0.50617,1.053558
cheap,14,5,0.651163,0.147054,0.504108,2.146667
felt,26,24,1.209302,0.705862,0.503441,0.776718
spend,12,2,0.55814,0.058822,0.499318,3.246203
flying,15,7,0.697674,0.205876,0.491798,1.760776
avoid,13,4,0.604651,0.117644,0.487008,2.36168
complete,18,12,0.837209,0.352931,0.484279,1.246203
deal,19,14,0.883721,0.411753,0.471968,1.101813
loved,24,22,1.116279,0.64704,0.469239,0.786771
finish,17,11,0.790698,0.32352,0.467178,1.289272
process,10,0,0.465116,0.0,0.465116,28.793016
mobs,22,19,1.023256,0.558807,0.464449,0.872745
seems,22,19,1.023256,0.558807,0.464449,0.872745
attacking,15,8,0.697674,0.235287,0.462387,1.568131
gone,15,8,0.697674,0.235287,0.462387,1.568131
money,13,5,0.604651,0.147054,0.457597,2.039752
reach,13,5,0.604651,0.147054,0.457597,2.039752
points,18,13,0.837209,0.382342,0.454868,1.130726
starting,14,7,0.651163,0.205876,0.445286,1.661241
way,69,94,3.209302,2.764625,0.444678,0.215176
frustrating,26,26,1.209302,0.764683,0.444619,0.661241
second,19,15,0.883721,0.441163,0.442557,1.002277
like,261,398,12.139535,11.705538,0.433997,0.052522
since,32,36,1.488372,1.058792,0.42958,0.491316
health,16,11,0.744186,0.32352,0.420666,1.201809
hits,12,5,0.55814,0.147054,0.411085,1.924275
such,24,24,1.116279,0.705862,0.410417,0.661241
everything,29,32,1.348837,0.941149,0.407688,0.519222
actual,15,10,0.697674,0.294109,0.403565,1.246203
constantly,15,10,0.697674,0.294109,0.403565,1.246203
stop,15,10,0.697674,0.294109,0.403565,1.246203
real,18,15,0.837209,0.441163,0.396046,0.924275
