token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
fun,258,78,7.588012,3.627907,3.960105,1.064585
more,288,117,8.470339,5.44186,3.028479,0.63832
different,140,32,4.117526,1.488372,2.629154,1.468042
sanctuary,363,174,10.676157,8.093023,2.583133,0.399642
good,248,106,7.293903,4.930233,2.363671,0.565035
people,96,11,2.823446,0.511628,2.311818,2.46429
salt,367,183,10.7938,8.511628,2.282172,0.342696
weapons,152,49,4.470457,2.27907,2.191387,0.971977
great,109,25,3.205788,1.162791,2.042997,1.463088
mages,224,100,6.588042,4.651163,1.936879,0.502258
much,155,57,4.558689,2.651163,1.907527,0.781994
it's,320,163,9.411488,7.581395,1.830093,0.311959
pretty,84,14,2.470516,0.651163,1.819353,1.923722
new,105,29,3.088144,1.348837,1.739307,1.195024
co-op,70,7,2.058763,0.325581,1.733182,2.660688
lot,137,50,4.029293,2.325581,1.703712,0.792935
still,153,62,4.499868,2.883721,1.616147,0.641951
get,221,105,6.499809,4.883721,1.616088,0.412417
better,120,45,3.529308,2.093023,1.436285,0.753797
hunter,143,60,4.205759,2.790698,1.415061,0.59174
think,85,26,2.499926,1.209302,1.290624,1.047711
monster,156,71,4.5881,3.302326,1.285775,0.474415
there,188,93,5.529249,4.325581,1.203668,0.35419
sacrifice,136,61,3.999882,2.837209,1.162673,0.495485
2d,72,22,2.117585,1.023256,1.094329,1.049253
overall,58,14,1.705832,0.651163,1.054669,1.389386
gameplay,92,36,2.705803,1.674419,1.031384,0.692396
played,92,36,2.705803,1.674419,1.031384,0.692396
souls,122,55,3.58813,2.55814,1.02999,0.488137
while,117,52,3.441075,2.418605,1.022471,0.508684
isn't,61,17,1.794065,0.790698,1.003367,1.182034
love,91,36,2.676392,1.674419,1.001973,0.676629
dark,86,33,2.529337,1.534884,0.994454,0.72063
playing,67,21,1.97053,0.976744,0.993786,1.012531
multiplayer,69,23,2.029352,1.069767,0.959585,0.923722
each,78,30,2.29405,1.395349,0.898701,0.717271
pvp,35,3,1.029381,0.139535,0.889847,2.88308
combat,105,48,3.088144,2.232558,0.855586,0.468042
has,138,69,4.058704,3.209302,0.849402,0.338759
armor,81,33,2.382283,1.534884,0.847399,0.634215
well,83,35,2.441105,1.627907,0.813198,0.584516
definitely,35,5,1.029381,0.232558,0.796823,2.146114
nice,44,11,1.29408,0.511628,0.782452,1.338759
bit,67,26,1.97053,1.209302,0.761228,0.704409
reviews,49,15,1.441134,0.697674,0.74346,1.046579
also,137,71,4.029293,3.302326,0.726968,0.287044
soulslike,50,16,1.470545,0.744186,0.726359,0.982616
