rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,120,5.637773
2,monster hunter,60,2.818887
3,salt sacrifice,35,1.64435
4,feels like,30,1.409443
5,dark souls,29,1.362462
6,first one,27,1.268499
7,level design,21,0.98661
8,feel like,19,0.892647
9,level up,18,0.845666
10,boss fight,13,0.610759
11,don't know,13,0.610759
12,final boss,13,0.610759
13,all time,13,0.610759
14,art style,12,0.563777
15,heavy armor,11,0.516796
16,more like,11,0.516796
17,mage hunts,11,0.516796
18,around map,11,0.516796
19,like monster,10,0.469814
20,way too,10,0.469814
21,all over,10,0.469814
22,don't even,9,0.422833
23,gameplay loop,9,0.422833
24,souls like,9,0.422833
25,don't feel,9,0.422833
26,hunting mages,9,0.422833
27,boss fights,9,0.422833
28,skill tree,9,0.422833
29,play salt,8,0.375852
30,don't think,8,0.375852
31,straight up,8,0.375852
32,many things,8,0.375852
33,now have,8,0.375852
34,grappling hook,8,0.375852
35,even though,8,0.375852
36,things like,7,0.32887
37,some reason,7,0.32887
38,some enemies,7,0.32887
39,most time,7,0.32887
40,even more,7,0.32887
41,how much,7,0.32887
42,too many,7,0.32887
43,too much,7,0.32887
44,go back,7,0.32887
45,every single,7,0.32887
46,don't have,7,0.32887
47,loved first,7,0.32887
48,felt like,7,0.32887
49,open world,7,0.32887
50,steam release,7,0.32887
51,didn't like,6,0.281889
52,only one,6,0.281889
53,over over,6,0.281889
54,know how,6,0.281889
55,know what,6,0.281889
56,sanctuary it's,6,0.281889
57,mage hunt,6,0.281889
58,like first,6,0.281889
59,online play,6,0.281889
60,especially when,6,0.281889
61,first time,6,0.281889
62,weapons have,6,0.281889
63,each other,6,0.281889
64,every time,6,0.281889
65,over again,6,0.281889
66,mage bosses,6,0.281889
67,trash mobs,6,0.281889
68,back hub,6,0.281889
69,far less,6,0.281889
70,first boss,6,0.281889
71,stuns grabs,6,0.281889
72,have same,5,0.234907
73,doesn't work,5,0.234907
74,get into,5,0.234907
75,same boss,5,0.234907
76,like one,5,0.234907
77,core gameplay,5,0.234907
78,some more,5,0.234907
79,more one,5,0.234907
80,go play,5,0.234907
81,don't get,5,0.234907
82,about first,5,0.234907
83,can't even,5,0.234907
84,bosses all,5,0.234907
85,like have,5,0.234907
86,it's bad,5,0.234907
87,it's good,5,0.234907
88,it's own,5,0.234907
89,after all,5,0.234907
90,end up,5,0.234907
91,sacrifice has,5,0.234907
92,light armor,5,0.234907
93,send flying,5,0.234907
94,sanctuary don't,5,0.234907
95,compared sanctuary,5,0.234907
96,kill mage,5,0.234907
97,much more,5,0.234907
98,ska studios,5,0.234907
99,want play,5,0.234907
100,nothing like,5,0.234907
