rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,332,6.061491
2,monster hunter,199,3.633243
3,salt sacrifice,122,2.227415
4,dark souls,97,1.770978
5,first one,59,1.077193
6,feels like,54,0.985905
7,mage hunts,46,0.839845
8,feel like,34,0.620755
9,gameplay loop,33,0.602498
10,heavy armor,32,0.58424
11,level design,32,0.58424
12,skill tree,32,0.58424
13,each other,30,0.547725
14,souls like,29,0.529468
15,like monster,27,0.492953
16,ska studios,27,0.492953
17,more like,26,0.474695
18,it's good,26,0.474695
19,level up,26,0.474695
20,like salt,25,0.456438
21,boss fights,25,0.456438
22,like first,24,0.43818
23,final boss,24,0.43818
24,don't know,23,0.419923
25,around map,22,0.401665
26,mage hunt,22,0.401665
27,don't think,21,0.383408
28,art style,21,0.383408
29,boss fight,20,0.36515
30,way too,20,0.36515
31,don't have,20,0.36515
32,hunting mages,20,0.36515
33,much more,19,0.346893
34,too much,19,0.346893
35,negative reviews,18,0.328635
36,like sanctuary,17,0.310378
37,felt like,17,0.310378
38,sanctuary still,17,0.310378
39,know what,16,0.29212
40,different first,16,0.29212
41,light armor,16,0.29212
42,go back,16,0.29212
43,there some,16,0.29212
44,all time,16,0.29212
45,lot fun,16,0.29212
46,over over,15,0.273863
47,even more,15,0.273863
48,end up,15,0.273863
49,grappling hook,15,0.273863
50,all over,15,0.273863
51,2d monster,15,0.273863
52,even though,15,0.273863
53,lot more,14,0.255605
54,like it's,14,0.255605
55,don't feel,14,0.255605
56,sanctuary it's,14,0.255605
57,how much,14,0.255605
58,pretty much,14,0.255605
59,all all,13,0.237348
60,only one,13,0.237348
61,it's own,13,0.237348
62,weapons armor,13,0.237348
63,interconnected world,13,0.237348
64,things like,12,0.21909
65,don't even,12,0.21909
66,like one,12,0.21909
67,have played,12,0.21909
68,2d dark,12,0.21909
69,still good,12,0.21909
70,most time,12,0.21909
71,ranged weapons,12,0.21909
72,one two,12,0.21909
73,people who,12,0.21909
74,other reviews,12,0.21909
75,sequel salt,12,0.21909
76,it's still,12,0.21909
77,have fun,12,0.21909
78,too many,12,0.21909
79,elden ring,12,0.21909
80,played salt,12,0.21909
81,especially when,12,0.21909
82,every single,12,0.21909
83,mage hunting,12,0.21909
84,weapons have,12,0.21909
85,weapon types,12,0.21909
86,mixed reviews,11,0.200833
87,compared sanctuary,11,0.200833
88,sanctuary like,11,0.200833
89,fun play,11,0.200833
90,play salt,11,0.200833
91,don't like,11,0.200833
92,straight up,11,0.200833
93,have any,11,0.200833
94,send flying,11,0.200833
95,only thing,11,0.200833
96,loved first,11,0.200833
97,one has,11,0.200833
98,have lot,11,0.200833
99,much better,11,0.200833
100,more time,11,0.200833
