rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt sanctuary,212,6.330815
2,monster hunter,139,4.150865
3,salt sacrifice,87,2.598023
4,dark souls,68,2.030639
5,mage hunts,35,1.045182
6,first one,32,0.955595
7,each other,24,0.716696
8,feels like,24,0.716696
9,gameplay loop,24,0.716696
10,skill tree,23,0.686834
11,ska studios,22,0.656971
12,like salt,21,0.627109
13,heavy armor,21,0.627109
14,it's good,21,0.627109
15,souls like,20,0.597247
16,like first,18,0.537522
17,like monster,17,0.50766
18,boss fights,16,0.477797
19,mage hunt,16,0.477797
20,different first,15,0.447935
21,more like,15,0.447935
22,sanctuary still,15,0.447935
23,feel like,15,0.447935
24,lot fun,15,0.447935
25,negative reviews,15,0.447935
26,like sanctuary,14,0.418073
27,much more,14,0.418073
28,don't have,13,0.38821
29,there some,13,0.38821
30,don't think,13,0.38821
31,lot more,12,0.358348
32,too much,12,0.358348
33,2d monster,12,0.358348
34,around map,11,0.328486
35,level design,11,0.328486
36,weapons armor,11,0.328486
37,light armor,11,0.328486
38,final boss,11,0.328486
39,pretty much,11,0.328486
40,hunting mages,11,0.328486
41,hunter style,11,0.328486
42,felt like,10,0.298623
43,end up,10,0.298623
44,don't know,10,0.298623
45,like it's,10,0.298623
46,other reviews,10,0.298623
47,sequel salt,10,0.298623
48,know what,10,0.298623
49,way too,10,0.298623
50,still good,10,0.298623
51,one has,10,0.298623
52,all all,10,0.298623
53,has some,10,0.298623
54,it's fun,10,0.298623
55,good salt,10,0.298623
56,weapon types,10,0.298623
57,2d dark,9,0.268761
58,mage fights,9,0.268761
59,pretty good,9,0.268761
60,one two,9,0.268761
61,one more,9,0.268761
62,over over,9,0.268761
63,nameless mages,9,0.268761
64,go back,9,0.268761
65,2d soulslike,9,0.268761
66,souls monster,9,0.268761
67,have fun,9,0.268761
68,have lot,9,0.268761
69,elden ring,9,0.268761
70,played salt,9,0.268761
71,people who,9,0.268761
72,art style,9,0.268761
73,bosses mages,8,0.238899
74,more fun,8,0.238899
75,why people,8,0.238899
76,sanctuary more,8,0.238899
77,even more,8,0.238899
78,still has,8,0.238899
79,sanctuary like,8,0.238899
80,also like,8,0.238899
81,fun play,8,0.238899
82,it's own,8,0.238899
83,don't like,8,0.238899
84,it's more,8,0.238899
85,haven't played,8,0.238899
86,level up,8,0.238899
87,doesn't have,8,0.238899
88,it's salt,8,0.238899
89,way better,8,0.238899
90,there still,8,0.238899
91,weapon type,8,0.238899
92,interconnected world,8,0.238899
93,it's still,8,0.238899
94,online co-op,8,0.238899
95,highly recommend,8,0.238899
96,2d souls,8,0.238899
97,dark soul,8,0.238899
98,little bit,8,0.238899
99,something else,8,0.238899
100,much better,8,0.238899
