rank,token,frequency,relative_frequency_per_1000_tokens
1,like,261,12.139535
2,have,254,11.813953
3,all,192,8.930233
4,salt,183,8.511628
5,first,175,8.139535
6,sanctuary,174,8.093023
7,one,172,8.0
8,it's,163,7.581395
9,enemies,132,6.139535
10,some,127,5.906977
11,even,126,5.860465
12,bosses,122,5.674419
13,more,117,5.44186
14,boss,113,5.255814
15,time,110,5.116279
16,good,106,4.930233
17,get,105,4.883721
18,mage,103,4.790698
19,don't,100,4.651163
20,mages,100,4.651163
21,only,97,4.511628
22,up,95,4.418605
23,there,93,4.325581
24,bad,87,4.046512
25,which,86,4.0
26,out,82,3.813953
27,into,81,3.767442
28,fun,78,3.627907
29,what,77,3.581395
30,about,77,3.581395
31,play,76,3.534884
32,too,75,3.488372
33,after,75,3.488372
34,same,73,3.395349
35,also,71,3.302326
36,monster,71,3.302326
37,because,70,3.255814
38,level,70,3.255814
39,has,69,3.209302
40,way,69,3.209302
41,other,69,3.209302
42,most,69,3.209302
43,every,69,3.209302
44,when,68,3.162791
45,design,68,3.162791
46,had,67,3.116279
47,feel,66,3.069767
48,make,65,3.023256
49,fight,64,2.976744
50,feels,64,2.976744
51,still,62,2.883721
52,around,61,2.837209
53,sacrifice,61,2.837209
54,hunter,60,2.790698
55,attacks,60,2.790698
56,through,58,2.697674
57,map,57,2.651163
58,much,57,2.651163
59,souls,55,2.55814
60,down,54,2.511628
61,now,53,2.465116
62,want,52,2.418605
63,any,52,2.418605
64,attack,52,2.418605
65,while,52,2.418605
66,many,51,2.372093
67,enemy,51,2.372093
68,how,50,2.325581
69,lot,50,2.325581
70,things,49,2.27907
71,weapons,49,2.27907
72,world,49,2.27907
73,combat,48,2.232558
74,back,48,2.232558
75,hit,48,2.232558
76,weapon,47,2.186047
77,damage,47,2.186047
78,over,47,2.186047
79,made,46,2.139535
80,better,45,2.093023
81,off,44,2.046512
82,go,43,2.0
83,again,43,2.0
84,can't,42,1.953488
85,where,42,1.953488
86,doesn't,41,1.906977
87,instead,41,1.906977
88,know,40,1.860465
89,before,40,1.860465
90,need,40,1.860465
91,find,40,1.860465
92,why,40,1.860465
93,use,39,1.813953
94,here,38,1.767442
95,system,38,1.767442
96,something,37,1.72093
97,another,37,1.72093
98,actually,37,1.72093
99,i'm,37,1.72093
100,love,36,1.674419
101,played,36,1.674419
102,hunt,36,1.674419
103,gameplay,36,1.674419
104,far,35,1.627907
105,point,35,1.627907
106,enough,35,1.627907
107,getting,35,1.627907
108,few,35,1.627907
109,annoying,35,1.627907
110,kill,35,1.627907
111,almost,35,1.627907
112,there's,35,1.627907
113,well,35,1.627907
114,didn't,34,1.581395
115,having,34,1.581395
116,dark,33,1.534884
117,armor,33,1.534884
118,end,33,1.534884
119,maybe,33,1.534884
120,area,33,1.534884
121,different,32,1.488372
122,recommend,32,1.488372
123,thing,32,1.488372
124,since,32,1.488372
125,start,31,1.44186
126,you're,31,1.44186
127,say,31,1.44186
128,who,30,1.395349
129,each,30,1.395349
130,new,29,1.348837
131,chase,29,1.348837
132,see,29,1.348837
133,never,29,1.348837
134,everything,29,1.348837
135,issue,29,1.348837
136,either,28,1.302326
137,got,28,1.302326
138,fighting,28,1.302326
139,big,28,1.302326
140,nothing,28,1.302326
141,less,28,1.302326
142,makes,27,1.255814
143,hunting,27,1.255814
144,death,27,1.255814
145,trying,27,1.255814
146,two,27,1.255814
147,times,27,1.255814
148,dodge,27,1.255814
149,though,27,1.255814
150,skill,27,1.255814
151,teleport,27,1.255814
152,experience,27,1.255814
153,completely,26,1.209302
154,areas,26,1.209302
155,bit,26,1.209302
156,felt,26,1.209302
157,frustrating,26,1.209302
158,think,26,1.209302
159,reason,25,1.162791
160,final,25,1.162791
161,i've,25,1.162791
162,great,25,1.162791
163,wanted,25,1.162791
164,away,25,1.162791
165,hub,25,1.162791
166,especially,25,1.162791
167,sequel,25,1.162791
168,style,24,1.116279
169,worse,24,1.116279
170,right,24,1.116279
171,exploration,24,1.116279
172,both,24,1.116279
173,loved,24,1.116279
174,cool,24,1.116279
175,such,24,1.116279
176,heavy,23,1.069767
177,jump,23,1.069767
178,easy,23,1.069767
179,once,23,1.069767
180,boring,23,1.069767
181,own,23,1.069767
182,multiplayer,23,1.069767
183,work,22,1.023256
184,original,22,1.023256
185,chasing,22,1.023256
186,until,22,1.023256
187,give,22,1.023256
188,try,22,1.023256
189,least,22,1.023256
190,fights,22,1.023256
191,last,22,1.023256
192,seems,22,1.023256
193,that's,22,1.023256
194,already,22,1.023256
195,2d,22,1.023256
196,equipment,22,1.023256
197,mobs,22,1.023256
198,review,22,1.023256
199,playing,21,0.976744
200,hard,21,0.976744
