rank,token,frequency,relative_frequency_per_1000_tokens
1,like,659,11.87366
2,have,583,10.504315
3,salt,550,9.909731
4,sanctuary,537,9.675501
5,it's,483,8.702546
6,one,421,7.585449
7,all,416,7.49536
8,more,405,7.297166
9,first,400,7.207077
10,good,354,6.378263
11,fun,336,6.053945
12,some,335,6.035927
13,get,326,5.873768
14,mages,324,5.837733
15,bosses,283,5.099007
16,there,281,5.062972
17,mage,271,4.882795
18,even,254,4.576494
19,enemies,248,4.468388
20,don't,240,4.324246
21,boss,239,4.306229
22,time,237,4.270193
23,monster,227,4.090016
24,up,226,4.071999
25,which,219,3.945875
26,still,215,3.873804
27,much,212,3.819751
28,also,208,3.74768
29,has,207,3.729663
30,what,203,3.657592
31,hunter,203,3.657592
32,only,202,3.639574
33,weapons,201,3.621556
34,out,199,3.585521
35,other,199,3.585521
36,sacrifice,197,3.549486
37,play,190,3.423362
38,into,188,3.387326
39,lot,187,3.369309
40,because,181,3.261203
41,when,180,3.243185
42,same,179,3.225167
43,souls,177,3.189132
44,different,172,3.099043
45,while,169,3.04499
46,too,168,3.026972
47,about,166,2.990937
48,better,165,2.972919
49,bad,164,2.954902
50,way,163,2.936884
51,feel,163,2.936884
52,after,157,2.828778
53,most,155,2.792742
54,combat,153,2.756707
55,feels,146,2.630583
56,make,135,2.432389
57,new,134,2.414371
58,world,134,2.414371
59,great,134,2.414371
60,had,133,2.396353
61,level,132,2.378336
62,fight,129,2.324282
63,played,128,2.306265
64,around,128,2.306265
65,gameplay,128,2.306265
66,love,127,2.288247
67,weapon,127,2.288247
68,design,127,2.288247
69,map,125,2.252212
70,through,124,2.234194
71,dark,119,2.144106
72,how,119,2.144106
73,every,119,2.144106
74,i'm,119,2.144106
75,well,118,2.126088
76,many,114,2.054017
77,armor,114,2.054017
78,down,114,2.054017
79,where,114,2.054017
80,attack,112,2.017982
81,think,111,1.999964
82,go,110,1.981946
83,now,109,1.963929
84,damage,108,1.945911
85,each,108,1.945911
86,want,107,1.927893
87,people,107,1.927893
88,things,106,1.909875
89,enough,106,1.909875
90,you're,102,1.837805
91,there's,100,1.801769
92,any,99,1.783752
93,attacks,99,1.783752
94,say,99,1.783752
95,back,98,1.765734
96,here,98,1.765734
97,pretty,98,1.765734
98,use,97,1.747716
99,find,96,1.729699
100,having,96,1.729699
101,something,95,1.711681
102,before,94,1.693663
103,over,94,1.693663
104,2d,94,1.693663
105,enemy,93,1.675645
106,hunt,93,1.675645
107,bit,93,1.675645
108,hit,92,1.657628
109,multiplayer,92,1.657628
110,far,91,1.63961
111,experience,91,1.63961
112,off,90,1.621592
113,playing,88,1.585557
114,actually,88,1.585557
115,made,87,1.567539
116,recommend,87,1.567539
117,system,87,1.567539
118,another,85,1.531504
119,know,84,1.513486
120,kill,84,1.513486
121,area,83,1.495469
122,though,83,1.495469
123,who,82,1.477451
124,need,82,1.477451
125,getting,81,1.459433
126,doesn't,81,1.459433
127,end,80,1.441415
128,two,80,1.441415
129,few,80,1.441415
130,see,80,1.441415
131,thing,80,1.441415
132,especially,80,1.441415
133,why,79,1.423398
134,give,79,1.423398
135,isn't,78,1.40538
136,areas,78,1.40538
137,co-op,77,1.387362
138,sequel,77,1.387362
139,can't,76,1.369345
140,again,76,1.369345
141,instead,73,1.315292
142,story,73,1.315292
143,both,73,1.315292
144,got,72,1.297274
145,overall,72,1.297274
146,i've,72,1.297274
147,annoying,71,1.279256
148,didn't,70,1.261239
149,times,70,1.261239
150,style,69,1.243221
151,heavy,68,1.225203
152,since,68,1.225203
153,own,67,1.207185
154,makes,66,1.189168
155,hunting,66,1.189168
156,try,66,1.189168
157,exploration,66,1.189168
158,items,66,1.189168
159,quite,66,1.189168
160,soulslike,66,1.189168
161,once,65,1.17115
162,little,65,1.17115
163,less,65,1.17115
164,cool,65,1.17115
165,reviews,64,1.153132
166,big,64,1.153132
167,souls-like,64,1.153132
168,either,63,1.135115
169,you'll,63,1.135115
170,worth,63,1.135115
171,that's,63,1.135115
172,hunts,63,1.135115
173,skill,63,1.135115
174,going,62,1.117097
175,fighting,62,1.117097
176,metroidvania,61,1.099079
177,fights,61,1.099079
178,everything,61,1.099079
179,player,61,1.099079
180,right,60,1.081062
181,said,60,1.081062
182,start,59,1.063044
183,point,58,1.045026
184,mechanics,57,1.027009
185,hub,57,1.027009
186,players,57,1.027009
187,main,56,1.008991
188,enjoy,55,0.990973
189,original,55,0.990973
190,nice,55,0.990973
191,stuff,55,0.990973
192,never,55,0.990973
193,character,54,0.972955
194,away,54,0.972955
195,hard,53,0.954938
196,chase,53,0.954938
197,maybe,53,0.954938
198,build,53,0.954938
199,until,52,0.93692
200,frustrating,52,0.93692
