rank,token,frequency,relative_frequency_per_1000_tokens
1,like,398,11.705538
2,salt,367,10.7938
3,sanctuary,363,10.676157
4,have,329,9.676186
5,it's,320,9.411488
6,more,288,8.470339
7,fun,258,7.588012
8,one,249,7.323314
9,good,248,7.293903
10,first,225,6.617452
11,mages,224,6.588042
12,all,224,6.588042
13,get,221,6.499809
14,some,208,6.117467
15,there,188,5.529249
16,mage,168,4.941031
17,bosses,161,4.735155
18,monster,156,4.5881
19,much,155,4.558689
20,still,153,4.499868
21,weapons,152,4.470457
22,hunter,143,4.205759
23,don't,140,4.117526
24,different,140,4.117526
25,has,138,4.058704
26,also,137,4.029293
27,lot,137,4.029293
28,sacrifice,136,3.999882
29,which,133,3.91165
30,up,131,3.852828
31,other,130,3.823417
32,even,128,3.764595
33,time,127,3.735184
34,boss,126,3.705773
35,what,126,3.705773
36,souls,122,3.58813
37,better,120,3.529308
38,out,117,3.441075
39,while,117,3.441075
40,enemies,116,3.411664
41,play,114,3.352843
42,when,112,3.294021
43,because,111,3.26461
44,great,109,3.205788
45,into,107,3.146966
46,same,106,3.117555
47,combat,105,3.088144
48,only,105,3.088144
49,new,105,3.088144
50,feel,97,2.852857
51,people,96,2.823446
52,way,94,2.764625
53,too,93,2.735214
54,played,92,2.705803
55,gameplay,92,2.705803
56,love,91,2.676392
57,about,89,2.61757
58,dark,86,2.529337
59,most,86,2.529337
60,world,85,2.499926
61,think,85,2.499926
62,pretty,84,2.470516
63,well,83,2.441105
64,i'm,82,2.411694
65,after,82,2.411694
66,feels,82,2.411694
67,armor,81,2.382283
68,weapon,80,2.352872
69,each,78,2.29405
70,bad,77,2.264639
71,where,72,2.117585
72,2d,72,2.117585
73,enough,71,2.088174
74,you're,71,2.088174
75,make,70,2.058763
76,co-op,70,2.058763
77,multiplayer,69,2.029352
78,how,69,2.029352
79,say,68,1.999941
80,map,68,1.999941
81,around,67,1.97053
82,bit,67,1.97053
83,go,67,1.97053
84,playing,67,1.97053
85,had,66,1.941119
86,through,66,1.941119
87,fight,65,1.911708
88,there's,65,1.911708
89,experience,64,1.882298
90,many,63,1.852887
91,level,62,1.823476
92,having,62,1.823476
93,isn't,61,1.794065
94,damage,61,1.794065
95,attack,60,1.764654
96,here,60,1.764654
97,down,60,1.764654
98,design,59,1.735243
99,use,58,1.705832
100,overall,58,1.705832
101,something,58,1.705832
102,give,57,1.676421
103,things,57,1.676421
104,hunt,57,1.676421
105,now,56,1.64701
106,though,56,1.64701
107,find,56,1.64701
108,far,56,1.64701
109,recommend,55,1.617599
110,want,55,1.617599
111,especially,55,1.617599
112,story,54,1.588189
113,before,54,1.588189
114,two,53,1.558778
115,areas,52,1.529367
116,who,52,1.529367
117,sequel,52,1.529367
118,actually,51,1.499956
119,see,51,1.499956
120,area,50,1.470545
121,every,50,1.470545
122,back,50,1.470545
123,soulslike,50,1.470545
124,system,49,1.441134
125,reviews,49,1.441134
126,items,49,1.441134
127,both,49,1.441134
128,kill,49,1.441134
129,little,48,1.411723
130,thing,48,1.411723
131,another,48,1.411723
132,over,47,1.382312
133,end,47,1.382312
134,any,47,1.382312
135,i've,47,1.382312
136,hunts,46,1.352901
137,you'll,46,1.352901
138,getting,46,1.352901
139,off,46,1.352901
140,quite,46,1.352901
141,few,45,1.32349
142,heavy,45,1.32349
143,style,45,1.32349
144,nice,44,1.29408
145,got,44,1.29408
146,own,44,1.29408
147,metroidvania,44,1.29408
148,try,44,1.29408
149,know,44,1.29408
150,souls-like,44,1.29408
151,hit,44,1.29408
152,times,43,1.264669
153,build,42,1.235258
154,need,42,1.235258
155,once,42,1.235258
156,enemy,42,1.235258
157,exploration,42,1.235258
158,worth,42,1.235258
159,that's,41,1.205847
160,made,41,1.205847
161,going,41,1.205847
162,cool,41,1.205847
163,mechanics,41,1.205847
164,player,41,1.205847
165,said,40,1.176436
166,doesn't,40,1.176436
167,attacks,39,1.147025
168,makes,39,1.147025
169,why,39,1.147025
170,fights,39,1.147025
171,hunting,39,1.147025
172,players,39,1.147025
173,less,37,1.088203
174,materials,37,1.088203
175,steam,37,1.088203
176,sometimes,37,1.088203
177,stuff,37,1.088203
178,epic,37,1.088203
179,enjoy,36,1.058792
180,annoying,36,1.058792
181,right,36,1.058792
182,since,36,1.058792
183,character,36,1.058792
184,doing,36,1.058792
185,skill,36,1.058792
186,big,36,1.058792
187,didn't,36,1.058792
188,main,35,1.029381
189,hours,35,1.029381
190,either,35,1.029381
191,pvp,35,1.029381
192,definitely,35,1.029381
193,issues,35,1.029381
194,fighting,34,0.999971
195,best,34,0.999971
196,can't,34,0.999971
197,gear,34,0.999971
198,loop,34,0.999971
199,type,34,0.999971
200,long,34,0.999971
