token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
the,20,14,42.105263,20.408163,21.6971,1.044854
of,9,3,18.947368,4.373178,14.574191,2.115244
and,11,6,23.157895,8.746356,14.411539,1.40475
puis,6,0,12.631579,0.0,12.631579,33.556316
level,5,0,10.526316,0.0,10.526316,33.293282
merde,4,0,8.421053,0.0,8.421053,32.971353
sometimes,4,0,8.421053,0.0,8.421053,32.971353
mage,4,1,8.421053,1.457726,6.963327,2.530281
to,6,4,12.631579,5.830904,6.800675,1.115244
game,8,7,16.842105,10.204082,6.638024,0.722926
kill,3,0,6.315789,0.0,6.315789,32.556316
really,3,0,6.315789,0.0,6.315789,32.556316
vu,3,0,6.315789,0.0,6.315789,32.556316
when,3,0,6.315789,0.0,6.315789,32.556316
in,3,1,6.315789,1.457726,4.858064,2.115244
nul,3,1,6.315789,1.457726,4.858064,2.115244
they,3,1,6.315789,1.457726,4.858064,2.115244
on,5,4,10.526316,5.830904,4.695412,0.852209
chasse,2,0,4.210526,0.0,4.210526,31.971353
d'un,2,0,4.210526,0.0,4.210526,31.971353
dirige,2,0,4.210526,0.0,4.210526,31.971353
donc,2,0,4.210526,0.0,4.210526,31.971353
enjoying,2,0,4.210526,0.0,4.210526,31.971353
ennemies,2,0,4.210526,0.0,4.210526,31.971353
fait,2,0,4.210526,0.0,4.210526,31.971353
fights,2,0,4.210526,0.0,4.210526,31.971353
first,2,0,4.210526,0.0,4.210526,31.971353
gameplay,2,0,4.210526,0.0,4.210526,31.971353
get,2,0,4.210526,0.0,4.210526,31.971353
how,2,0,4.210526,0.0,4.210526,31.971353
into,2,0,4.210526,0.0,4.210526,31.971353
or,2,0,4.210526,0.0,4.210526,31.971353
pepite,2,0,4.210526,0.0,4.210526,31.971353
per,2,0,4.210526,0.0,4.210526,31.971353
personnage,2,0,4.210526,0.0,4.210526,31.971353
plateforme,2,0,4.210526,0.0,4.210526,31.971353
same,2,0,4.210526,0.0,4.210526,31.971353
temps,2,0,4.210526,0.0,4.210526,31.971353
then,2,0,4.210526,0.0,4.210526,31.971353
too,2,0,4.210526,0.0,4.210526,31.971353
trying,2,0,4.210526,0.0,4.210526,31.971353
unfunny,2,0,4.210526,0.0,4.210526,31.971353
with,2,0,4.210526,0.0,4.210526,31.971353
