token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
que,19,4,27.696793,8.421053,19.27574,1.717646
bon,9,0,13.119534,0.0,13.119534,33.610997
ce,13,3,18.950437,6.315789,12.634648,1.585196
bien,8,1,11.661808,2.105263,9.556544,2.469719
c'est,10,3,14.577259,6.315789,8.26147,1.206685
même,5,0,7.28863,0.0,7.28863,32.763
maintenant,4,0,5.830904,0.0,5.830904,32.441072
me,4,0,5.830904,0.0,5.830904,32.441072
ne,4,0,5.830904,0.0,5.830904,32.441072
parce,4,0,5.830904,0.0,5.830904,32.441072
qu'il,4,0,5.830904,0.0,5.830904,32.441072
en,9,4,13.119534,8.421053,4.698481,0.639644
this,6,2,8.746356,4.210526,4.535829,1.054681
ça,6,2,8.746356,4.210526,4.535829,1.054681
deux,3,0,4.373178,0.0,4.373178,32.026035
gets,3,0,4.373178,0.0,4.373178,32.026035
mal,3,0,4.373178,0.0,4.373178,32.026035
reste,3,0,4.373178,0.0,4.373178,32.026035
reviews,3,0,4.373178,0.0,4.373178,32.026035
zones,3,0,4.373178,0.0,4.373178,32.026035
boss,11,6,16.034985,12.631579,3.403406,0.344188
affronter,2,0,2.915452,0.0,2.915452,31.441072
amusé,2,0,2.915452,0.0,2.915452,31.441072
aussi,2,0,2.915452,0.0,2.915452,31.441072
croire,2,0,2.915452,0.0,2.915452,31.441072
devoir,2,0,2.915452,0.0,2.915452,31.441072
different,2,0,2.915452,0.0,2.915452,31.441072
envers,2,0,2.915452,0.0,2.915452,31.441072
excellent,2,0,2.915452,0.0,2.915452,31.441072
existe,2,0,2.915452,0.0,2.915452,31.441072
expérience,2,0,2.915452,0.0,2.915452,31.441072
faire,2,0,2.915452,0.0,2.915452,31.441072
fais,2,0,2.915452,0.0,2.915452,31.441072
farm,2,0,2.915452,0.0,2.915452,31.441072
fixe,2,0,2.915452,0.0,2.915452,31.441072
fois,2,0,2.915452,0.0,2.915452,31.441072
général,2,0,2.915452,0.0,2.915452,31.441072
hub,2,0,2.915452,0.0,2.915452,31.441072
hunt,2,0,2.915452,0.0,2.915452,31.441072
i'm,2,0,2.915452,0.0,2.915452,31.441072
l'attrait,2,0,2.915452,0.0,2.915452,31.441072
love,2,0,2.915452,0.0,2.915452,31.441072
one,2,0,2.915452,0.0,2.915452,31.441072
ont,2,0,2.915452,0.0,2.915452,31.441072
original,2,0,2.915452,0.0,2.915452,31.441072
pretty,2,0,2.915452,0.0,2.915452,31.441072
progression,2,0,2.915452,0.0,2.915452,31.441072
souls,2,0,2.915452,0.0,2.915452,31.441072
sure,2,0,2.915452,0.0,2.915452,31.441072
sympa,2,0,2.915452,0.0,2.915452,31.441072
terminé,2,0,2.915452,0.0,2.915452,31.441072
trouve,2,0,2.915452,0.0,2.915452,31.441072
very,2,0,2.915452,0.0,2.915452,31.441072
vont,2,0,2.915452,0.0,2.915452,31.441072
voulu,2,0,2.915452,0.0,2.915452,31.441072
vraiment,2,0,2.915452,0.0,2.915452,31.441072
work,2,0,2.915452,0.0,2.915452,31.441072
y'a,2,0,2.915452,0.0,2.915452,31.441072
you'll,2,0,2.915452,0.0,2.915452,31.441072
zone,2,0,2.915452,0.0,2.915452,31.441072
premier,6,3,8.746356,6.315789,2.430566,0.469719
tout,6,3,8.746356,6.315789,2.430566,0.469719
celui,3,1,4.373178,2.105263,2.267915,1.054681
it's,3,1,4.373178,2.105263,2.267915,1.054681
juste,3,1,4.373178,2.105263,2.267915,1.054681
mauvais,3,1,4.373178,2.105263,2.267915,1.054681
point,3,1,4.373178,2.105263,2.267915,1.054681
suis,3,1,4.373178,2.105263,2.267915,1.054681
assez,4,2,5.830904,4.210526,1.620377,0.469719
is,4,2,5.830904,4.210526,1.620377,0.469719
not,4,2,5.830904,4.210526,1.620377,0.469719
1er,1,0,1.457726,0.0,1.457726,30.441072
about,1,0,1.457726,0.0,1.457726,30.441072
accèder,1,0,1.457726,0.0,1.457726,30.441072
aimé,1,0,1.457726,0.0,1.457726,30.441072
aller,1,0,1.457726,0.0,1.457726,30.441072
alright,1,0,1.457726,0.0,1.457726,30.441072
am,1,0,1.457726,0.0,1.457726,30.441072
amusant,1,0,1.457726,0.0,1.457726,30.441072
an,1,0,1.457726,0.0,1.457726,30.441072
armes,1,0,1.457726,0.0,1.457726,30.441072
attacks,1,0,1.457726,0.0,1.457726,30.441072
avais,1,0,1.457726,0.0,1.457726,30.441072
avait,1,0,1.457726,0.0,1.457726,30.441072
avez,1,0,1.457726,0.0,1.457726,30.441072
bad,1,0,1.457726,0.0,1.457726,30.441072
baies,1,0,1.457726,0.0,1.457726,30.441072
bas,1,0,1.457726,0.0,1.457726,30.441072
base,1,0,1.457726,0.0,1.457726,30.441072
battre,1,0,1.457726,0.0,1.457726,30.441072
blessé,1,0,1.457726,0.0,1.457726,30.441072
bonheur,1,0,1.457726,0.0,1.457726,30.441072
bonne,1,0,1.457726,0.0,1.457726,30.441072
book,1,0,1.457726,0.0,1.457726,30.441072
bosser,1,0,1.457726,0.0,1.457726,30.441072
boucle,1,0,1.457726,0.0,1.457726,30.441072
bref,1,0,1.457726,0.0,1.457726,30.441072
build,1,0,1.457726,0.0,1.457726,30.441072
by,1,0,1.457726,0.0,1.457726,30.441072
ca,1,0,1.457726,0.0,1.457726,30.441072
camps,1,0,1.457726,0.0,1.457726,30.441072
casse,1,0,1.457726,0.0,1.457726,30.441072
castelvania,1,0,1.457726,0.0,1.457726,30.441072
changement,1,0,1.457726,0.0,1.457726,30.441072
chasser,1,0,1.457726,0.0,1.457726,30.441072
cheap,1,0,1.457726,0.0,1.457726,30.441072
chiant,1,0,1.457726,0.0,1.457726,30.441072
ci,1,0,1.457726,0.0,1.457726,30.441072
classique,1,0,1.457726,0.0,1.457726,30.441072
combinaisons,1,0,1.457726,0.0,1.457726,30.441072
combo,1,0,1.457726,0.0,1.457726,30.441072
compare,1,0,1.457726,0.0,1.457726,30.441072
conclusion,1,0,1.457726,0.0,1.457726,30.441072
constater,1,0,1.457726,0.0,1.457726,30.441072
cool,1,0,1.457726,0.0,1.457726,30.441072
crappy,1,0,1.457726,0.0,1.457726,30.441072
critiqué,1,0,1.457726,0.0,1.457726,30.441072
cross,1,0,1.457726,0.0,1.457726,30.441072
d'avantage,1,0,1.457726,0.0,1.457726,30.441072
d'avoir,1,0,1.457726,0.0,1.457726,30.441072
d'exploration,1,0,1.457726,0.0,1.457726,30.441072
d'innocence,1,0,1.457726,0.0,1.457726,30.441072
darksoul,1,0,1.457726,0.0,1.457726,30.441072
definitely,1,0,1.457726,0.0,1.457726,30.441072
descriminer,1,0,1.457726,0.0,1.457726,30.441072
deserve,1,0,1.457726,0.0,1.457726,30.441072
deserves,1,0,1.457726,0.0,1.457726,30.441072
dessus,1,0,1.457726,0.0,1.457726,30.441072
deuxième,1,0,1.457726,0.0,1.457726,30.441072
devoured,1,0,1.457726,0.0,1.457726,30.441072
devs,1,0,1.457726,0.0,1.457726,30.441072
differentes,1,0,1.457726,0.0,1.457726,30.441072
différence,1,0,1.457726,0.0,1.457726,30.441072
divers,1,0,1.457726,0.0,1.457726,30.441072
dlc,1,0,1.457726,0.0,1.457726,30.441072
does,1,0,1.457726,0.0,1.457726,30.441072
doesn't,1,0,1.457726,0.0,1.457726,30.441072
doit,1,0,1.457726,0.0,1.457726,30.441072
donne,1,0,1.457726,0.0,1.457726,30.441072
duel,1,0,1.457726,0.0,1.457726,30.441072
during,1,0,1.457726,0.0,1.457726,30.441072
délire,1,0,1.457726,0.0,1.457726,30.441072
déplacer,1,0,1.457726,0.0,1.457726,30.441072
eclat,1,0,1.457726,0.0,1.457726,30.441072
enclencher,1,0,1.457726,0.0,1.457726,30.441072
endroit,1,0,1.457726,0.0,1.457726,30.441072
enlever,1,0,1.457726,0.0,1.457726,30.441072
enlève,1,0,1.457726,0.0,1.457726,30.441072
ennemis,1,0,1.457726,0.0,1.457726,30.441072
ensuite,1,0,1.457726,0.0,1.457726,30.441072
environnement,1,0,1.457726,0.0,1.457726,30.441072
es,1,0,1.457726,0.0,1.457726,30.441072
essayons,1,0,1.457726,0.0,1.457726,30.441072
exemple,1,0,1.457726,0.0,1.457726,30.441072
expectations,1,0,1.457726,0.0,1.457726,30.441072
expecting,1,0,1.457726,0.0,1.457726,30.441072
exploring,1,0,1.457726,0.0,1.457726,30.441072
farmer,1,0,1.457726,0.0,1.457726,30.441072
feedback,1,0,1.457726,0.0,1.457726,30.441072
feux,1,0,1.457726,0.0,1.457726,30.441072
few,1,0,1.457726,0.0,1.457726,30.441072
fight,1,0,1.457726,0.0,1.457726,30.441072
fighting,1,0,1.457726,0.0,1.457726,30.441072
figure,1,0,1.457726,0.0,1.457726,30.441072
fini,1,0,1.457726,0.0,1.457726,30.441072
franchise,1,0,1.457726,0.0,1.457726,30.441072
frappant,1,0,1.457726,0.0,1.457726,30.441072
fuis,1,0,1.457726,0.0,1.457726,30.441072
galère,1,0,1.457726,0.0,1.457726,30.441072
game's,1,0,1.457726,0.0,1.457726,30.441072
games,1,0,1.457726,0.0,1.457726,30.441072
garde,1,0,1.457726,0.0,1.457726,30.441072
gardien,1,0,1.457726,0.0,1.457726,30.441072
got,1,0,1.457726,0.0,1.457726,30.441072
grande,1,0,1.457726,0.0,1.457726,30.441072
graphiquement,1,0,1.457726,0.0,1.457726,30.441072
grappin,1,0,1.457726,0.0,1.457726,30.441072
haut,1,0,1.457726,0.0,1.457726,30.441072
having,1,0,1.457726,0.0,1.457726,30.441072
hope,1,0,1.457726,0.0,1.457726,30.441072
horrible,1,0,1.457726,0.0,1.457726,30.441072
however,1,0,1.457726,0.0,1.457726,30.441072
hp,1,0,1.457726,0.0,1.457726,30.441072
idées,1,0,1.457726,0.0,1.457726,30.441072
infame,1,0,1.457726,0.0,1.457726,30.441072
inquiet,1,0,1.457726,0.0,1.457726,30.441072
intelligemment,1,0,1.457726,0.0,1.457726,30.441072
