rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,the game,5,10.660981
2,puis puis,4,8.528785
3,salt and,3,6.396588
4,and sanctuary,3,6.396588
5,of the,3,6.396588
6,puis faut,2,4.264392
7,personnage se,2,4.264392
8,se dirige,2,4.264392
9,the level,2,4.264392
10,into the,2,4.264392
11,the mage,2,4.264392
12,mage fights,2,4.264392
13,this game,2,4.264392
14,the same,2,4.264392
15,per level,2,4.264392
16,level the,2,4.264392
17,trying to,2,4.264392
18,to kill,2,4.264392
19,would be,2,4.264392
20,and they,2,4.264392
21,the mages,2,4.264392
22,avis après,1,2.132196
23,après beaucoup,1,2.132196
24,beaucoup temps,1,2.132196
25,temps lui,1,2.132196
26,lui donner,1,2.132196
27,donner chance,1,2.132196
28,chance nul,1,2.132196
29,nul nul,1,2.132196
30,nul archi,1,2.132196
31,archi nul,1,2.132196
32,nul premier,1,2.132196
33,premier pepite,1,2.132196
34,pepite vrai,1,2.132196
35,vrai dark,1,2.132196
36,dark soul,1,2.132196
37,soul en,1,2.132196
38,en 2d,1,2.132196
39,2d celui,1,2.132196
40,celui là,1,2.132196
41,là c'est,1,2.132196
42,c'est cata,1,2.132196
43,cata chasse,1,2.132196
44,chasse mage,1,2.132196
45,mage puis,1,2.132196
46,faut stuffer,1,2.132196
47,stuffer donc,1,2.132196
48,donc autre,1,2.132196
49,autre puis,1,2.132196
50,faut encore,1,2.132196
51,encore stuff,1,2.132196
52,stuff donc,1,2.132196
53,donc pis,1,2.132196
54,pis t'arrive,1,2.132196
55,t'arrive comme,1,2.132196
56,comme moi,1,2.132196
57,moi fin,1,2.132196
58,fin avoir,1,2.132196
59,avoir bousiller,1,2.132196
60,bousiller trash,1,2.132196
61,trash mob,1,2.132196
62,mob vrai,1,2.132196
63,vrai boss,1,2.132196
64,boss ce,1,2.132196
65,ce qui,1,2.132196
66,qui m'a,1,2.132196
67,m'a fait,1,2.132196
68,fait arrêter,1,2.132196
69,arrêter plateforme,1,2.132196
70,plateforme foireuse,1,2.132196
71,foireuse faut,1,2.132196
72,faut compter,1,2.132196
73,compter cadence,1,2.132196
74,cadence pieges,1,2.132196
75,pieges avant,1,2.132196
76,avant passer,1,2.132196
77,passer deconer,1,2.132196
78,deconer fait,1,2.132196
79,fait j'y,1,2.132196
80,j'y vais,1,2.132196
81,vais hollowknigth,1,2.132196
82,hollowknigth ok,1,2.132196
83,ok personnage,1,2.132196
84,dirige nickel,1,2.132196
85,nickel ce,1,2.132196
86,ce genre,1,2.132196
87,genre non,1,2.132196
88,non quand,1,2.132196
89,quand personnage,1,2.132196
90,dirige comme,1,2.132196
91,comme camion,1,2.132196
92,camion c'est,1,2.132196
93,c'est possible,1,2.132196
94,possible tout,1,2.132196
95,tout rater,1,2.132196
96,rater baston,1,2.132196
97,baston monde,1,2.132196
98,monde qui,1,2.132196
99,qui fermer,1,2.132196
100,fermer instancier,1,2.132196
