rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,the game,7,6.124234
2,salt and,5,4.374453
3,and sanctuary,5,4.374453
4,of the,5,4.374453
5,this game,5,4.374453
6,puis puis,4,3.499563
7,ce qui,3,2.624672
8,would be,3,2.624672
9,ce qu'il,3,2.624672
10,parce que,3,2.624672
11,this is,3,2.624672
12,puis faut,2,1.749781
13,personnage se,2,1.749781
14,se dirige,2,1.749781
15,ce genre,2,1.749781
16,que j'ai,2,1.749781
17,en soit,2,1.749781
18,ça en,2,1.749781
19,mal y'a,2,1.749781
20,the level,2,1.749781
21,into the,2,1.749781
22,the mage,2,1.749781
23,mage fights,2,1.749781
24,the same,2,1.749781
25,per level,2,1.749781
26,level the,2,1.749781
27,trying to,2,1.749781
28,to the,2,1.749781
29,to kill,2,1.749781
30,mages and,2,1.749781
31,and they,2,1.749781
32,the mages,2,1.749781
33,que salt,2,1.749781
34,premier c'est,2,1.749781
35,vrai que,2,1.749781
36,que celui,2,1.749781
37,tout même,2,1.749781
38,me suis,2,1.749781
39,assez bien,2,1.749781
40,bien amusé,2,1.749781
41,tout ce,2,1.749781
42,comme boss,2,1.749781
43,c'est juste,2,1.749781
44,boss que,2,1.749781
45,dark souls,2,1.749781
46,salt sanctuary,2,1.749781
47,if you,2,1.749781
48,game is,2,1.749781
49,vont se,2,1.749781
50,the reviews,2,1.749781
51,i'm sure,2,1.749781
52,avis après,1,0.874891
53,après beaucoup,1,0.874891
54,beaucoup temps,1,0.874891
55,temps lui,1,0.874891
56,lui donner,1,0.874891
57,donner chance,1,0.874891
58,chance nul,1,0.874891
59,nul nul,1,0.874891
60,nul archi,1,0.874891
61,archi nul,1,0.874891
62,nul premier,1,0.874891
63,premier pepite,1,0.874891
64,pepite vrai,1,0.874891
65,vrai dark,1,0.874891
66,dark soul,1,0.874891
67,soul en,1,0.874891
68,en 2d,1,0.874891
69,2d celui,1,0.874891
70,celui là,1,0.874891
71,là c'est,1,0.874891
72,c'est cata,1,0.874891
73,cata chasse,1,0.874891
74,chasse mage,1,0.874891
75,mage puis,1,0.874891
76,faut stuffer,1,0.874891
77,stuffer donc,1,0.874891
78,donc autre,1,0.874891
79,autre puis,1,0.874891
80,faut encore,1,0.874891
81,encore stuff,1,0.874891
82,stuff donc,1,0.874891
83,donc pis,1,0.874891
84,pis t'arrive,1,0.874891
85,t'arrive comme,1,0.874891
86,comme moi,1,0.874891
87,moi fin,1,0.874891
88,fin avoir,1,0.874891
89,avoir bousiller,1,0.874891
90,bousiller trash,1,0.874891
91,trash mob,1,0.874891
92,mob vrai,1,0.874891
93,vrai boss,1,0.874891
94,boss ce,1,0.874891
95,qui m'a,1,0.874891
96,m'a fait,1,0.874891
97,fait arrêter,1,0.874891
98,arrêter plateforme,1,0.874891
99,plateforme foireuse,1,0.874891
100,foireuse faut,1,0.874891
