rank,token,frequency,relative_frequency_per_1000_tokens
1,the,20,42.105263
2,and,11,23.157895
3,of,9,18.947368
4,game,8,16.842105
5,mages,7,14.736842
6,puis,6,12.631579
7,boss,6,12.631579
8,to,6,12.631579
9,on,5,10.526316
10,level,5,10.526316
11,en,4,8.421053
12,mage,4,8.421053
13,qui,4,8.421053
14,que,4,8.421053
15,j'ai,4,8.421053
16,it,4,8.421053
17,sometimes,4,8.421053
18,merde,4,8.421053
19,nul,3,6.315789
20,premier,3,6.315789
21,c'est,3,6.315789
22,faut,3,6.315789
23,comme,3,6.315789
24,ce,3,6.315789
25,se,3,6.315789
26,tout,3,6.315789
27,vu,3,6.315789
28,salt,3,6.315789
29,sanctuary,3,6.315789
30,when,3,6.315789
31,really,3,6.315789
32,in,3,6.315789
33,but,3,6.315789
34,they,3,6.315789
35,your,3,6.315789
36,kill,3,6.315789
37,temps,2,4.210526
38,lui,2,4.210526
39,chance,2,4.210526
40,pepite,2,4.210526
41,vrai,2,4.210526
42,chasse,2,4.210526
43,donc,2,4.210526
44,fait,2,4.210526
45,plateforme,2,4.210526
46,personnage,2,4.210526
47,dirige,2,4.210526
48,ça,2,4.210526
49,moins,2,4.210526
50,assez,2,4.210526
51,d'un,2,4.210526
52,first,2,4.210526
53,not,2,4.210526
54,enjoying,2,4.210526
55,then,2,4.210526
56,into,2,4.210526
57,fights,2,4.210526
58,part,2,4.210526
59,this,2,4.210526
60,how,2,4.210526
61,same,2,4.210526
62,per,2,4.210526
63,is,2,4.210526
64,get,2,4.210526
65,ennemies,2,4.210526
66,or,2,4.210526
67,trying,2,4.210526
68,would,2,4.210526
69,be,2,4.210526
70,fun,2,4.210526
71,you,2,4.210526
72,bosses,2,4.210526
73,that,2,4.210526
74,with,2,4.210526
75,gameplay,2,4.210526
76,too,2,4.210526
77,unfunny,2,4.210526
78,avis,1,2.105263
79,après,1,2.105263
80,beaucoup,1,2.105263
81,donner,1,2.105263
82,archi,1,2.105263
83,dark,1,2.105263
84,soul,1,2.105263
85,2d,1,2.105263
86,celui,1,2.105263
87,là,1,2.105263
88,cata,1,2.105263
89,stuffer,1,2.105263
90,autre,1,2.105263
91,encore,1,2.105263
92,stuff,1,2.105263
93,pis,1,2.105263
94,t'arrive,1,2.105263
95,moi,1,2.105263
96,fin,1,2.105263
97,avoir,1,2.105263
98,bousiller,1,2.105263
99,trash,1,2.105263
100,mob,1,2.105263
101,m'a,1,2.105263
102,arrêter,1,2.105263
103,foireuse,1,2.105263
104,compter,1,2.105263
105,cadence,1,2.105263
106,pieges,1,2.105263
107,avant,1,2.105263
108,passer,1,2.105263
109,deconer,1,2.105263
110,j'y,1,2.105263
111,vais,1,2.105263
112,hollowknigth,1,2.105263
113,ok,1,2.105263
114,nickel,1,2.105263
115,genre,1,2.105263
116,non,1,2.105263
117,quand,1,2.105263
118,camion,1,2.105263
119,possible,1,2.105263
120,rater,1,2.105263
121,baston,1,2.105263
122,monde,1,2.105263
123,fermer,1,2.105263
124,instancier,1,2.105263
125,raté,1,2.105263
126,dégoûter,1,2.105263
127,qu'était,1,2.105263
128,heure,1,2.105263
129,insisté,1,2.105263
130,peut,1,2.105263
131,dire,1,2.105263
132,pourquoi,1,2.105263
133,jouer,1,2.105263
134,autant,1,2.105263
135,ben,1,2.105263
136,parceque,1,2.105263
137,voulais,1,2.105263
138,juste,1,2.105263
139,donnais,1,2.105263
140,respect,1,2.105263
141,final,1,2.105263
142,perdu,1,2.105263
143,argent,1,2.105263
144,perd,1,2.105263
145,littéralement,1,2.105263
146,charme,1,2.105263
147,faisait,1,2.105263
148,soit,1,2.105263
149,mauvais,1,2.105263
150,comparé,1,2.105263
151,grand,1,2.105263
152,frère,1,2.105263
153,tellement,1,2.105263
154,décevant,1,2.105263
155,font,1,2.105263
156,office,1,2.105263
157,auraient,1,2.105263
158,pu,1,2.105263
159,intéressante,1,2.105263
160,long,1,2.105263
161,terme,1,2.105263
162,devient,1,2.105263
163,lourd,1,2.105263
164,utilisent,1,2.105263
165,patterns,1,2.105263
166,similaire,1,2.105263
167,oublie,1,2.105263
168,l'éléments,1,2.105263
169,qu'ils,1,2.105263
170,maîtrisent,1,2.105263
171,physique,1,2.105263
172,coups,1,2.105263
173,chelou,1,2.105263
174,également,1,2.105263
175,moindre,1,2.105263
176,attaque,1,2.105263
177,mobs,1,2.105263
178,envois,1,2.105263
179,valdinguer,1,2.105263
180,travers,1,2.105263
181,décor,1,2.105263
182,façon,1,2.105263
183,incompréhensible,1,2.105263
184,suis,1,2.105263
185,déçu,1,2.105263
186,cette,1,2.105263
187,suite,1,2.105263
188,car,1,2.105263
189,c'était,1,2.105263
190,j'avais,1,2.105263
191,attendu,1,2.105263
192,started,1,2.105263
193,was,1,2.105263
194,my,1,2.105263
195,time,1,2.105263
196,seemed,1,2.105263
197,like,1,2.105263
198,dumbed,1,2.105263
199,down,1,2.105263
200,version,1,2.105263
