rank,token,frequency,relative_frequency_per_1000_tokens
1,the,34,29.285099
2,que,23,19.810508
3,boss,17,14.64255
4,and,17,14.64255
5,ce,16,13.781223
6,mages,15,12.919897
7,game,15,12.919897
8,en,13,11.197244
9,c'est,13,11.197244
10,of,12,10.335917
11,qui,10,8.613264
12,to,10,8.613264
13,premier,9,7.751938
14,tout,9,7.751938
15,on,9,7.751938
16,bien,9,7.751938
17,it,9,7.751938
18,bon,9,7.751938
19,ça,8,6.890612
20,j'ai,8,6.890612
21,this,8,6.890612
22,salt,7,6.029285
23,sanctuary,7,6.029285
24,puis,6,5.167959
25,comme,6,5.167959
26,se,6,5.167959
27,assez,6,5.167959
28,not,6,5.167959
29,is,6,5.167959
30,mage,5,4.306632
31,faut,5,4.306632
32,level,5,4.306632
33,but,5,4.306632
34,your,5,4.306632
35,fun,5,4.306632
36,you,5,4.306632
37,bosses,5,4.306632
38,même,5,4.306632
39,lui,4,3.445306
40,nul,4,3.445306
41,vrai,4,3.445306
42,celui,4,3.445306
43,juste,4,3.445306
44,mauvais,4,3.445306
45,suis,4,3.445306
46,point,4,3.445306
47,in,4,3.445306
48,they,4,3.445306
49,sometimes,4,3.445306
50,that,4,3.445306
51,merde,4,3.445306
52,me,4,3.445306
53,qu'il,4,3.445306
54,ne,4,3.445306
55,maintenant,4,3.445306
56,parce,4,3.445306
57,it's,4,3.445306
58,chance,3,2.583979
59,dark,3,2.583979
60,genre,3,2.583979
61,quand,3,2.583979
62,possible,3,2.583979
63,vu,3,2.583979
64,moins,3,2.583979
65,mal,3,2.583979
66,when,3,2.583979
67,really,3,2.583979
68,are,3,2.583979
69,part,3,2.583979
70,kill,3,2.583979
71,would,3,2.583979
72,be,3,2.583979
73,have,3,2.583979
74,as,3,2.583979
75,up,3,2.583979
76,qu'on,3,2.583979
77,deux,3,2.583979
78,zones,3,2.583979
79,reste,3,2.583979
80,gets,3,2.583979
81,if,3,2.583979
82,reviews,3,2.583979
83,après,2,1.722653
84,beaucoup,2,1.722653
85,temps,2,1.722653
86,donner,2,1.722653
87,pepite,2,1.722653
88,chasse,2,1.722653
89,donc,2,1.722653
90,avoir,2,1.722653
91,fait,2,1.722653
92,plateforme,2,1.722653
93,vais,2,1.722653
94,personnage,2,1.722653
95,dirige,2,1.722653
96,peut,2,1.722653
97,pourquoi,2,1.722653
98,final,2,1.722653
99,perd,2,1.722653
100,soit,2,1.722653
101,comparé,2,1.722653
102,décevant,2,1.722653
103,intéressante,2,1.722653
104,long,2,1.722653
105,lourd,2,1.722653
106,coups,2,1.722653
107,également,2,1.722653
108,d'un,2,1.722653
109,cette,2,1.722653
110,c'était,2,1.722653
111,sympa,2,1.722653
112,y'a,2,1.722653
113,trouve,2,1.722653
114,first,2,1.722653
115,started,2,1.722653
116,was,2,1.722653
117,enjoying,2,1.722653
118,my,2,1.722653
119,time,2,1.722653
120,then,2,1.722653
121,more,2,1.722653
122,exploration,2,1.722653
123,into,2,1.722653
124,fights,2,1.722653
125,how,2,1.722653
126,those,2,1.722653
127,same,2,1.722653
128,per,2,1.722653
129,get,2,1.722653
130,ennemies,2,1.722653
131,or,2,1.722653
132,trying,2,1.722653
133,good,2,1.722653
134,with,2,1.722653
135,gameplay,2,1.722653
136,mécaniques,2,1.722653
137,mention,2,1.722653
138,jamais,2,1.722653
139,fais,2,1.722653
140,voulu,2,1.722653
141,amusé,2,1.722653
142,affronter,2,1.722653
143,fixe,2,1.722653
144,farm,2,1.722653
145,hub,2,1.722653
146,vraiment,2,1.722653
147,devoir,2,1.722653
148,progression,2,1.722653
149,original,2,1.722653
150,fois,2,1.722653
151,aussi,2,1.722653
152,souls,2,1.722653
153,faire,2,1.722653
154,croire,2,1.722653
155,love,2,1.722653
156,pretty,2,1.722653
157,hunt,2,1.722653
158,one,2,1.722653
159,you'll,2,1.722653
160,excellent,2,1.722653
161,terminé,2,1.722653
162,général,2,1.722653
163,ont,2,1.722653
164,too,2,1.722653
165,unfunny,2,1.722653
166,envers,2,1.722653
167,expérience,2,1.722653
168,existe,2,1.722653
169,l'attrait,2,1.722653
170,zone,2,1.722653
171,vont,2,1.722653
172,very,2,1.722653
173,i'm,2,1.722653
174,sure,2,1.722653
175,work,2,1.722653
176,different,2,1.722653
177,avis,1,0.861326
178,archi,1,0.861326
179,soul,1,0.861326
180,2d,1,0.861326
181,là,1,0.861326
182,cata,1,0.861326
183,stuffer,1,0.861326
184,autre,1,0.861326
185,encore,1,0.861326
186,stuff,1,0.861326
187,pis,1,0.861326
188,t'arrive,1,0.861326
189,moi,1,0.861326
190,fin,1,0.861326
191,bousiller,1,0.861326
192,trash,1,0.861326
193,mob,1,0.861326
194,m'a,1,0.861326
195,arrêter,1,0.861326
196,foireuse,1,0.861326
197,compter,1,0.861326
198,cadence,1,0.861326
199,pieges,1,0.861326
200,avant,1,0.861326
