rank,token,frequency,relative_frequency_per_1000_tokens
1,que,19,27.696793
2,the,14,20.408163
3,ce,13,18.950437
4,boss,11,16.034985
5,c'est,10,14.577259
6,bon,9,13.119534
7,en,9,13.119534
8,bien,8,11.661808
9,mages,8,11.661808
10,game,7,10.204082
11,ça,6,8.746356
12,premier,6,8.746356
13,tout,6,8.746356
14,qui,6,8.746356
15,this,6,8.746356
16,and,6,8.746356
17,même,5,7.28863
18,it,5,7.28863
19,on,4,5.830904
20,j'ai,4,5.830904
21,me,4,5.830904
22,assez,4,5.830904
23,qu'il,4,5.830904
24,ne,4,5.830904
25,maintenant,4,5.830904
26,parce,4,5.830904
27,is,4,5.830904
28,not,4,5.830904
29,salt,4,5.830904
30,sanctuary,4,5.830904
31,to,4,5.830904
32,mal,3,4.373178
33,point,3,4.373178
34,mauvais,3,4.373178
35,celui,3,4.373178
36,suis,3,4.373178
37,fun,3,4.373178
38,comme,3,4.373178
39,juste,3,4.373178
40,deux,3,4.373178
41,zones,3,4.373178
42,se,3,4.373178
43,reste,3,4.373178
44,it's,3,4.373178
45,gets,3,4.373178
46,you,3,4.373178
47,bosses,3,4.373178
48,of,3,4.373178
49,reviews,3,4.373178
50,sympa,2,2.915452
51,y'a,2,2.915452
52,trouve,2,2.915452
53,vrai,2,2.915452
54,fais,2,2.915452
55,voulu,2,2.915452
56,lui,2,2.915452
57,amusé,2,2.915452
58,genre,2,2.915452
59,affronter,2,2.915452
60,fixe,2,2.915452
61,farm,2,2.915452
62,hub,2,2.915452
63,vraiment,2,2.915452
64,faut,2,2.915452
65,devoir,2,2.915452
66,progression,2,2.915452
67,up,2,2.915452
68,original,2,2.915452
69,fois,2,2.915452
70,aussi,2,2.915452
71,dark,2,2.915452
72,souls,2,2.915452
73,qu'on,2,2.915452
74,faire,2,2.915452
75,croire,2,2.915452
76,quand,2,2.915452
77,love,2,2.915452
78,pretty,2,2.915452
79,as,2,2.915452
80,hunt,2,2.915452
81,your,2,2.915452
82,one,2,2.915452
83,have,2,2.915452
84,but,2,2.915452
85,are,2,2.915452
86,you'll,2,2.915452
87,excellent,2,2.915452
88,terminé,2,2.915452
89,général,2,2.915452
90,ont,2,2.915452
91,envers,2,2.915452
92,expérience,2,2.915452
93,possible,2,2.915452
94,existe,2,2.915452
95,l'attrait,2,2.915452
96,zone,2,2.915452
97,vont,2,2.915452
98,that,2,2.915452
99,very,2,2.915452
100,i'm,2,2.915452
101,sure,2,2.915452
102,work,2,2.915452
103,if,2,2.915452
104,different,2,2.915452
105,beaucoup,1,1.457726
106,négatif,1,1.457726
107,m'amuse,1,1.457726
108,nul,1,1.457726
109,l'a,1,1.457726
110,descriminer,1,1.457726
111,realiter,1,1.457726
112,essayons,1,1.457726
113,donner,1,1.457726
114,bonne,1,1.457726
115,évaluation,1,1.457726
116,tant,1,1.457726
117,critiqué,1,1.457726
118,n'est,1,1.457726
119,comparé,1,1.457726
120,pale,1,1.457726
121,figure,1,1.457726
122,laisser,1,1.457726
123,chance,1,1.457726
124,problème,1,1.457726
125,enlève,1,1.457726
126,avais,1,1.457726
127,garde,1,1.457726
128,avait,1,1.457726
129,r'ajoute,1,1.457726
130,délire,1,1.457726
131,chasser,1,1.457726
132,toute,1,1.457726
133,map,1,1.457726
134,ensuite,1,1.457726
135,veux,1,1.457726
136,jamais,1,1.457726
137,voir,1,1.457726
138,vie,1,1.457726
139,metroidvania,1,1.457726
140,infame,1,1.457726
141,pourquoi,1,1.457726
142,mettre,1,1.457726
143,endroit,1,1.457726
144,simplement,1,1.457726
145,refaire,1,1.457726
146,boucle,1,1.457726
147,leurs,1,1.457726
148,loot,1,1.457726
149,triste,1,1.457726
150,constater,1,1.457726
151,seuls,1,1.457726
152,trouvé,1,1.457726
153,quêtes,1,1.457726
154,optionnels,1,1.457726
155,pnj,1,1.457726
156,doit,1,1.457726
157,suivre,1,1.457726
158,long,1,1.457726
159,l'aventure,1,1.457726
160,final,1,1.457726
161,dlc,1,1.457726
162,possède,1,1.457726
163,portail,1,1.457726
164,accèder,1,1.457726
165,differentes,1,1.457726
166,fini,1,1.457726
167,grande,1,1.457726
168,île,1,1.457726
169,interconnectés,1,1.457726
170,casse,1,1.457726
171,l'immersion,1,1.457726
172,plaisir,1,1.457726
173,d'exploration,1,1.457726
174,soins,1,1.457726
175,projectiles,1,1.457726
176,truc,1,1.457726
177,recharge,1,1.457726
178,l'infini,1,1.457726
179,sauvegarde,1,1.457726
180,farmer,1,1.457726
181,plantes,1,1.457726
182,minerai,1,1.457726
183,rien,1,1.457726
184,amusant,1,1.457726
185,stopper,1,1.457726
186,galère,1,1.457726
187,aller,1,1.457726
188,baies,1,1.457726
189,n'a,1,1.457726
190,soin,1,1.457726
191,powers,1,1.457726
192,souviens,1,1.457726
193,c'était,1,1.457726
194,cool,1,1.457726
195,grappin,1,1.457726
196,utilisé,1,1.457726
197,trop,1,1.457726
198,mention,1,1.457726
199,special,1,1.457726
200,pouvoir,1,1.457726
