token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
jedoch,10,0,7.524454,0.0,7.524454,32.80894
da,13,4,9.781791,3.700278,6.081513,1.402465
dem,9,1,6.772009,0.925069,5.84694,2.87195
sich,12,4,9.029345,3.700278,5.329068,1.286988
magier,13,5,9.781791,4.625347,5.156444,1.080537
dass,8,1,6.019564,0.925069,5.094494,2.702025
mehr,8,1,6.019564,0.925069,5.094494,2.702025
durch,9,2,6.772009,1.850139,4.92187,1.87195
gut,6,0,4.514673,0.0,4.514673,32.071974
wirst,6,0,4.514673,0.0,4.514673,32.071974
bosse,7,1,5.267118,0.925069,4.342049,2.50938
hier,8,2,6.019564,1.850139,4.169425,1.702025
zeit,5,0,3.762227,0.0,3.762227,31.80894
dies,6,1,4.514673,0.925069,3.589603,2.286988
this,6,1,4.514673,0.925069,3.589603,2.286988
wird,6,1,4.514673,0.925069,3.589603,2.286988
ersten,7,2,5.267118,1.850139,3.416979,1.50938
an,9,4,6.772009,3.700278,3.071732,0.87195
ausweichen,4,0,3.009782,0.0,3.009782,31.487012
besser,4,0,3.009782,0.0,3.009782,31.487012
charakter,4,0,3.009782,0.0,3.009782,31.487012
dir,4,0,3.009782,0.0,3.009782,31.487012
eher,4,0,3.009782,0.0,3.009782,31.487012
hatte,4,0,3.009782,0.0,3.009782,31.487012
irrelevant,4,0,3.009782,0.0,3.009782,31.487012
nahezu,4,0,3.009782,0.0,3.009782,31.487012
schlecht,4,0,3.009782,0.0,3.009782,31.487012
dieses,5,1,3.762227,0.925069,2.837158,2.023954
einfach,5,1,3.762227,0.925069,2.837158,2.023954
schon,5,1,3.762227,0.925069,2.837158,2.023954
wieder,5,1,3.762227,0.925069,2.837158,2.023954
einem,6,2,4.514673,1.850139,2.664534,1.286988
immer,6,2,4.514673,1.850139,2.664534,1.286988
können,6,2,4.514673,1.850139,2.664534,1.286988
teil,8,4,6.019564,3.700278,2.319286,0.702025
abseits,3,0,2.257336,0.0,2.257336,31.071974
alles,3,0,2.257336,0.0,2.257336,31.071974
beim,3,0,2.257336,0.0,2.257336,31.071974
denen,3,0,2.257336,0.0,2.257336,31.071974
erste,3,0,2.257336,0.0,2.257336,31.071974
findest,3,0,2.257336,0.0,2.257336,31.071974
grafik,3,0,2.257336,0.0,2.257336,31.071974
handlung,3,0,2.257336,0.0,2.257336,31.071974
hätte,3,0,2.257336,0.0,2.257336,31.071974
keinen,3,0,2.257336,0.0,2.257336,31.071974
kämpfen,3,0,2.257336,0.0,2.257336,31.071974
leider,3,0,2.257336,0.0,2.257336,31.071974
muss,3,0,2.257336,0.0,2.257336,31.071974
neuen,3,0,2.257336,0.0,2.257336,31.071974
praktisch,3,0,2.257336,0.0,2.257336,31.071974
problem,3,0,2.257336,0.0,2.257336,31.071974
recht,3,0,2.257336,0.0,2.257336,31.071974
regionen,3,0,2.257336,0.0,2.257336,31.071974
schnell,3,0,2.257336,0.0,2.257336,31.071974
spielen,3,0,2.257336,0.0,2.257336,31.071974
wie,9,5,6.772009,4.625347,2.146662,0.550022
all,4,1,3.009782,0.925069,2.084712,1.702025
andere,4,1,3.009782,0.925069,2.084712,1.702025
fühlt,4,1,3.009782,0.925069,2.084712,1.702025
spaß,4,1,3.009782,0.925069,2.084712,1.702025
werden,4,1,3.009782,0.925069,2.084712,1.702025
aus,5,2,3.762227,1.850139,1.912088,1.023954
einen,5,2,3.762227,1.850139,1.912088,1.023954
den,11,7,8.2769,6.475486,1.801414,0.354102
alle,2,0,1.504891,0.0,1.504891,30.487012
already,2,0,1.504891,0.0,1.504891,30.487012
angreifen,2,0,1.504891,0.0,1.504891,30.487012
aoe,2,0,1.504891,0.0,1.504891,30.487012
augen,2,0,1.504891,0.0,1.504891,30.487012
bietet,2,0,1.504891,0.0,1.504891,30.487012
bossgegner,2,0,1.504891,0.0,1.504891,30.487012
