token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
the,18,6,16.651249,4.514673,12.136576,1.882937
es,23,14,21.276596,10.534236,10.742359,1.014182
and,21,13,19.426457,9.781791,9.644666,0.989852
of,10,1,9.250694,0.752445,8.498248,3.619903
to,14,7,12.950971,5.267118,7.683853,1.297975
salt,14,9,12.950971,6.772009,6.178962,0.935405
gameplay,6,0,5.550416,0.0,5.550416,32.369949
good,6,0,5.550416,0.0,5.550416,32.369949
souls,6,0,5.550416,0.0,5.550416,32.369949
it,10,5,9.250694,3.762227,5.488467,1.297975
grind,5,0,4.625347,0.0,4.625347,32.106914
uns,5,0,4.625347,0.0,4.625347,32.106914
game,9,5,8.325624,3.762227,4.563397,1.145971
if,5,1,4.625347,0.752445,3.872901,2.619903
dark,4,0,3.700278,0.0,3.700278,31.784986
new,4,0,3.700278,0.0,3.700278,31.784986
playing,4,0,3.700278,0.0,3.700278,31.784986
weitere,4,0,3.700278,0.0,3.700278,31.784986
you,8,5,7.400555,3.762227,3.638328,0.976046
was,9,7,8.325624,5.267118,3.058506,0.660545
for,4,1,3.700278,0.752445,2.947832,2.297975
too,4,1,3.700278,0.752445,2.947832,2.297975
average,3,0,2.775208,0.0,2.775208,31.369949
bugs,3,0,2.775208,0.0,2.775208,31.369949
crossplay,3,0,2.775208,0.0,2.775208,31.369949
diverse,3,0,2.775208,0.0,2.775208,31.369949
gefällt,3,0,2.775208,0.0,2.775208,31.369949
habe,3,0,2.775208,0.0,2.775208,31.369949
hard,3,0,2.775208,0.0,2.775208,31.369949
hunter,3,0,2.775208,0.0,2.775208,31.369949
it's,3,0,2.775208,0.0,2.775208,31.369949
jeder,3,0,2.775208,0.0,2.775208,31.369949
karte,3,0,2.775208,0.0,2.775208,31.369949
long,3,0,2.775208,0.0,2.775208,31.369949
ressourcen,3,0,2.775208,0.0,2.775208,31.369949
rüstungen,3,0,2.775208,0.0,2.775208,31.369949
schlechten,3,0,2.775208,0.0,2.775208,31.369949
will,3,0,2.775208,0.0,2.775208,31.369949
with,3,0,2.775208,0.0,2.775208,31.369949
your,3,0,2.775208,0.0,2.775208,31.369949
kann,7,5,6.475486,3.762227,2.713258,0.783401
just,5,3,4.625347,2.257336,2.368011,1.03494
sacrifice,5,3,4.625347,2.257336,2.368011,1.03494
