rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,9,6.828528
2,ersten teil,5,3.793627
3,and sanctuary,5,3.793627
4,nahezu irrelevant,3,2.276176
5,immer wieder,3,2.276176
6,diese magier,3,2.276176
7,es sich,3,2.276176
8,gibt es,2,1.517451
9,dass den,2,1.517451
10,durch level,2,1.517451
11,mir hier,2,1.517451
12,immer gleichen,2,1.517451
13,gleichen bosse,2,1.517451
14,and sacrifice,2,1.517451
15,game is,2,1.517451
16,that mistake,2,1.517451
17,you have,2,1.517451
18,have to,2,1.517451
19,erste teil,2,1.517451
20,als spieler,2,1.517451
21,des ersten,2,1.517451
22,teil salt,2,1.517451
23,ende nahezu,2,1.517451
24,deine ausrüstung,2,1.517451
25,diesen magiern,2,1.517451
26,durch regionen,2,1.517451
27,kann man,2,1.517451
28,meinen augen,2,1.517451
29,fliegen kann,2,1.517451
30,fühlt es,2,1.517451
31,sanctuary hat,2,1.517451
32,fühlt sich,2,1.517451
33,this is,2,1.517451
34,it is,2,1.517451
35,at all,2,1.517451
36,is just,2,1.517451
37,ausweichen ausweichen,2,1.517451
38,es geht,1,0.758725
39,geht salzig,1,0.758725
40,salzig weiter,1,0.758725
41,weiter hier,1,0.758725
42,hier geht,1,0.758725
43,geht meinem,1,0.758725
44,meinem waetsch's,1,0.758725
45,waetsch's play,1,0.758725
46,play https,1,0.758725
47,https youtu,1,0.758725
48,youtu be,1,0.758725
49,be ju3kl_hkt3y,1,0.758725
50,ju3kl_hkt3y niedliche,1,0.758725
51,niedliche grafik,1,0.758725
52,grafik unübersichtliche,1,0.758725
53,unübersichtliche darstellung,1,0.758725
54,darstellung grauenhafte,1,0.758725
55,grauenhafte kämpfe,1,0.758725
56,kämpfe unsere,1,0.758725
57,unsere aufgabe,1,0.758725
58,aufgabe es,1,0.758725
59,es magier,1,0.758725
60,magier töten,1,0.758725
61,töten machen,1,0.758725
62,machen einem,1,0.758725
63,einem selbsterstellten,1,0.758725
64,selbsterstellten charakter,1,0.758725
65,charakter reichlich,1,0.758725
66,reichlich frustresistenz,1,0.758725
67,frustresistenz grafik,1,0.758725
68,grafik dabei,1,0.758725
69,dabei recht,1,0.758725
70,recht hübsch,1,0.758725
71,hübsch anzuschauen,1,0.758725
72,anzuschauen charakter,1,0.758725
73,charakter nett,1,0.758725
74,nett gezeichnet,1,0.758725
75,gezeichnet leider,1,0.758725
76,leider etwas,1,0.758725
77,etwas hakelig,1,0.758725
78,hakelig animiert,1,0.758725
79,animiert hintergründe,1,0.758725
80,hintergründe recht,1,0.758725
81,recht stimmungsvoll,1,0.758725
82,stimmungsvoll manchmal,1,0.758725
83,manchmal gibt,1,0.758725
84,es fragezeichen,1,0.758725
85,fragezeichen sich,1,0.758725
86,sich mond,1,0.758725
87,mond meiner,1,0.758725
88,meiner blickrichtung,1,0.758725
89,blickrichtung mitbewegt,1,0.758725
90,mitbewegt kleinigkeit,1,0.758725
91,kleinigkeit stört,1,0.758725
92,stört dennoch,1,0.758725
93,dennoch etwas,1,0.758725
94,etwas sound,1,0.758725
95,sound musik,1,0.758725
96,musik passend,1,0.758725
97,passend texte,1,0.758725
98,texte können,1,0.758725
99,können auf,1,0.758725
100,auf deutsch,1,0.758725
