rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,22,9.208874
2,and sanctuary,13,5.441607
3,and sacrifice,7,2.930096
4,ersten teil,6,2.511511
5,dark souls,4,1.674341
6,immer wieder,4,1.674341
7,es sich,4,1.674341
8,gibt es,3,1.255756
9,it is,3,1.255756
10,monster hunter,3,1.255756
11,you can,3,1.255756
12,fühlt sich,3,1.255756
13,kann es,3,1.255756
14,nahezu irrelevant,3,1.255756
15,diese magier,3,1.255756
16,ähnlich wie,3,1.255756
17,kann man,3,1.255756
18,es auf,3,1.255756
19,den game,3,1.255756
20,es geht,2,0.83717
21,machen einem,2,0.83717
22,aus man,2,0.83717
23,dass den,2,0.83717
24,durch level,2,0.83717
25,mir hier,2,0.83717
26,bei steam,2,0.83717
27,immer gleichen,2,0.83717
28,gleichen bosse,2,0.83717
29,neue fähigkeiten,2,0.83717
30,the first,2,0.83717
31,playing the,2,0.83717
32,of the,2,0.83717
33,the map,2,0.83717
34,forward to,2,0.83717
35,to the,2,0.83717
36,the game,2,0.83717
37,game is,2,0.83717
38,if you,2,0.83717
39,that mistake,2,0.83717
40,you have,2,0.83717
41,have to,2,0.83717
42,hat mich,2,0.83717
43,erste teil,2,0.83717
44,very good,2,0.83717
45,good good,2,0.83717
46,hard drive,2,0.83717
47,you will,2,0.83717
48,to hold,2,0.83717
49,to progress,2,0.83717
50,als spieler,2,0.83717
51,des ersten,2,0.83717
52,teil salt,2,0.83717
53,als nachfolger,2,0.83717
54,kein salt,2,0.83717
55,ende nahezu,2,0.83717
56,wie monster,2,0.83717
57,deine ausrüstung,2,0.83717
58,diesen magiern,2,0.83717
59,durch regionen,2,0.83717
60,meinen augen,2,0.83717
61,fliegen kann,2,0.83717
62,fühlt es,2,0.83717
63,es keine,2,0.83717
64,sanctuary hat,2,0.83717
65,leute salt,2,0.83717
66,schlechten bewertungen,2,0.83717
67,sanctuary erwartet,2,0.83717
68,game chance,2,0.83717
69,mir gefällt,2,0.83717
70,sanctuary was,2,0.83717
71,man auch,2,0.83717
72,sollte man,2,0.83717
73,this is,2,0.83717
74,at all,2,0.83717
75,is just,2,0.83717
76,ausweichen ausweichen,2,0.83717
77,geht salzig,1,0.418585
78,salzig weiter,1,0.418585
79,weiter hier,1,0.418585
80,hier geht,1,0.418585
81,geht meinem,1,0.418585
82,meinem waetsch's,1,0.418585
83,waetsch's play,1,0.418585
84,play https,1,0.418585
85,https youtu,1,0.418585
86,youtu be,1,0.418585
87,be ju3kl_hkt3y,1,0.418585
88,ju3kl_hkt3y niedliche,1,0.418585
89,niedliche grafik,1,0.418585
90,grafik unübersichtliche,1,0.418585
91,unübersichtliche darstellung,1,0.418585
92,darstellung grauenhafte,1,0.418585
93,grauenhafte kämpfe,1,0.418585
94,kämpfe unsere,1,0.418585
95,unsere aufgabe,1,0.418585
96,aufgabe es,1,0.418585
97,es magier,1,0.418585
98,magier töten,1,0.418585
99,töten machen,1,0.418585
100,einem selbsterstellten,1,0.418585
