rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,13,12.138189
2,and sanctuary,8,7.469655
3,and sacrifice,5,4.668534
4,dark souls,4,3.734827
5,monster hunter,3,2.80112
6,kann es,3,2.80112
7,es auf,3,2.80112
8,den game,3,2.80112
9,playing the,2,1.867414
10,of the,2,1.867414
11,the map,2,1.867414
12,forward to,2,1.867414
13,you can,2,1.867414
14,very good,2,1.867414
15,good good,2,1.867414
16,hard drive,2,1.867414
17,you will,2,1.867414
18,to hold,2,1.867414
19,leute salt,2,1.867414
20,schlechten bewertungen,2,1.867414
21,sanctuary erwartet,2,1.867414
22,game chance,2,1.867414
23,mir gefällt,2,1.867414
24,sanctuary was,2,1.867414
25,ähnlich wie,2,1.867414
26,absolutely love,1,0.933707
27,love salt,1,0.933707
28,sanctuary it,1,0.933707
29,it one,1,0.933707
30,one of,1,0.933707
31,of my,1,0.933707
32,my favorite,1,0.933707
33,favorite games,1,0.933707
34,games playing,1,0.933707
35,the first,1,0.933707
36,first game,1,0.933707
37,game was,1,0.933707
38,was fantastic,1,0.933707
39,fantastic experience,1,0.933707
40,experience it,1,0.933707
41,it reminded,1,0.933707
42,reminded me,1,0.933707
43,me of,1,0.933707
44,of dark,1,0.933707
45,souls but,1,0.933707
46,but 2d,1,0.933707
47,2d with,1,0.933707
48,with metroidvania,1,0.933707
49,metroidvania twist,1,0.933707
50,twist now,1,0.933707
51,now that,1,0.933707
52,that playing,1,0.933707
53,the sequel,1,0.933707
54,sequel salt,1,0.933707
55,sacrifice pleasantly,1,0.933707
56,pleasantly surprised,1,0.933707
57,surprised by,1,0.933707
58,by how,1,0.933707
59,how different,1,0.933707
60,different it,1,0.933707
61,it is,1,0.933707
62,is expected,1,0.933707
63,expected it,1,0.933707
64,it to,1,0.933707
65,to be,1,0.933707
66,be straightforward,1,0.933707
67,straightforward continuation,1,0.933707
68,continuation of,1,0.933707
69,the series,1,0.933707
70,series but,1,0.933707
71,but it,1,0.933707
72,it offers,1,0.933707
73,offers fresh,1,0.933707
74,fresh perspective,1,0.933707
75,perspective while,1,0.933707
76,while keeping,1,0.933707
77,keeping the,1,0.933707
78,the core,1,0.933707
79,core elements,1,0.933707
80,elements intact,1,0.933707
81,intact like,1,0.933707
82,like combat,1,0.933707
83,combat movement,1,0.933707
84,movement atmosphere,1,0.933707
85,atmosphere and,1,0.933707
86,and visuals,1,0.933707
87,visuals what,1,0.933707
88,what new,1,0.933707
89,new is,1,0.933707
90,is the,1,0.933707
91,the addition,1,0.933707
92,addition of,1,0.933707
93,of monster,1,0.933707
94,hunter elements,1,0.933707
95,elements which,1,0.933707
96,which blend,1,0.933707
97,blend really,1,0.933707
98,really well,1,0.933707
99,well with,1,0.933707
100,with the,1,0.933707
