rank,token,frequency,relative_frequency_per_1000_tokens
1,es,14,10.534236
2,man,14,10.534236
3,magier,13,9.781791
4,auch,13,9.781791
5,da,13,9.781791
6,and,13,9.781791
7,sich,12,9.029345
8,den,11,8.2769
9,als,10,7.524454
10,jedoch,10,7.524454
11,durch,9,6.772009
12,dem,9,6.772009
13,wie,9,6.772009
14,an,9,6.772009
15,salt,9,6.772009
16,hier,8,6.019564
17,auf,8,6.019564
18,mehr,8,6.019564
19,dass,8,6.019564
20,teil,8,6.019564
21,is,8,6.019564
22,sanctuary,8,6.019564
23,was,7,5.267118
24,ersten,7,5.267118
25,bosse,7,5.267118
26,to,7,5.267118
27,diese,7,5.267118
28,einem,6,4.514673
29,können,6,4.514673
30,mir,6,4.514673
31,wird,6,4.514673
32,level,6,4.514673
33,immer,6,4.514673
34,the,6,4.514673
35,this,6,4.514673
36,wirst,6,4.514673
37,dies,6,4.514673
38,gut,6,4.514673
39,hat,6,4.514673
40,schon,5,3.762227
41,zeit,5,3.762227
42,einen,5,3.762227
43,aus,5,3.762227
44,wieder,5,3.762227
45,it,5,3.762227
46,game,5,3.762227
47,you,5,3.762227
48,kann,5,3.762227
49,dieses,5,3.762227
50,einfach,5,3.762227
51,charakter,4,3.009782
52,etwas,4,3.009782
53,werden,4,3.009782
54,eher,4,3.009782
55,mal,4,3.009782
56,also,4,3.009782
57,hatte,4,3.009782
58,spaß,4,3.009782
59,keine,4,3.009782
60,haben,4,3.009782
61,andere,4,3.009782
62,besser,4,3.009782
63,diesen,4,3.009782
64,story,4,3.009782
65,nahezu,4,3.009782
66,irrelevant,4,3.009782
67,nach,4,3.009782
68,dir,4,3.009782
69,schlecht,4,3.009782
70,ausweichen,4,3.009782
71,fühlt,4,3.009782
72,all,4,3.009782
73,waffen,4,3.009782
74,geht,3,2.257336
75,grafik,3,2.257336
76,machen,3,2.257336
77,recht,3,2.257336
78,leider,3,2.257336
79,gibt,3,2.257336
80,kämpfen,3,2.257336
81,vor,3,2.257336
82,gegner,3,2.257336
83,dazu,3,2.257336
84,jagen,3,2.257336
85,muss,3,2.257336
86,beim,3,2.257336
87,bei,3,2.257336
88,neuen,3,2.257336
89,sacrifice,3,2.257336
90,spielen,3,2.257336
91,not,3,2.257336
92,erste,3,2.257336
93,viel,3,2.257336
94,des,3,2.257336
95,mich,3,2.257336
96,zum,3,2.257336
97,falls,3,2.257336
98,keinen,3,2.257336
99,denen,3,2.257336
100,schnell,3,2.257336
101,ausrüstung,3,2.257336
102,regionen,3,2.257336
103,findest,3,2.257336
104,abseits,3,2.257336
105,praktisch,3,2.257336
106,alles,3,2.257336
107,problem,3,2.257336
108,hätte,3,2.257336
109,handlung,3,2.257336
110,what,3,2.257336
111,bad,3,2.257336
112,just,3,2.257336
113,weil,3,2.257336
114,weiter,2,1.504891
115,play,2,1.504891
116,https,2,1.504891
117,kämpfe,2,1.504891
118,töten,2,1.504891
119,dabei,2,1.504891
120,nett,2,1.504891
121,manchmal,2,1.504891
122,musik,2,1.504891
123,kommt,2,1.504891
124,bossgegner,2,1.504891
125,gerne,2,1.504891
126,erst,2,1.504891
127,einige,2,1.504891
128,um,2,1.504891
129,noch,2,1.504891
130,kaum,2,1.504891
131,eigentlich,2,1.504891
132,verschwindet,2,1.504891
133,komplett,2,1.504891
134,fan,2,1.504891
135,gleichen,2,1.504891
136,levels,2,1.504891
137,führen,2,1.504891
138,ganz,2,1.504891
139,lieber,2,1.504891
140,one,2,1.504891
141,but,2,1.504891
142,that,2,1.504891
143,mistake,2,1.504891
144,already,2,1.504891
145,have,2,1.504891
146,ganze,2,1.504891
147,spieler,2,1.504891
148,weniger,2,1.504891
149,vorgänger,2,1.504891
150,diesem,2,1.504891
151,deutlich,2,1.504891
152,selbst,2,1.504891
153,sogar,2,1.504891
154,meiste,2,1.504891
155,willst,2,1.504891
156,hintergrund,2,1.504891
157,ende,2,1.504891
158,würde,2,1.504891
159,run,2,1.504891
160,schlussendlich,2,1.504891
161,mochte,2,1.504891
162,bietet,2,1.504891
163,schön,2,1.504891
164,monsterhunter,2,1.504891
165,statt,2,1.504891
166,damit,2,1.504891
167,hälfte,2,1.504891
168,deiner,2,1.504891
169,element,2,1.504891
170,einer,2,1.504891
171,deine,2,1.504891
172,magiern,2,1.504891
173,kannst,2,1.504891
174,finden,2,1.504891
175,weiterhin,2,1.504891
176,ob,2,1.504891
177,macht,2,1.504891
178,meinen,2,1.504891
179,augen,2,1.504891
180,dieser,2,1.504891
181,eigentlichen,2,1.504891
182,sorgt,2,1.504891
183,stil,2,1.504891
184,gewesen,2,1.504891
185,angreifen,2,1.504891
186,oft,2,1.504891
187,ebenso,2,1.504891
188,kampf,2,1.504891
189,schwer,2,1.504891
190,aoe,2,1.504891
191,stück,2,1.504891
192,fliegen,2,1.504891
193,wodurch,2,1.504891
194,alle,2,1.504891
195,während,2,1.504891
196,meisten,2,1.504891
197,entwickler,2,1.504891
198,gemacht,2,1.504891
199,lediglich,2,1.504891
200,setting,2,1.504891
