rank,token,frequency,relative_frequency_per_1000_tokens
1,es,37,15.352697
2,and,34,14.107884
3,man,24,9.958506
4,the,24,9.958506
5,salt,23,9.543568
6,auch,22,9.128631
7,to,21,8.713693
8,magier,18,7.46888
9,den,18,7.46888
10,da,17,7.053942
11,als,17,7.053942
12,sich,16,6.639004
13,was,16,6.639004
14,is,16,6.639004
15,sanctuary,16,6.639004
16,it,15,6.224066
17,auf,14,5.809129
18,wie,14,5.809129
19,game,14,5.809129
20,an,13,5.394191
21,you,13,5.394191
22,teil,12,4.979253
23,kann,12,4.979253
24,diese,12,4.979253
25,durch,11,4.564315
26,mir,11,4.564315
27,level,11,4.564315
28,of,11,4.564315
29,hier,10,4.149378
30,dem,10,4.149378
31,hat,10,4.149378
32,jedoch,10,4.149378
33,etwas,9,3.73444
34,mehr,9,3.73444
35,dass,9,3.73444
36,ersten,9,3.73444
37,haben,9,3.73444
38,einem,8,3.319502
39,können,8,3.319502
40,immer,8,3.319502
41,bosse,8,3.319502
42,sacrifice,8,3.319502
43,just,8,3.319502
44,wird,7,2.904564
45,einen,7,2.904564
46,aus,7,2.904564
47,bei,7,2.904564
48,this,7,2.904564
49,mich,7,2.904564
50,story,7,2.904564
51,diesen,7,2.904564
52,dies,7,2.904564
53,gibt,6,2.489627
54,schon,6,2.489627
55,mal,6,2.489627
56,also,6,2.489627
57,wieder,6,2.489627
58,keine,6,2.489627
59,souls,6,2.489627
60,gameplay,6,2.489627
61,if,6,2.489627
62,kampf,6,2.489627
63,dieses,6,2.489627
64,zum,6,2.489627
65,nach,6,2.489627
66,good,6,2.489627
67,bad,6,2.489627
68,wirst,6,2.489627
69,gut,6,2.489627
70,dieser,6,2.489627
71,einfach,6,2.489627
72,waffen,6,2.489627
73,werden,5,2.074689
74,gegner,5,2.074689
75,zeit,5,2.074689
76,spaß,5,2.074689
77,andere,5,2.074689
78,what,5,2.074689
79,too,5,2.074689
80,for,5,2.074689
81,not,5,2.074689
82,fühlt,5,2.074689
83,uns,5,2.074689
84,all,5,2.074689
85,grind,5,2.074689
86,falls,5,2.074689
87,geht,4,1.659751
88,machen,4,1.659751
89,charakter,4,1.659751
90,vor,4,1.659751
91,eher,4,1.659751
92,dazu,4,1.659751
93,jagen,4,1.659751
94,hatte,4,1.659751
95,bin,4,1.659751
96,playing,4,1.659751
97,dark,4,1.659751
98,but,4,1.659751
99,like,4,1.659751
100,new,4,1.659751
101,monster,4,1.659751
102,mages,4,1.659751
103,can,4,1.659751
104,have,4,1.659751
105,empfehlen,4,1.659751
106,des,4,1.659751
107,viel,4,1.659751
108,besser,4,1.659751
109,nahezu,4,1.659751
110,irrelevant,4,1.659751
111,dir,4,1.659751
112,ausrüstung,4,1.659751
113,magiern,4,1.659751
114,meinen,4,1.659751
115,schlecht,4,1.659751
116,stück,4,1.659751
117,ausweichen,4,1.659751
118,weil,4,1.659751
119,über,4,1.659751
120,weitere,4,1.659751
121,https,3,1.244813
122,grafik,3,1.244813
123,dabei,3,1.244813
124,recht,3,1.244813
125,leider,3,1.244813
126,dennoch,3,1.244813
127,kämpfen,3,1.244813
128,teils,3,1.244813
129,daher,3,1.244813
130,um,3,1.244813
131,noch,3,1.244813
132,muss,3,1.244813
133,beim,3,1.244813
134,komplett,3,1.244813
135,levels,3,1.244813
136,welt,3,1.244813
137,neuen,3,1.244813
138,ganz,3,1.244813
139,spielen,3,1.244813
140,one,3,1.244813
141,games,3,1.244813
142,with,3,1.244813
143,that,3,1.244813
144,hunter,3,1.244813
145,map,3,1.244813
146,jeder,3,1.244813
147,habe,3,1.244813
148,schlechten,3,1.244813
149,nachfolger,3,1.244813
150,erste,3,1.244813
151,long,3,1.244813
152,at,3,1.244813
153,it's,3,1.244813
154,pc,3,1.244813
155,run,3,1.244813
156,big,3,1.244813
157,will,3,1.244813
158,your,3,1.244813
159,hard,3,1.244813
160,average,3,1.244813
161,bugs,3,1.244813
162,sogar,3,1.244813
163,kein,3,1.244813
164,universum,3,1.244813
165,geben,3,1.244813
166,keinen,3,1.244813
167,denen,3,1.244813
168,schön,3,1.244813
169,element,3,1.244813
170,einer,3,1.244813
171,schnell,3,1.244813
172,ähnlich,3,1.244813
173,finden,3,1.244813
174,ob,3,1.244813
175,regionen,3,1.244813
176,findest,3,1.244813
177,abseits,3,1.244813
178,praktisch,3,1.244813
179,alles,3,1.244813
180,stil,3,1.244813
181,problem,3,1.244813
182,hätte,3,1.244813
183,handlung,3,1.244813
184,multiplayer,3,1.244813
185,tut,3,1.244813
186,crossplay,3,1.244813
187,sollte,3,1.244813
188,gefällt,3,1.244813
189,karte,3,1.244813
190,ressourcen,3,1.244813
191,diverse,3,1.244813
192,rüstungen,3,1.244813
193,weiter,2,0.829876
194,meinem,2,0.829876
195,play,2,0.829876
196,be,2,0.829876
197,kämpfe,2,0.829876
198,unsere,2,0.829876
199,töten,2,0.829876
200,nett,2,0.829876
