rank,token,frequency,relative_frequency_per_1000_tokens
1,es,23,21.276596
2,and,21,19.426457
3,the,18,16.651249
4,salt,14,12.950971
5,to,14,12.950971
6,it,10,9.250694
7,of,10,9.250694
8,man,10,9.250694
9,game,9,8.325624
10,was,9,8.325624
11,auch,9,8.325624
12,sanctuary,8,7.400555
13,is,8,7.400555
14,you,8,7.400555
15,kann,7,6.475486
16,als,7,6.475486
17,den,7,6.475486
18,souls,6,5.550416
19,gameplay,6,5.550416
20,auf,6,5.550416
21,good,6,5.550416
22,sacrifice,5,4.625347
23,just,5,4.625347
24,uns,5,4.625347
25,if,5,4.625347
26,grind,5,4.625347
27,level,5,4.625347
28,diese,5,4.625347
29,haben,5,4.625347
30,mir,5,4.625347
31,magier,5,4.625347
32,wie,5,4.625347
33,etwas,5,4.625347
34,playing,4,3.700278
35,dark,4,3.700278
36,new,4,3.700278
37,too,4,3.700278
38,for,4,3.700278
39,hat,4,3.700278
40,mich,4,3.700278
41,kampf,4,3.700278
42,sich,4,3.700278
43,an,4,3.700278
44,teil,4,3.700278
45,da,4,3.700278
46,dieser,4,3.700278
47,weitere,4,3.700278
48,bei,4,3.700278
49,with,3,2.775208
50,like,3,2.775208
51,monster,3,2.775208
52,hunter,3,2.775208
53,can,3,2.775208
54,story,3,2.775208
55,jeder,3,2.775208
56,habe,3,2.775208
57,empfehlen,3,2.775208
58,bin,3,2.775208
59,schlechten,3,2.775208
60,zum,3,2.775208
61,bad,3,2.775208
62,long,3,2.775208
63,it's,3,2.775208
64,will,3,2.775208
65,your,3,2.775208
66,hard,3,2.775208
67,average,3,2.775208
68,bugs,3,2.775208
69,crossplay,3,2.775208
70,gefällt,3,2.775208
71,diesen,3,2.775208
72,über,3,2.775208
73,karte,3,2.775208
74,ressourcen,3,2.775208
75,gibt,3,2.775208
76,diverse,3,2.775208
77,rüstungen,3,2.775208
78,games,2,1.850139
79,fantastic,2,1.850139
80,but,2,1.850139
81,2d,2,1.850139
82,now,2,1.850139
83,sequel,2,1.850139
84,fresh,2,1.850139
85,elements,2,1.850139
86,movement,2,1.850139
87,what,2,1.850139
88,mages,2,1.850139
89,map,2,1.850139
90,look,2,1.850139
91,forward,2,1.850139
92,bosses,2,1.850139
93,time,2,1.850139
94,on,2,1.850139
95,instead,2,1.850139
96,einem,2,1.850139
97,hier,2,1.850139
98,welt,2,1.850139
99,gilt,2,1.850139
100,mal,2,1.850139
101,nach,2,1.850139
102,nachfolger,2,1.850139
103,ersten,2,1.850139
104,teils,2,1.850139
105,decent,2,1.850139
106,very,2,1.850139
107,paint,2,1.850139
108,not,2,1.850139
109,pc,2,1.850139
110,have,2,1.850139
111,spare,2,1.850139
112,big,2,1.850139
113,drive,2,1.850139
114,hold,2,1.850139
115,need,2,1.850139
116,easy,2,1.850139
117,life,2,1.850139
118,some,2,1.850139
119,price,2,1.850139
120,money,2,1.850139
121,also,2,1.850139
122,gespielt,2,1.850139
123,geben,2,1.850139
124,leute,2,1.850139
125,spaßiges,2,1.850139
126,universum,2,1.850139
127,allerdings,2,1.850139
128,anderen,2,1.850139
129,sollte,2,1.850139
130,bewertungen,2,1.850139
131,daher,2,1.850139
132,erwartet,2,1.850139
133,dennoch,2,1.850139
134,chance,2,1.850139
135,kein,2,1.850139
136,aus,2,1.850139
137,magiern,2,1.850139
138,ihre,2,1.850139
139,können,2,1.850139
140,einzeln,2,1.850139
141,durch,2,1.850139
142,einen,2,1.850139
143,namenhaften,2,1.850139
144,stück,2,1.850139
145,runen,2,1.850139
146,tut,2,1.850139
147,immer,2,1.850139
148,ähnlich,2,1.850139
149,falls,2,1.850139
150,besonders,2,1.850139
151,mitspieler,2,1.850139
152,gegner,2,1.850139
153,waffen,2,1.850139
154,meinen,2,1.850139
155,keine,2,1.850139
156,absolutely,1,0.925069
157,love,1,0.925069
158,one,1,0.925069
159,my,1,0.925069
160,favorite,1,0.925069
161,first,1,0.925069
162,experience,1,0.925069
163,reminded,1,0.925069
164,me,1,0.925069
165,metroidvania,1,0.925069
166,twist,1,0.925069
167,that,1,0.925069
168,pleasantly,1,0.925069
169,surprised,1,0.925069
170,by,1,0.925069
171,how,1,0.925069
172,different,1,0.925069
173,expected,1,0.925069
174,be,1,0.925069
175,straightforward,1,0.925069
176,continuation,1,0.925069
177,series,1,0.925069
178,offers,1,0.925069
179,perspective,1,0.925069
180,while,1,0.925069
181,keeping,1,0.925069
182,core,1,0.925069
183,intact,1,0.925069
184,combat,1,0.925069
185,atmosphere,1,0.925069
186,visuals,1,0.925069
187,addition,1,0.925069
188,which,1,0.925069
189,blend,1,0.925069
190,really,1,0.925069
191,well,1,0.925069
192,original,1,0.925069
193,hunting,1,0.925069
194,throughout,1,0.925069
195,exciting,1,0.925069
196,always,1,0.925069
197,discovering,1,0.925069
198,weapons,1,0.925069
199,outfits,1,0.925069
200,from,1,0.925069
