token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
h1,26,2,40.185471,3.944773,36.240698,3.34866
and,7,1,10.819165,1.972387,8.846779,2.455575
salt,5,0,7.727975,0.0,7.727975,32.847443
spoiler,4,0,6.18238,0.0,6.18238,32.525515
まとめ,3,0,4.636785,0.0,4.636785,32.110478
ng10,2,0,3.09119,0.0,3.09119,31.525515
sacrifice,2,0,3.09119,0.0,3.09119,31.525515
あっ,2,0,3.09119,0.0,3.09119,31.525515
です,2,0,3.09119,0.0,3.09119,31.525515
ゲーム体験として一つ大事なものを失っている,2,0,3.09119,0.0,3.09119,31.525515
悪い所,2,0,3.09119,0.0,3.09119,31.525515
良い所,2,0,3.09119,0.0,3.09119,31.525515
10カ月ぶりに大型アップデートがきたと思ったら,1,0,1.545595,0.0,1.545595,30.525515
1人入ってくると,1,0,1.545595,0.0,1.545595,30.525515
2023年後半の作品とは思えないほど洗練されておらず,1,0,1.545595,0.0,1.545595,30.525515
2dアクションが好きではなかった私に,1,0,1.545595,0.0,1.545595,30.525515
2dソウルライクも前作が発売されてから多くの作品が生まれたが,1,0,1.545595,0.0,1.545595,30.525515
2時間遊んで欠点が目立ちすぎる,1,0,1.545595,0.0,1.545595,30.525515
3dじゃないのもあるが普通に通り抜けできないので倒すか一々ローリングですり抜けるのを強いられる,1,0,1.545595,0.0,1.545595,30.525515
3キャラ,1,0,1.545595,0.0,1.545595,30.525515
3３キャラ,1,0,1.545595,0.0,1.545595,30.525515
4周も5周も遊んだしボスも逃げなかった,1,0,1.545595,0.0,1.545595,30.525515
650ptに参加すると更に低くなる,1,0,1.545595,0.0,1.545595,30.525515
can,1,0,1.545595,0.0,1.545595,30.525515
character,1,0,1.545595,0.0,1.545595,30.525515
keyboard,1,0,1.545595,0.0,1.545595,30.525515
lb,1,0,1.545595,0.0,1.545595,30.525515
level,1,0,1.545595,0.0,1.545595,30.525515
lt,1,0,1.545595,0.0,1.545595,30.525515
lv310,1,0,1.545595,0.0,1.545595,30.525515
lv600,1,0,1.545595,0.0,1.545595,30.525515
lv600ptにlv45で参加になったりして意味不明,1,0,1.545595,0.0,1.545595,30.525515
lv999,1,0,1.545595,0.0,1.545595,30.525515
mouse,1,0,1.545595,0.0,1.545595,30.525515
mp,1,0,1.545595,0.0,1.545595,30.525515
my,1,0,1.545595,0.0,1.545595,30.525515
not,1,0,1.545595,0.0,1.545595,30.525515
pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない,1,0,1.545595,0.0,1.545595,30.525515
rb,1,0,1.545595,0.0,1.545595,30.525515
rt,1,0,1.545595,0.0,1.545595,30.525515
sacrificeなんて名前でさえなければ,1,0,1.545595,0.0,1.545595,30.525515
sanctuary,1,0,1.545595,0.0,1.545595,30.525515
sanctuaryのパチモンゲーをやりたい方はどうぞ,1,0,1.545595,0.0,1.545595,30.525515
steamで出来たソルトファン無視してエ〇ックにしっぽ振るの楽しかったか,1,0,1.545595,0.0,1.545595,30.525515
steam上のska,1,0,1.545595,0.0,1.545595,30.525515
studiosの作品は全てやったが,1,0,1.545595,0.0,1.545595,30.525515
ui,1,0,1.545595,0.0,1.545595,30.525515
uiとユーザビリティ,1,0,1.545595,0.0,1.545595,30.525515
up,1,0,1.545595,0.0,1.545595,30.525515
version2以前の時にフィールドバック有志で行ったが解決されていない,1,0,1.545595,0.0,1.545595,30.525515
webで公開されてる攻略マップを見ながらじゃないと探索が難しい,1,0,1.545595,0.0,1.545595,30.525515
with,1,0,1.545595,0.0,1.545595,30.525515
あぁぁぁ,1,0,1.545595,0.0,1.545595,30.525515
ああ,1,0,1.545595,0.0,1.545595,30.525515
あくまでも素人考えですが,1,0,1.545595,0.0,1.545595,30.525515
あっさり殺しに来て欲しかった,1,0,1.545595,0.0,1.545595,30.525515
あと今作はガード持ちの敵が非常に多く,1,0,1.545595,0.0,1.545595,30.525515
あと前作みたいにパン食べて回復したかったんだが,1,0,1.545595,0.0,1.545595,30.525515
あまりにもこのゲームは前作と比べて格段にクソと化しました,1,0,1.545595,0.0,1.545595,30.525515
あまりに司同市乱入が多すぎるのとメイン以外の司の体力が異常すぎて,1,0,1.545595,0.0,1.545595,30.525515
ある程度理解できました,1,0,1.545595,0.0,1.545595,30.525515
ある程度近づくことで光っている場所に光輪が表示されるようになってフック操作が適用される,1,0,1.545595,0.0,1.545595,30.525515
いや,1,0,1.545595,0.0,1.545595,30.525515
うーん,1,0,1.545595,0.0,1.545595,30.525515
おいこいつ名有りボスだったろ,1,0,1.545595,0.0,1.545595,30.525515
おまけにボスに追いついてもすぐに逃げ出すぞ,1,0,1.545595,0.0,1.545595,30.525515
おまけ評価,1,0,1.545595,0.0,1.545595,30.525515
かもしれませんが,1,0,1.545595,0.0,1.545595,30.525515
から,1,0,1.545595,0.0,1.545595,30.525515
が奇跡的にバランスが良かっただけという印象で,1,0,1.545595,0.0,1.545595,30.525515
ぐらいの気持ちでパラディンで始めたはいいが,1,0,1.545595,0.0,1.545595,30.525515
ここまで長く書くつもりはなかったのですが思いのたけをぶつけるあまり長くなってしまって申し訳なく思うと同時に,1,0,1.545595,0.0,1.545595,30.525515
ここ重要,1,0,1.545595,0.0,1.545595,30.525515
このゲームに関しては前作を愛するものとして失望しか生み出せません,1,0,1.545595,0.0,1.545595,30.525515
このゲームの出来を見る限り,1,0,1.545595,0.0,1.545595,30.525515
このゲームは2022年5月11日にエピックの方で先に販売されているゲームです,1,0,1.545595,0.0,1.545595,30.525515
このタイプね,1,0,1.545595,0.0,1.545595,30.525515
この辺はゲーム内で完結させてほしい,1,0,1.545595,0.0,1.545595,30.525515
これが格別にガッカリもの,1,0,1.545595,0.0,1.545595,30.525515
これなら,1,0,1.545595,0.0,1.545595,30.525515
これはこれでやりこめば良さそう,1,0,1.545595,0.0,1.545595,30.525515
これはソルトアンドサンクチュアリをプレイしたことがある人ほどよくわかるだろう,1,0,1.545595,0.0,1.545595,30.525515
これやってる時間で前作の周回しているほうが有意義で面白い時間を過ごせたと思う,1,0,1.545595,0.0,1.545595,30.525515
これを3連続でできてしまうのか,1,0,1.545595,0.0,1.545595,30.525515
これを楽しいと思って導入したならセンスがゴミ,1,0,1.545595,0.0,1.545595,30.525515
これを見ていくのも楽しさの一つだったのだが今作のスキルツリーには何一つない,1,0,1.545595,0.0,1.545595,30.525515
これを１０回ぐらい繰り返してボスを追い詰めてようやく戦闘,1,0,1.545595,0.0,1.545595,30.525515
こんな吐き気がするようなゴミ以下の臭え何かを買うなら美味しいお菓子でも買った方が1000億倍マシです,1,0,1.545595,0.0,1.545595,30.525515
こんな面倒なだけのエリア内を何度も往復させられる魔導司システム,1,0,1.545595,0.0,1.545595,30.525515
さらにパリィが無くなっている事が更にテンポを悪くしており,1,0,1.545595,0.0,1.545595,30.525515
さらに数十時間やった上での結論,1,0,1.545595,0.0,1.545595,30.525515
さらに重なるようにローリングすると押し戻されてボスの正面にいるのか背面にいるのか把握する前にダメージを受けやすい,1,0,1.545595,0.0,1.545595,30.525515
しかし,1,0,1.545595,0.0,1.545595,30.525515
しかも,1,0,1.545595,0.0,1.545595,30.525515
しかもそのボスが一定のhpになると逃げる逃げる,1,0,1.545595,0.0,1.545595,30.525515
しかも何度も倒して素材を集めて装備を鍛える感じのゲームです,1,0,1.545595,0.0,1.545595,30.525515
しかも追いかけっこ中に与えたダメージはどうやら無かったことにされてるぞ,1,0,1.545595,0.0,1.545595,30.525515
しかも雑魚がみんな似たり寄ったりでマンネリ,1,0,1.545595,0.0,1.545595,30.525515
じっくりと楽しんでいきたい,1,0,1.545595,0.0,1.545595,30.525515
すごくつらい,1,0,1.545595,0.0,1.545595,30.525515
するめゲーではあるもののおすすめされるかといわれるとしないところ,1,0,1.545595,0.0,1.545595,30.525515
ずっと待っていました,1,0,1.545595,0.0,1.545595,30.525515
そういうことは置いといて最悪な点が1つある,1,0,1.545595,0.0,1.545595,30.525515
そういうものが十分にありました,1,0,1.545595,0.0,1.545595,30.525515
そしてその良さを開発者が理解できてなかったからここまでダメになったんだろうな,1,0,1.545595,0.0,1.545595,30.525515
その時に評判が怪しいことも知ってはいましたが,1,0,1.545595,0.0,1.545595,30.525515
その間に敵の次の攻撃が間に合ってしまうため,1,0,1.545595,0.0,1.545595,30.525515
それか今作を作るにあたって前作を作ってたチームが他所に引き抜かれたとかそういうのがない限り,1,0,1.545595,0.0,1.545595,30.525515
それがどうでしょう,1,0,1.545595,0.0,1.545595,30.525515
それだけ自分が年取ったって事なのかなと思ったら,1,0,1.545595,0.0,1.545595,30.525515
それでいて難易度は比較的易しくなりつつある気がする,1,0,1.545595,0.0,1.545595,30.525515
それとボスは追いかけっこの最中逃げるためにザコを召喚してくるのだが,1,0,1.545595,0.0,1.545595,30.525515
それなりに楽しめている,1,0,1.545595,0.0,1.545595,30.525515
それにしたって弱い,1,0,1.545595,0.0,1.545595,30.525515
それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある,1,0,1.545595,0.0,1.545595,30.525515
そんでもって格下げされたからって別にザコになったわけではない,1,0,1.545595,0.0,1.545595,30.525515
そんな中で侵入者が来るとほぼ詰みます,1,0,1.545595,0.0,1.545595,30.525515
そんな昨今の風潮にまるで喝を入れるかの如く,1,0,1.545595,0.0,1.545595,30.525515
ただし移動速度は遅めでややストレスか,1,0,1.545595,0.0,1.545595,30.525515
ただし高所から縦方向へ空中落下している最中は光輪が表示されるぐらいに近い距離でもrt操作が有効にならない,1,0,1.545595,0.0,1.545595,30.525515
ただでさえレベル上げるために面倒な位置に存在する場所にいかなきゃいけないのになんだこれは,1,0,1.545595,0.0,1.545595,30.525515
ただの雑魚が起き攻め,1,0,1.545595,0.0,1.545595,30.525515
ただレベルアップが拠点に戻らないと上げられないブラボ仕様なのはいまいちかなぁ,1,0,1.545595,0.0,1.545595,30.525515
ただ前作以上に高低さを意識したマップと野良ボスの湧き方,1,0,1.545595,0.0,1.545595,30.525515
ちなみにラスボスを倒せた実績が4,1,0,1.545595,0.0,1.545595,30.525515
ちゃんと毎回採取しないと赤字になって回復アイテムなくなっちゃうぞ,1,0,1.545595,0.0,1.545595,30.525515
ちょ,1,0,1.545595,0.0,1.545595,30.525515
っていう出来,1,0,1.545595,0.0,1.545595,30.525515
ってかフツーに殺される,1,0,1.545595,0.0,1.545595,30.525515
ってのがその後には普通に名無しボスに格下げ,1,0,1.545595,0.0,1.545595,30.525515
って人以外は,1,0,1.545595,0.0,1.545595,30.525515
って前作から劣化しすぎていないだろうか,1,0,1.545595,0.0,1.545595,30.525515
つまりエリアが変わっても見た目が違うだけで延々同じ事をやるだけ,1,0,1.545595,0.0,1.545595,30.525515
