token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
h3,8,4,15.779093,6.18238,9.596712,1.35178
そのため,2,0,3.944773,0.0,3.944773,31.877295
持久力,2,0,3.944773,0.0,3.944773,31.877295
ただ,2,1,3.944773,1.545595,2.399178,1.35178
100レベルのプレイヤーが1レベルのプレイヤーを全力キャリーとかはできません,1,0,1.972387,0.0,1.972387,30.877295
158等は,1,0,1.972387,0.0,1.972387,30.877295
1周目クリア目安時間,1,0,1.972387,0.0,1.972387,30.877295
2dアクションゲームが得意ではない人が完全ソロで50時間程度,1,0,1.972387,0.0,1.972387,30.877295
2d作品なので３dより空間識別が楽だろうとセールで安かったから機会にやってみました,1,0,1.972387,0.0,1.972387,30.877295
40レベルの物とか,1,0,1.972387,0.0,1.972387,30.877295
deathやモンハンシリーズと近いプレイ感です,1,0,1.972387,0.0,1.972387,30.877295
for,1,0,1.972387,0.0,1.972387,30.877295
marked,1,0,1.972387,0.0,1.972387,30.877295
play,1,0,1.972387,0.0,1.972387,30.877295
pvpは強武器と頑強ステータス盛らないと勝つの難しいけど,1,0,1.972387,0.0,1.972387,30.877295
pvpエリアは人がいないので,1,0,1.972387,0.0,1.972387,30.877295
remote,1,0,1.972387,0.0,1.972387,30.877295
sanctuaryと同じくスキルレベル制,1,0,1.972387,0.0,1.972387,30.877295
togetherです,1,0,1.972387,0.0,1.972387,30.877295
あぁ,1,0,1.972387,0.0,1.972387,30.877295
あと対人意識してるからかすごいモーションがもっさりしてて爽快なアクション感は落ちてる,1,0,1.972387,0.0,1.972387,30.877295
あと枯渇するほどの進行度になれば銀も貯まっていて購入する事もできるので,1,0,1.972387,0.0,1.972387,30.877295
あの手,1,0,1.972387,0.0,1.972387,30.877295
ある一定のレベルまでは素材で強化出来るけど,1,0,1.972387,0.0,1.972387,30.877295
いうほどソルトの良さが削がれている感じはなく,1,0,1.972387,0.0,1.972387,30.877295
いわゆる体幹システム制となっているのであまり使わなかったものの,1,0,1.972387,0.0,1.972387,30.877295
かな,1,0,1.972387,0.0,1.972387,30.877295
があります,1,0,1.972387,0.0,1.972387,30.877295
ぐらいの気持ちでプレイしたほうが楽しい,1,0,1.972387,0.0,1.972387,30.877295
ぐらいの認識でok,1,0,1.972387,0.0,1.972387,30.877295
けっこう楽しめました,1,0,1.972387,0.0,1.972387,30.877295
こう聞くと良さそうに見えるし,1,0,1.972387,0.0,1.972387,30.877295
こう言うもんだと思えば楽しめる,1,0,1.972387,0.0,1.972387,30.877295
このゲームをやっていて思い知らされました,1,0,1.972387,0.0,1.972387,30.877295
この作品から始めた人なら楽しめるとは思う,1,0,1.972387,0.0,1.972387,30.877295
この作品の大きな特徴として,1,0,1.972387,0.0,1.972387,30.877295
この手で模索するのが好きな人,1,0,1.972387,0.0,1.972387,30.877295
この緊張感と達成感は筆舌にし難い,1,0,1.972387,0.0,1.972387,30.877295
この要素によりフラスコや矢弾が無限補給ではなくなっているので,1,0,1.972387,0.0,1.972387,30.877295
この要素をつまらない,1,0,1.972387,0.0,1.972387,30.877295
これがソウルライクの醍醐味なのか,1,0,1.972387,0.0,1.972387,30.877295
これがソウル仕様のボスに合っていない,1,0,1.972387,0.0,1.972387,30.877295
