rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,前作と比べて評価が低いが自分は前作も今作もなかなか面白いと思うダクソ系２dアクションrpg ダークソウル系の死にげーが２dアクションrpgになったみたいなの聞いて面白そうと思ったなら前作も今作も含めて楽しめると思う,1,2.04918
2,ダークソウル系の死にげーが２dアクションrpgになったみたいなの聞いて面白そうと思ったなら前作も今作も含めて楽しめると思う ただ前作,1,2.04918
3,ただ前作 今作もスキルツリーでの初期化が一つずつしかできないうえに数が限られているので一旦全部初期化などはできません,1,2.04918
4,今作もスキルツリーでの初期化が一つずつしかできないうえに数が限られているので一旦全部初期化などはできません 注意しましょう,1,2.04918
5,注意しましょう 前作と比べて今作の評価が低い理由の一つ,1,2.04918
6,前作と比べて今作の評価が低い理由の一つ 大体これのせい,1,2.04918
7,大体これのせい に一度クエストを受けてボス,1,2.04918
8,に一度クエストを受けてボス 魔導士,1,2.04918
9,魔導士 を出現させると倒しても倒しても勝手にフィールドに出現するようになります,1,2.04918
10,を出現させると倒しても倒しても勝手にフィールドに出現するようになります 探索すればするほどマップに魔導士が３,1,2.04918
11,探索すればするほどマップに魔導士が３ ５体とか出てきて鬱陶しい,1,2.04918
12,５体とか出てきて鬱陶しい しかもダメージを与えると逃げて別のマップに移動しますそれを繰り返し追い詰めて倒さないといけないので面倒などが主な理由です,1,2.04918
13,しかもダメージを与えると逃げて別のマップに移動しますそれを繰り返し追い詰めて倒さないといけないので面倒などが主な理由です ボスと取り巻きはそのボスの装備素材を落とすのでそれを作るのに倒す価値はあるのですが,1,2.04918
14,ボスと取り巻きはそのボスの装備素材を落とすのでそれを作るのに倒す価値はあるのですが ３回倒すと大体一式作れるくらい素材落としてくれるのでその辺のバランスも含めてやっぱり探索の邪魔なだとなってしまうようです,1,2.04918
15,３回倒すと大体一式作れるくらい素材落としてくれるのでその辺のバランスも含めてやっぱり探索の邪魔なだとなってしまうようです 自分はその辺はあんまり苦でもなかったので前作同様今作も普通に楽しめました,1,2.04918
16,自分はその辺はあんまり苦でもなかったので前作同様今作も普通に楽しめました ソロで３週くらいクリアしたくらい好きです,1,2.04918
17,ソロで３週くらいクリアしたくらい好きです 今は最近フレンドが買ったので二人で最初からやっていますが,1,2.04918
