rank,token,frequency,relative_frequency_per_1000_tokens
1,h1,28,24.263432
2,h3,12,10.398614
3,and,8,6.932409
4,salt,5,4.332756
5,spoiler,4,3.466205
6,まとめ,3,2.599653
7,最後に,3,2.599653
8,ただ,3,2.599653
9,追記,3,2.599653
10,ng10,2,1.733102
11,ゲーム体験として一つ大事なものを失っている,2,1.733102
12,おすすめしない,2,1.733102
13,おすすめ,2,1.733102
14,そのため,2,1.733102
15,持久力,2,1.733102
16,良い所,2,1.733102
17,悪い所,2,1.733102
18,難易度,2,1.733102
19,sacrifice,2,1.733102
20,です,2,1.733102
21,あっ,2,1.733102
22,can,1,0.866551
23,not,1,0.866551
24,level,1,0.866551
25,up,1,0.866551
26,my,1,0.866551
27,character,1,0.866551
28,with,1,0.866551
29,mouse,1,0.866551
30,keyboard,1,0.866551
31,評価変更,1,0.866551
32,ローカルマルチ,1,0.866551
33,lv310,1,0.866551
34,pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない,1,0.866551
35,尚且,1,0.866551
36,lv600,1,0.866551
37,650ptに参加すると更に低くなる,1,0.866551
38,lv600ptにlv45で参加になったりして意味不明,1,0.866551
39,version2以前の時にフィールドバック有志で行ったが解決されていない,1,0.866551
40,進行不能な不具合放置する開発者の姿勢に疑問,1,0.866551
41,ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済,1,0.866551
42,lv999,1,0.866551
43,3キャラ,1,0.866551
44,3３キャラ,1,0.866551
45,エピックストトア２キャラng10,1,0.866551
46,対人戦が面白い,1,0.866551
47,前作をプレイして,1,0.866551
48,続編ということでかなり期待をしていましたが,1,0.866551
49,ソウルライクと某ハンティングゲームを混ぜたようなゲームです,1,0.866551
50,前作同様のゲームと思って購入するとかなり痛い目をみます,1,0.866551
51,楽しめず,1,0.866551
52,挫折をして途中でやめてしまいましたが,1,0.866551
53,ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です,1,0.866551
54,魔導士を狩る,1,0.866551
55,武具を育てる,1,0.866551
56,スキルを覚えて進める場所が増える,1,0.866551
57,という流れにはなると思いますが,1,0.866551
58,まず魔導士が逃げる,1,0.866551
59,それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある,1,0.866551
60,魔導士も何度も逃げるので追いかける手間もさることながら,1,0.866551
61,雑魚的のガードの強さ,1,0.866551
62,ひるみにくさ,1,0.866551
63,ガード不可攻撃の多さにやきもきさせられます,1,0.866551
64,しかも,1,0.866551
65,魔導士を何度も倒し,1,0.866551
66,素材を集め,1,0.866551
67,武具を作るので,1,0.866551
68,ひたすら同じボスを追いかけまわし,1,0.866551
69,倒して,1,0.866551
70,というソウルライクの良さを消す仕様となっています,1,0.866551
71,新しいジャンルのゲームとして認識しつつ,1,0.866551
72,理不尽さをかみしめながらクリアを目指せる人にはもってこい,1,0.866551
73,かもしれませんが,1,0.866551
74,ソウルライクというジャンルではないと自分は思います,1,0.866551
75,ボスが逃げるとか,1,0.866551
76,ストーリーが微妙とか,1,0.866551
77,マップの方式がダメだとか,1,0.866551
78,そういうことは置いといて最悪な点が1つある,1,0.866551
79,ビルドの構築面白く無さすぎだろ,1,0.866551
80,好きな武器みたいな装備はできません,1,0.866551
81,ヴァンファードという盾,1,0.866551
82,片手剣のセット武器しか盾は使えないしパリィも無い,1,0.866551
83,武器には個別にスキルが付いている場合が多いのだが,1,0.866551
84,神聖,1,0.866551
85,禁忌の2つに分かれていてさらにそれぞれにフォーカス消費,1,0.866551
86,mp,1,0.866551
87,レイジ消費,1,0.866551
88,攻撃により溜まるゲージ,1,0.866551
89,の2つに分かれており,1,0.866551
90,スキルツリーで神聖か禁忌のどちらかを上げていないとただ武器を振り回すことになる,1,0.866551
91,つまり筋力武器に禁忌のスキルが付いてたり神聖のスキルが付いてたりするから筋力しか能力を上げてないとまるで武器が使えないぞ,1,0.866551
92,筋力武器の選択肢が少ないし弱い,1,0.866551
93,技量武器の方が強い,1,0.866551
94,大きい武器が弱い,1,0.866551
95,前作を比べるとリーチ周りがかなり弱体化していて強みが無い,1,0.866551
96,ボスの攻撃も苛烈なので後隙の大きい武器は一撃すら入れられない場合が多い,1,0.866551
97,得意の強靭削りも小型武器のコンボ攻撃で十分なので使う価値が無い,1,0.866551
98,おまけ評価,1,0.866551
99,マップが選択式になったため,1,0.866551
100,前作のような実は頭上の遥か上に隠しステージが,1,0.866551
101,という感動が無い,1,0.866551
102,ボスの造形が皆同じ,1,0.866551
103,騎士,1,0.866551
104,バケモノ,1,0.866551
105,空中タイプ,1,0.866551
106,デカいドラゴン,1,0.866551
107,前作はボス戦前の蝋燭が見えたら一体どんな敵が来るのかとワクワクしていたんだけど,1,0.866551
108,面白い所は前作から引き継いだ少ないsasの要素が楽しいくらいなのでこの作品はオススメしない,1,0.866551
109,サンクチュアリの方を買え,1,0.866551
110,前作からの進化を感じられなかったです,1,0.866551
111,ハッキリと断言する,1,0.866551
112,前作が好きな人ほど買うな,1,0.866551
113,前作が面白いから次回作も面白いと思ったらそんなことはなかったぜ,1,0.866551
114,前作に比べて良い所,1,0.866551
115,驚くことに何一つない,1,0.866551
116,前作に比べて悪い所,1,0.866551
117,チュートリアルのボス倒したら実績が得られると思ったか,1,0.866551
118,今作にそんなものはない,1,0.866551
119,前作だと倒す機会がたった一回限りしかなく,1,0.866551
120,失敗するとそのキャラのセーブデータでは二度とやり直せないだけに挑戦のしがいがある実績チャレンジだった,1,0.866551
121,レベル上げがクソ面倒,1,0.866551
122,なぜならレベル上げ出来るスポットが前作と違って今作は一か所しか無い,1,0.866551
123,ボス戦がすぐに出来ると思った,1,0.866551
124,残念,1,0.866551
125,追いかけっこパートがありまーす,1,0.866551
126,しかも追いかけっこ中に与えたダメージはどうやら無かったことにされてるぞ,1,0.866551
127,おまけにボスに追いついてもすぐに逃げ出すぞ,1,0.866551
128,メ〇ルスライムかオメーはよォォォォ,1,0.866551
129,ダメージを与えつつ,1,0.866551
130,無駄に長い道中を走って追い込むとようやくボス戦が出来るが,1,0.866551
131,前作と比べて演出が薄っぺらくしょぼい,1,0.866551
132,これはソルトアンドサンクチュアリをプレイしたことがある人ほどよくわかるだろう,1,0.866551
133,実際に比べてみるとわかるのだが,1,0.866551
134,今作は道中もボス戦も全体的に静かすぎてこちらのテンションがボス戦に向けて上がっていかないという欠点を抱えている,1,0.866551
135,それとボスは追いかけっこの最中逃げるためにザコを召喚してくるのだが,1,0.866551
136,序盤はこちらの装備に強靭度もクソもないので最悪ザコにボコボコになぐられてボスを倒すどころじゃないのがザラにある,1,0.866551
137,ってかフツーに殺される,1,0.866551
138,ひどいのがボスの使いまわしで,1,0.866551
139,おいこいつ名有りボスだったろ,1,0.866551
140,ってのがその後には普通に名無しボスに格下げ,1,0.866551
141,そんでもって格下げされたからって別にザコになったわけではない,1,0.866551
142,ステータスも使いまわしじゃないのかこれ,1,0.866551
143,ボス戦そのもの以外もひどいと言わざるを得ないのがいくつか,1,0.866551
144,ザコ敵は走ってすり抜けスルー不可,1,0.866551
145,3dじゃないのもあるが普通に通り抜けできないので倒すか一々ローリングですり抜けるのを強いられる,1,0.866551
146,今作にもレベルアップによるスキルツリーがあるが,1,0.866551
147,これが格別にガッカリもの,1,0.866551
148,前作においてはスキルツリーの説明欄にいくつか世界観に関するエピソードが書かれており,1,0.866551
149,これを見ていくのも楽しさの一つだったのだが今作のスキルツリーには何一つない,1,0.866551
150,本当にただの能力値上げの装置でしかない,1,0.866551
151,ただでさえレベル上げるために面倒な位置に存在する場所にいかなきゃいけないのになんだこれは,1,0.866551
152,感の良い人もしくはゲームの情報に強い人なら知ってるとは思いますが,1,0.866551
153,このゲームは2022年5月11日にエピックの方で先に販売されているゲームです,1,0.866551
154,恐らく独占期間が終わったからこっちに来たのでしょう,1,0.866551
155,steamで出来たソルトファン無視してエ〇ックにしっぽ振るの楽しかったか,1,0.866551
156,ああ,1,0.866551
157,本当はこんな事言いたくないのですが,1,0.866551
158,このゲームの出来を見る限り,1,0.866551
159,前作はまぐれ当たりしたとしか思えません,1,0.866551
160,それか今作を作るにあたって前作を作ってたチームが他所に引き抜かれたとかそういうのがない限り,1,0.866551
161,あまりにもこのゲームは前作と比べて格段にクソと化しました,1,0.866551
162,あくまでも素人考えですが,1,0.866551
163,同じソルトの名前を使ったゲームを作ろうと思ったのなら,1,0.866551
164,今作のように前作とは全く違う方向性で作る必要なんて本当にあったんですかね,1,0.866551
165,普通に前作にあった欠点を潰しつつ,1,0.866551
166,長所は伸ばす方向でブラッシュアップしたモノにした方が十分成功したんじゃないでしょうか,1,0.866551
167,最後に改めて申し上げますが,1,0.866551
168,このゲームに関しては前作を愛するものとして失望しか生み出せません,1,0.866551
169,前作と比べてマジもののクソだと切り捨てさせていただきます,1,0.866551
170,前作の素晴らしさに泥を塗るな恥と反省を知れ,1,0.866551
171,ここまで長く書くつもりはなかったのですが思いのたけをぶつけるあまり長くなってしまって申し訳なく思うと同時に,1,0.866551
172,最後まで読んでくださりありがとうございました,1,0.866551
173,前作と比べて評価が低いが自分は前作も今作もなかなか面白いと思うダクソ系２dアクションrpg,1,0.866551
174,ダークソウル系の死にげーが２dアクションrpgになったみたいなの聞いて面白そうと思ったなら前作も今作も含めて楽しめると思う,1,0.866551
175,ただ前作,1,0.866551
176,今作もスキルツリーでの初期化が一つずつしかできないうえに数が限られているので一旦全部初期化などはできません,1,0.866551
177,注意しましょう,1,0.866551
178,前作と比べて今作の評価が低い理由の一つ,1,0.866551
179,大体これのせい,1,0.866551
180,に一度クエストを受けてボス,1,0.866551
181,魔導士,1,0.866551
182,を出現させると倒しても倒しても勝手にフィールドに出現するようになります,1,0.866551
183,探索すればするほどマップに魔導士が３,1,0.866551
184,５体とか出てきて鬱陶しい,1,0.866551
185,しかもダメージを与えると逃げて別のマップに移動しますそれを繰り返し追い詰めて倒さないといけないので面倒などが主な理由です,1,0.866551
