token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
보스가,4,1,9.779951,1.310616,8.469335,2.899582
없음,4,1,9.779951,1.310616,8.469335,2.899582
매우,3,0,7.334963,0.0,7.334963,32.772143
무기,3,0,7.334963,0.0,7.334963,32.772143
뱅가드,3,0,7.334963,0.0,7.334963,32.772143
게임,6,6,14.669927,7.863696,6.806231,0.899582
보스,3,1,7.334963,1.310616,6.024347,2.484545
같음,2,0,4.889976,0.0,4.889976,32.18718
공격을,2,0,4.889976,0.0,4.889976,32.18718
내가,2,0,4.889976,0.0,4.889976,32.18718
다크소울의,2,0,4.889976,0.0,4.889976,32.18718
몬헌,2,0,4.889976,0.0,4.889976,32.18718
문제는,2,0,4.889976,0.0,4.889976,32.18718
보고,2,0,4.889976,0.0,4.889976,32.18718
스킬,2,0,4.889976,0.0,4.889976,32.18718
시스템,2,0,4.889976,0.0,4.889976,32.18718
이거,2,0,4.889976,0.0,4.889976,32.18718
있는,2,0,4.889976,0.0,4.889976,32.18718
있다면,2,0,4.889976,0.0,4.889976,32.18718
정도로,2,0,4.889976,0.0,4.889976,32.18718
평가가,2,0,4.889976,0.0,4.889976,32.18718
하면,2,0,4.889976,0.0,4.889976,32.18718
할만함,2,0,4.889976,0.0,4.889976,32.18718
계속,2,1,4.889976,1.310616,3.57936,1.899582
보면,2,1,4.889976,1.310616,3.57936,1.899582
전작을,2,1,4.889976,1.310616,3.57936,1.899582
1이,1,0,2.444988,0.0,2.444988,31.18718
1인,1,0,2.444988,0.0,2.444988,31.18718
1탄보다,1,0,2.444988,0.0,2.444988,31.18718
1탄이,1,0,2.444988,0.0,2.444988,31.18718
1하고,1,0,2.444988,0.0,2.444988,31.18718
1회차,1,0,2.444988,0.0,2.444988,31.18718
1회차때까지만,1,0,2.444988,0.0,2.444988,31.18718
1회차클,1,0,2.444988,0.0,2.444988,31.18718
26시간,1,0,2.444988,0.0,2.444988,31.18718
2인,1,0,2.444988,0.0,2.444988,31.18718
2인이서,1,0,2.444988,0.0,2.444988,31.18718
2회차,1,0,2.444988,0.0,2.444988,31.18718
3회차,1,0,2.444988,0.0,2.444988,31.18718
6번정도,1,0,2.444988,0.0,2.444988,31.18718
가까운,1,0,2.444988,0.0,2.444988,31.18718
가끔,1,0,2.444988,0.0,2.444988,31.18718
가져왔다,1,0,2.444988,0.0,2.444988,31.18718
간만에,1,0,2.444988,0.0,2.444988,31.18718
갈고리,1,0,2.444988,0.0,2.444988,31.18718
갈아껴야하는데,1,0,2.444988,0.0,2.444988,31.18718
갑옷인데,1,0,2.444988,0.0,2.444988,31.18718
갓겜인줄,1,0,2.444988,0.0,2.444988,31.18718
강해져야하는,1,0,2.444988,0.0,2.444988,31.18718
강해질,1,0,2.444988,0.0,2.444988,31.18718
강화석,1,0,2.444988,0.0,2.444988,31.18718
같기도,1,0,2.444988,0.0,2.444988,31.18718
같이할,1,0,2.444988,0.0,2.444988,31.18718
개똥겜이었는데,1,0,2.444988,0.0,2.444988,31.18718
개빨리는데,1,0,2.444988,0.0,2.444988,31.18718
게임에서도,1,0,2.444988,0.0,2.444988,31.18718
게임의,1,0,2.444988,0.0,2.444988,31.18718
격변수준의,1,0,2.444988,0.0,2.444988,31.18718
경고입니다,1,0,2.444988,0.0,2.444988,31.18718
공격들을,1,0,2.444988,0.0,2.444988,31.18718
공격모션이,1,0,2.444988,0.0,2.444988,31.18718
공격타이밍,1,0,2.444988,0.0,2.444988,31.18718
괜찮은,1,0,2.444988,0.0,2.444988,31.18718
괜찮은것,1,0,2.444988,0.0,2.444988,31.18718
굉장히,1,0,2.444988,0.0,2.444988,31.18718
그거,1,0,2.444988,0.0,2.444988,31.18718
그정도는,1,0,2.444988,0.0,2.444988,31.18718
그정도로,1,0,2.444988,0.0,2.444988,31.18718
근접,1,0,2.444988,0.0,2.444988,31.18718
금방,1,0,2.444988,0.0,2.444988,31.18718
기형적임,1,0,2.444988,0.0,2.444988,31.18718
길찾고,1,0,2.444988,0.0,2.444988,31.18718
꿀잼,1,0,2.444988,0.0,2.444988,31.18718
끝나는,1,0,2.444988,0.0,2.444988,31.18718
나눠놓은거,1,0,2.444988,0.0,2.444988,31.18718
나름,1,0,2.444988,0.0,2.444988,31.18718
나서,1,0,2.444988,0.0,2.444988,31.18718
난이도,1,0,2.444988,0.0,2.444988,31.18718
난이도가,1,0,2.444988,0.0,2.444988,31.18718
난이도랑,1,0,2.444988,0.0,2.444988,31.18718
낫지않을까,1,0,2.444988,0.0,2.444988,31.18718
다르다,1,0,2.444988,0.0,2.444988,31.18718
다른가,1,0,2.444988,0.0,2.444988,31.18718
다른거,1,0,2.444988,0.0,2.444988,31.18718
다른지,1,0,2.444988,0.0,2.444988,31.18718
단검,1,0,2.444988,0.0,2.444988,31.18718
단점,1,0,2.444988,0.0,2.444988,31.18718
단점들이,1,0,2.444988,0.0,2.444988,31.18718
단점이,1,0,2.444988,0.0,2.444988,31.18718
달라진,1,0,2.444988,0.0,2.444988,31.18718
달리,1,0,2.444988,0.0,2.444988,31.18718
당신이,1,0,2.444988,0.0,2.444988,31.18718
닼소를,1,0,2.444988,0.0,2.444988,31.18718
닼소와,1,0,2.444988,0.0,2.444988,31.18718
더이상,1,0,2.444988,0.0,2.444988,31.18718
도망가는데,1,0,2.444988,0.0,2.444988,31.18718
도망을,1,0,2.444988,0.0,2.444988,31.18718
도망치는것을,1,0,2.444988,0.0,2.444988,31.18718
도전과제,1,0,2.444988,0.0,2.444988,31.18718
되지만,1,0,2.444988,0.0,2.444988,31.18718
두세번쯤,1,0,2.444988,0.0,2.444988,31.18718
드는,1,0,2.444988,0.0,2.444988,31.18718
들면,1,0,2.444988,0.0,2.444988,31.18718
등은,1,0,2.444988,0.0,2.444988,31.18718
딜이,1,0,2.444988,0.0,2.444988,31.18718
따라가고,1,0,2.444988,0.0,2.444988,31.18718
따라가세요,1,0,2.444988,0.0,2.444988,31.18718
때는,1,0,2.444988,0.0,2.444988,31.18718
때도,1,0,2.444988,0.0,2.444988,31.18718
때리다,1,0,2.444988,0.0,2.444988,31.18718
때에,1,0,2.444988,0.0,2.444988,31.18718
똑같다,1,0,2.444988,0.0,2.444988,31.18718
똑같은데,1,0,2.444988,0.0,2.444988,31.18718
똥겜이냐,1,0,2.444988,0.0,2.444988,31.18718
라면,1,0,2.444988,0.0,2.444988,31.18718
랜덤,1,0,2.444988,0.0,2.444988,31.18718
마법사라,1,0,2.444988,0.0,2.444988,31.18718
마법사별,1,0,2.444988,0.0,2.444988,31.18718
마십시오,1,0,2.444988,0.0,2.444988,31.18718
막힌,1,0,2.444988,0.0,2.444988,31.18718
만족함,1,0,2.444988,0.0,2.444988,31.18718
많음,1,0,2.444988,0.0,2.444988,31.18718
맛이,1,0,2.444988,0.0,2.444988,31.18718
맞지만,1,0,2.444988,0.0,2.444988,31.18718
매트로,1,0,2.444988,0.0,2.444988,31.18718
매트로베니아,1,0,2.444988,0.0,2.444988,31.18718
멀티를,1,0,2.444988,0.0,2.444988,31.18718
멀티와,1,0,2.444988,0.0,2.444988,31.18718
명작,1,0,2.444988,0.0,2.444988,31.18718
몇대때리면,1,0,2.444988,0.0,2.444988,31.18718
모르겠구,1,0,2.444988,0.0,2.444988,31.18718
모르겠다,1,0,2.444988,0.0,2.444988,31.18718
모양,1,0,2.444988,0.0,2.444988,31.18718
몬스터,1,0,2.444988,0.0,2.444988,31.18718
몬헌과,1,0,2.444988,0.0,2.444988,31.18718
몬헌마냥,1,0,2.444988,0.0,2.444988,31.18718
몬헌에서,1,0,2.444988,0.0,2.444988,31.18718
몬헌을,1,0,2.444988,0.0,2.444988,31.18718
몰아넣어야,1,0,2.444988,0.0,2.444988,31.18718
못만든것은,1,0,2.444988,0.0,2.444988,31.18718
못한,1,0,2.444988,0.0,2.444988,31.18718
무기는,1,0,2.444988,0.0,2.444988,31.18718
무기를,1,0,2.444988,0.0,2.444988,31.18718
무자비함까지,1,0,2.444988,0.0,2.444988,31.18718
무튼,1,0,2.444988,0.0,2.444988,31.18718
문이랑,1,0,2.444988,0.0,2.444988,31.18718
뭐가,1,0,2.444988,0.0,2.444988,31.18718
뭐지,1,0,2.444988,0.0,2.444988,31.18718
뭔가,1,0,2.444988,0.0,2.444988,31.18718
미니맵,1,0,2.444988,0.0,2.444988,31.18718
발판과,1,0,2.444988,0.0,2.444988,31.18718
밟으면,1,0,2.444988,0.0,2.444988,31.18718
방패과,1,0,2.444988,0.0,2.444988,31.18718
배니아에,1,0,2.444988,0.0,2.444988,31.18718
벽돌이,1,0,2.444988,0.0,2.444988,31.18718
변태적은,1,0,2.444988,0.0,2.444988,31.18718
별로긴,1,0,2.444988,0.0,2.444988,31.18718
보는,1,0,2.444988,0.0,2.444988,31.18718
보스들이,1,0,2.444988,0.0,2.444988,31.18718
보스룸으로,1,0,2.444988,0.0,2.444988,31.18718
부분이,1,0,2.444988,0.0,2.444988,31.18718
분명히,1,0,2.444988,0.0,2.444988,31.18718
불가능에,1,0,2.444988,0.0,2.444988,31.18718
비교하면,1,0,2.444988,0.0,2.444988,31.18718
비료옥,1,0,2.444988,0.0,2.444988,31.18718
비해선,1,0,2.444988,0.0,2.444988,31.18718
빼곤,1,0,2.444988,0.0,2.444988,31.18718
빼면,1,0,2.444988,0.0,2.444988,31.18718
뺑뻉이가,1,0,2.444988,0.0,2.444988,31.18718
뺴고는,1,0,2.444988,0.0,2.444988,31.18718
사냥이,1,0,2.444988,0.0,2.444988,31.18718
사실상,1,0,2.444988,0.0,2.444988,31.18718
사용하지,1,0,2.444988,0.0,2.444988,31.18718
상당히,1,0,2.444988,0.0,2.444988,31.18718
상종못할,1,0,2.444988,0.0,2.444988,31.18718
새크리파이스를,1,0,2.444988,0.0,2.444988,31.18718
생각하면,1,0,2.444988,0.0,2.444988,31.18718
생츄어리랑,1,0,2.444988,0.0,2.444988,31.18718
섞었는데,1,0,2.444988,0.0,2.444988,31.18718
섞여,1,0,2.444988,0.0,2.444988,31.18718
선공개,1,0,2.444988,0.0,2.444988,31.18718
섬광탄,1,0,2.444988,0.0,2.444988,31.18718
세이브,1,0,2.444988,0.0,2.444988,31.18718
소환하며,1,0,2.444988,0.0,2.444988,31.18718
솔생맛,1,0,2.444988,0.0,2.444988,31.18718
수가,1,0,2.444988,0.0,2.444988,31.18718
수준임,1,0,2.444988,0.0,2.444988,31.18718
순간,1,0,2.444988,0.0,2.444988,31.18718
쉬운,1,0,2.444988,0.0,2.444988,31.18718
스태브,1,0,2.444988,0.0,2.444988,31.18718
스테미나가,1,0,2.444988,0.0,2.444988,31.18718
시간,1,0,2.444988,0.0,2.444988,31.18718
시발,1,0,2.444988,0.0,2.444988,31.18718
시발했는데,1,0,2.444988,0.0,2.444988,31.18718
시스템이,1,0,2.444988,0.0,2.444988,31.18718
심한거랑,1,0,2.444988,0.0,2.444988,31.18718
