rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,보스들의 패턴이,3,2.631579
2,아닌 똥겜이,3,2.631579
3,똥겜이 되는,3,2.631579
4,제작진들은 몰랐던,3,2.631579
5,몰랐던 것일까요,3,2.631579
6,도배되어 있습니다,2,1.754386
7,거리 벌리고,2,1.754386
8,것이 아닌,2,1.754386
9,되는 것이란걸,2,1.754386
10,것이란걸 제작진들은,2,1.754386
11,분명히 1회차때까지만,1,0.877193
12,1회차때까지만 해도,1,0.877193
13,해도 더이상,1,0.877193
14,더이상 상종못할,1,0.877193
15,상종못할 천하의,1,0.877193
16,천하의 개똥겜이었는데,1,0.877193
17,개똥겜이었는데 1회차,1,0.877193
18,1회차 클리어하고,1,0.877193
19,클리어하고 뭔가,1,0.877193
20,뭔가 아까워서,1,0.877193
21,아까워서 2회차,1,0.877193
22,2회차 3회차,1,0.877193
23,3회차 하니까,1,0.877193
24,하니까 괜찮은,1,0.877193
25,괜찮은 같기도,1,0.877193
26,스태브 때리다,1,0.877193
27,때리다 시발,1,0.877193
28,시발 어느,1,0.877193
29,어느 게임에서도,1,0.877193
30,게임에서도 없는,1,0.877193
31,없는 밟으면,1,0.877193
32,밟으면 죽는,1,0.877193
33,죽는 함정들,1,0.877193
34,함정들 존나게,1,0.877193
35,존나게 안보인다,1,0.877193
36,안보인다 2인이서,1,0.877193
37,2인이서 때도,1,0.877193
38,때도 매우,1,0.877193
39,매우 힘들었는데,1,0.877193
40,힘들었는데 이게,1,0.877193
41,이게 1인,1,0.877193
42,1인 난이도랑,1,0.877193
43,난이도랑 똑같다,1,0.877193
44,똑같다 자세히,1,0.877193
45,자세히 보면,1,0.877193
46,보면 모든,1,0.877193
47,모든 맵의,1,0.877193
48,맵의 발판과,1,0.877193
49,발판과 벽돌이,1,0.877193
50,벽돌이 재탕된,1,0.877193
51,재탕된 부분이,1,0.877193
52,부분이 존나,1,0.877193
53,존나 많음,1,0.877193
54,많음 스테미나가,1,0.877193
55,스테미나가 개빨리는데,1,0.877193
56,개빨리는데 원거리로,1,0.877193
57,원거리로 하면,1,0.877193
58,하면 매우,1,0.877193
59,매우 쉬운,1,0.877193
60,쉬운 난이도가,1,0.877193
61,난이도가 되지만,1,0.877193
62,되지만 근접,1,0.877193
63,근접 무기를,1,0.877193
64,무기를 드는,1,0.877193
65,드는 순간,1,0.877193
66,순간 내가,1,0.877193
67,내가 솔트,1,0.877193
68,솔트 새크리파이스를,1,0.877193
69,새크리파이스를 하고있는건가,1,0.877193
70,하고있는건가 철권잽을,1,0.877193
71,철권잽을 보고,1,0.877193
72,보고 피하고있는건가,1,0.877193
73,피하고있는건가 의구심이,1,0.877193
74,의구심이 게임이,1,0.877193
75,게임이 허무함,1,0.877193
76,허무함 그냥,1,0.877193
77,그냥 길찾고,1,0.877193
78,길찾고 어어어,1,0.877193
79,어어어 하다가,1,0.877193
80,하다가 후반가니까,1,0.877193
81,후반가니까 보스,1,0.877193
82,보스 지잉하고,1,0.877193
83,지잉하고 툭치니까,1,0.877193
84,툭치니까 죽어서,1,0.877193
85,죽어서 뭐지,1,0.877193
86,뭐지 시발했는데,1,0.877193
87,시발했는데 엔딩임,1,0.877193
88,엔딩임 마법사별,1,0.877193
89,마법사별 무기,1,0.877193
90,무기 나눠놓은거,1,0.877193
91,나눠놓은거 좋은데,1,0.877193
92,좋은데 그냥,1,0.877193
93,그냥 클래스,1,0.877193
94,클래스 무기,1,0.877193
95,무기 쓰는게,1,0.877193
96,쓰는게 장땡임,1,0.877193
97,장땡임 다른거,1,0.877193
98,다른거 필요없음,1,0.877193
99,필요없음 강화석,1,0.877193
100,강화석 파밍이,1,0.877193
