rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,분명히 1회차때까지만,1,2.531646
2,1회차때까지만 해도,1,2.531646
3,해도 더이상,1,2.531646
4,더이상 상종못할,1,2.531646
5,상종못할 천하의,1,2.531646
6,천하의 개똥겜이었는데,1,2.531646
7,개똥겜이었는데 1회차,1,2.531646
8,1회차 클리어하고,1,2.531646
9,클리어하고 뭔가,1,2.531646
10,뭔가 아까워서,1,2.531646
11,아까워서 2회차,1,2.531646
12,2회차 3회차,1,2.531646
13,3회차 하니까,1,2.531646
14,하니까 괜찮은,1,2.531646
15,괜찮은 같기도,1,2.531646
16,스태브 때리다,1,2.531646
17,때리다 시발,1,2.531646
18,시발 어느,1,2.531646
19,어느 게임에서도,1,2.531646
20,게임에서도 없는,1,2.531646
21,없는 밟으면,1,2.531646
22,밟으면 죽는,1,2.531646
23,죽는 함정들,1,2.531646
24,함정들 존나게,1,2.531646
25,존나게 안보인다,1,2.531646
26,안보인다 2인이서,1,2.531646
27,2인이서 때도,1,2.531646
28,때도 매우,1,2.531646
29,매우 힘들었는데,1,2.531646
30,힘들었는데 이게,1,2.531646
31,이게 1인,1,2.531646
32,1인 난이도랑,1,2.531646
33,난이도랑 똑같다,1,2.531646
34,똑같다 자세히,1,2.531646
35,자세히 보면,1,2.531646
36,보면 모든,1,2.531646
37,모든 맵의,1,2.531646
38,맵의 발판과,1,2.531646
39,발판과 벽돌이,1,2.531646
40,벽돌이 재탕된,1,2.531646
41,재탕된 부분이,1,2.531646
42,부분이 존나,1,2.531646
43,존나 많음,1,2.531646
44,많음 스테미나가,1,2.531646
45,스테미나가 개빨리는데,1,2.531646
46,개빨리는데 원거리로,1,2.531646
47,원거리로 하면,1,2.531646
48,하면 매우,1,2.531646
49,매우 쉬운,1,2.531646
50,쉬운 난이도가,1,2.531646
51,난이도가 되지만,1,2.531646
52,되지만 근접,1,2.531646
53,근접 무기를,1,2.531646
54,무기를 드는,1,2.531646
55,드는 순간,1,2.531646
56,순간 내가,1,2.531646
57,내가 솔트,1,2.531646
58,솔트 새크리파이스를,1,2.531646
59,새크리파이스를 하고있는건가,1,2.531646
60,하고있는건가 철권잽을,1,2.531646
61,철권잽을 보고,1,2.531646
62,보고 피하고있는건가,1,2.531646
63,피하고있는건가 의구심이,1,2.531646
64,의구심이 게임이,1,2.531646
65,게임이 허무함,1,2.531646
66,허무함 그냥,1,2.531646
67,그냥 길찾고,1,2.531646
68,길찾고 어어어,1,2.531646
69,어어어 하다가,1,2.531646
70,하다가 후반가니까,1,2.531646
71,후반가니까 보스,1,2.531646
72,보스 지잉하고,1,2.531646
73,지잉하고 툭치니까,1,2.531646
74,툭치니까 죽어서,1,2.531646
75,죽어서 뭐지,1,2.531646
76,뭐지 시발했는데,1,2.531646
77,시발했는데 엔딩임,1,2.531646
78,엔딩임 마법사별,1,2.531646
79,마법사별 무기,1,2.531646
80,무기 나눠놓은거,1,2.531646
81,나눠놓은거 좋은데,1,2.531646
82,좋은데 그냥,1,2.531646
83,그냥 클래스,1,2.531646
84,클래스 무기,1,2.531646
85,무기 쓰는게,1,2.531646
86,쓰는게 장땡임,1,2.531646
87,장땡임 다른거,1,2.531646
88,다른거 필요없음,1,2.531646
89,필요없음 강화석,1,2.531646
90,강화석 파밍이,1,2.531646
91,파밍이 기형적임,1,2.531646
92,기형적임 이재료,1,2.531646
93,이재료 처먹고,1,2.531646
94,처먹고 저재료,1,2.531646
95,저재료 처먹어서,1,2.531646
96,처먹어서 안그래도,1,2.531646
97,안그래도 계속,1,2.531646
98,계속 무기,1,2.531646
99,무기 갈아껴야하는데,1,2.531646
100,갈아껴야하는데 강해져야하는,1,2.531646
