rank,token,frequency,relative_frequency_per_1000_tokens
1,게임,6,7.863696
2,나는,5,6.55308
3,게임이,5,6.55308
4,이러한,4,5.242464
5,정말,4,5.242464
6,게임을,4,5.242464
7,제작진들은,4,5.242464
8,진짜,3,3.931848
9,만들어진,3,3.931848
10,않음,3,3.931848
11,보스들의,3,3.931848
12,패턴이,3,3.931848
13,보스를,3,3.931848
14,기대하고,3,3.931848
15,아닌,3,3.931848
16,똥겜이,3,3.931848
17,되는,3,3.931848
18,몰랐던,3,3.931848
19,것일까요,3,3.931848
20,h2,2,2.621232
21,생긴,2,2.621232
22,놈이,2,2.621232
23,오지게,2,2.621232
24,암튼,2,2.621232
25,1편에서,2,2.621232
26,spoiler,2,2.621232
27,사람들이,2,2.621232
28,특정,2,2.621232
29,게임임,2,2.621232
30,비해,2,2.621232
31,존재,2,2.621232
32,많이,2,2.621232
33,없는,2,2.621232
34,피로감이,2,2.621232
35,너무,2,2.621232
36,심함,2,2.621232
37,다른,2,2.621232
38,주지,2,2.621232
39,전투가,2,2.621232
40,게임은,2,2.621232
41,도배되어,2,2.621232
42,있습니다,2,2.621232
43,적의,2,2.621232
44,뒤를,2,2.621232
45,가드를,2,2.621232
46,결국,2,2.621232
47,적이,2,2.621232
48,거리,2,2.621232
49,벌리고,2,2.621232
50,그냥,2,2.621232
51,때문에,2,2.621232
52,남게,2,2.621232
53,솔트,2,2.621232
54,좋은,2,2.621232
55,대해,2,2.621232
56,맵을,2,2.621232
57,또한,2,2.621232
58,대부분의,2,2.621232
59,같은,2,2.621232
60,조금,2,2.621232
61,저는,2,2.621232
62,생츄어리를,2,2.621232
63,것이,2,2.621232
64,것이란걸,2,2.621232
65,부디,2,2.621232
66,아니,2,2.621232
67,대한,2,2.621232
68,한줄평,1,1.310616
69,역겹고,1,1.310616
70,구리고,1,1.310616
71,짜증,1,1.310616
72,겁나,1,1.310616
73,나지만,1,1.310616
74,쓴맛이,1,1.310616
75,왠지,1,1.310616
76,끌린다,1,1.310616
77,달빛아래에,1,1.310616
78,사슴인지,1,1.310616
79,산양인지,1,1.310616
80,엘크인지,1,1.310616
81,무스인지,1,1.310616
82,노루인지,1,1.310616
83,고라니인지,1,1.310616
84,모를,1,1.310616
85,뭔가를,1,1.310616
86,친구랑,1,1.310616
87,사이좋게,1,1.310616
88,타고,1,1.310616
89,다니다가,1,1.310616
90,무슨,1,1.310616
91,불닭소스,1,1.310616
92,색깔,1,1.310616
93,레이저를,1,1.310616
94,쳐맞고,1,1.310616
95,거리를,1,1.310616
96,방황하는데,1,1.310616
97,갑자기,1,1.310616
98,개성,1,1.310616
99,겁나없게,1,1.310616
100,예티같은,1,1.310616
101,빈대떡을,1,1.310616
102,쿵하고,1,1.310616
103,시전해서,1,1.310616
104,짜부가,1,1.310616
105,되더니,1,1.310616
106,b형,1,1.310616
107,텐트처럼,1,1.310616
108,짬내,1,1.310616
109,곳에서,1,1.310616
110,눈을,1,1.310616
111,뜨니까,1,1.310616
112,하얀옷입은,1,1.310616
113,장의사같은,1,1.310616
114,이러쿵저러쿵,1,1.310616
115,쏼라쏼라,1,1.310616
116,저주받음,1,1.310616
117,어디가야함,1,1.310616
118,무슨일해야함,1,1.310616
119,시작됨,1,1.310616
120,이게,1,1.310616
121,시작부분임,1,1.310616
122,조까타떤점만,1,1.310616
123,집어넣고,1,1.310616
124,좋았던점은,1,1.310616
125,빼버렸음,1,1.310616
126,1편이,1,1.310616
127,미지의,1,1.310616
128,섬에서,1,1.310616
129,표류되어,1,1.310616
130,그곳의,1,1.310616
131,기현상과,1,1.310616
132,괴물들로부터,1,1.310616
133,적응하면서,1,1.310616
134,섬의,1,1.310616
135,비밀을,1,1.310616
136,파헤치고,1,1.310616
137,극복해,1,1.310616
138,나가는,1,1.310616
139,이야기임,1,1.310616
140,아마,1,1.310616
141,대부분,1,1.310616
142,1편했다가,1,1.310616
143,2편,1,1.310616
144,하는,1,1.310616
145,대다수니까,1,1.310616
146,스포,1,1.310616
147,살짝하자면,1,1.310616
148,섬이,1,1.310616
149,사실,1,1.310616
150,누군가의,1,1.310616
151,강력한,1,1.310616
152,마법,1,1.310616
153,같은걸로,1,1.310616
154,멀티버스,1,1.310616
155,융합,1,1.310616
156,시뮬레이션,1,1.310616
157,세계임,1,1.310616
158,왜냐면,1,1.310616
159,나라,1,1.310616
160,지역,1,1.310616
161,공간을,1,1.310616
162,섬에,1,1.310616
163,일부에,1,1.310616
164,복사-붙여넣기,1,1.310616
165,거라서,1,1.310616
166,그런거임,1,1.310616
167,그래서,1,1.310616
168,2편은,1,1.310616
169,뭐냐면,1,1.310616
170,너님이,1,1.310616
171,마법사와,1,1.310616
172,전쟁중인,1,1.310616
173,왕국의,1,1.310616
174,자살특공대,1,1.310616
175,비스무리,1,1.310616
176,한거,1,1.310616
177,되어서,1,1.310616
178,모험,1,1.310616
179,떠나는,1,1.310616
180,볼륨이,1,1.310616
181,전작에,1,1.310616
182,그렇게,1,1.310616
183,크지는,1,1.310616
184,그래픽은,1,1.310616
185,아주,1,1.310616
186,살짝,1,1.310616
187,좋아짐,1,1.310616
188,좋아진건가,1,1.310616
189,타격감은,1,1.310616
190,개형편없어짐,1,1.310616
191,쓰디,1,1.310616
192,고양이똥맛,1,1.310616
193,커피,1,1.310616
194,좋아하는,1,1.310616
195,사람만,1,1.310616
196,해보길,1,1.310616
197,추천하는,1,1.310616
198,그런,1,1.310616
199,병신같은,1,1.310616
200,별론데,1,1.310616
