rank,token,frequency,relative_frequency_per_1000_tokens
1,게임,12,10.238908
2,게임이,6,5.119454
3,없음,5,4.266212
4,나는,5,4.266212
5,보스가,5,4.266212
6,그냥,4,3.412969
7,보스,4,3.412969
8,같은,4,3.412969
9,진짜,4,3.412969
10,아닌,4,3.412969
11,이러한,4,3.412969
12,정말,4,3.412969
13,게임을,4,3.412969
14,제작진들은,4,3.412969
15,없는,3,2.559727
16,매우,3,2.559727
17,보면,3,2.559727
18,솔트,3,2.559727
19,무기,3,2.559727
20,계속,3,2.559727
21,저는,3,2.559727
22,만들어진,3,2.559727
23,않음,3,2.559727
24,전작을,3,2.559727
25,너무,3,2.559727
26,보스들의,3,2.559727
27,패턴이,3,2.559727
28,보스를,3,2.559727
29,뱅가드,3,2.559727
30,기대하고,3,2.559727
31,똥겜이,3,2.559727
32,되는,3,2.559727
33,몰랐던,3,2.559727
34,것일까요,3,2.559727
35,이게,2,1.706485
36,모든,2,1.706485
37,맵의,2,1.706485
38,하면,2,1.706485
39,내가,2,1.706485
40,보고,2,1.706485
41,이거,2,1.706485
42,모르겠음,2,1.706485
43,공격을,2,1.706485
44,그리고,2,1.706485
45,가벼운,2,1.706485
46,h2,2,1.706485
47,생긴,2,1.706485
48,놈이,2,1.706485
49,오지게,2,1.706485
50,암튼,2,1.706485
51,1편에서,2,1.706485
52,spoiler,2,1.706485
53,대부분,2,1.706485
54,사람들이,2,1.706485
55,특정,2,1.706485
56,게임임,2,1.706485
57,전작에,2,1.706485
58,비해,2,1.706485
59,그렇게,2,1.706485
60,아주,2,1.706485
61,다크소울의,2,1.706485
62,필드에서,2,1.706485
63,섞은,2,1.706485
64,시스템,2,1.706485
65,시스템은,2,1.706485
66,문제는,2,1.706485
67,겨우,2,1.706485
68,점이,2,1.706485
69,그야말로,2,1.706485
70,있는,2,1.706485
71,정도로,2,1.706485
72,있다면,2,1.706485
73,존재,2,1.706485
74,평가가,2,1.706485
75,수준,2,1.706485
76,필드,2,1.706485
77,소울라이크,2,1.706485
78,몬헌,2,1.706485
79,많이,2,1.706485
80,했는데,2,1.706485
81,얼마나,2,1.706485
82,피로감이,2,1.706485
83,심함,2,1.706485
84,같음,2,1.706485
85,똥겜,2,1.706485
86,다른,2,1.706485
87,마법사,2,1.706485
88,소환,2,1.706485
89,주지,2,1.706485
90,전투가,2,1.706485
91,게임은,2,1.706485
92,도배되어,2,1.706485
93,있습니다,2,1.706485
94,적의,2,1.706485
95,뒤를,2,1.706485
96,가드를,2,1.706485
97,결국,2,1.706485
98,적이,2,1.706485
99,거리,2,1.706485
100,벌리고,2,1.706485
101,때문에,2,1.706485
102,남게,2,1.706485
103,좋은,2,1.706485
104,대해,2,1.706485
105,맵을,2,1.706485
106,또한,2,1.706485
107,대부분의,2,1.706485
108,스킬,2,1.706485
109,할만함,2,1.706485
110,조금,2,1.706485
111,생츄어리를,2,1.706485
112,것이,2,1.706485
113,것이란걸,2,1.706485
114,부디,2,1.706485
115,아니,2,1.706485
116,대한,2,1.706485
117,분명히,1,0.853242
118,1회차때까지만,1,0.853242
119,해도,1,0.853242
120,더이상,1,0.853242
121,상종못할,1,0.853242
122,천하의,1,0.853242
123,개똥겜이었는데,1,0.853242
124,1회차,1,0.853242
125,클리어하고,1,0.853242
126,뭔가,1,0.853242
127,아까워서,1,0.853242
128,2회차,1,0.853242
129,3회차,1,0.853242
130,하니까,1,0.853242
131,괜찮은,1,0.853242
132,같기도,1,0.853242
133,스태브,1,0.853242
134,때리다,1,0.853242
135,시발,1,0.853242
136,어느,1,0.853242
137,게임에서도,1,0.853242
138,밟으면,1,0.853242
139,죽는,1,0.853242
140,함정들,1,0.853242
141,존나게,1,0.853242
142,안보인다,1,0.853242
143,2인이서,1,0.853242
144,때도,1,0.853242
145,힘들었는데,1,0.853242
146,1인,1,0.853242
147,난이도랑,1,0.853242
148,똑같다,1,0.853242
149,자세히,1,0.853242
150,발판과,1,0.853242
151,벽돌이,1,0.853242
152,재탕된,1,0.853242
153,부분이,1,0.853242
154,존나,1,0.853242
155,많음,1,0.853242
156,스테미나가,1,0.853242
157,개빨리는데,1,0.853242
158,원거리로,1,0.853242
159,쉬운,1,0.853242
160,난이도가,1,0.853242
161,되지만,1,0.853242
162,근접,1,0.853242
163,무기를,1,0.853242
164,드는,1,0.853242
165,순간,1,0.853242
166,새크리파이스를,1,0.853242
167,하고있는건가,1,0.853242
168,철권잽을,1,0.853242
169,피하고있는건가,1,0.853242
170,의구심이,1,0.853242
171,허무함,1,0.853242
172,길찾고,1,0.853242
173,어어어,1,0.853242
174,하다가,1,0.853242
175,후반가니까,1,0.853242
176,지잉하고,1,0.853242
177,툭치니까,1,0.853242
178,죽어서,1,0.853242
179,뭐지,1,0.853242
180,시발했는데,1,0.853242
181,엔딩임,1,0.853242
182,마법사별,1,0.853242
183,나눠놓은거,1,0.853242
184,좋은데,1,0.853242
185,클래스,1,0.853242
186,쓰는게,1,0.853242
187,장땡임,1,0.853242
188,다른거,1,0.853242
189,필요없음,1,0.853242
190,강화석,1,0.853242
191,파밍이,1,0.853242
192,기형적임,1,0.853242
193,이재료,1,0.853242
194,처먹고,1,0.853242
195,저재료,1,0.853242
196,처먹어서,1,0.853242
197,안그래도,1,0.853242
198,갈아껴야하는데,1,0.853242
199,강해져야하는,1,0.853242
200,때에,1,0.853242
