rank,token,frequency,relative_frequency_per_1000_tokens
1,게임,6,14.669927
2,없음,4,9.779951
3,보스가,4,9.779951
4,매우,3,7.334963
5,보스,3,7.334963
6,무기,3,7.334963
7,뱅가드,3,7.334963
8,보면,2,4.889976
9,하면,2,4.889976
10,내가,2,4.889976
11,보고,2,4.889976
12,그냥,2,4.889976
13,계속,2,4.889976
14,이거,2,4.889976
15,공격을,2,4.889976
16,같은,2,4.889976
17,다크소울의,2,4.889976
18,시스템,2,4.889976
19,문제는,2,4.889976
20,있는,2,4.889976
21,정도로,2,4.889976
22,있다면,2,4.889976
23,평가가,2,4.889976
24,전작을,2,4.889976
25,몬헌,2,4.889976
26,같음,2,4.889976
27,스킬,2,4.889976
28,할만함,2,4.889976
29,분명히,1,2.444988
30,1회차때까지만,1,2.444988
31,해도,1,2.444988
32,더이상,1,2.444988
33,상종못할,1,2.444988
34,천하의,1,2.444988
35,개똥겜이었는데,1,2.444988
36,1회차,1,2.444988
37,클리어하고,1,2.444988
38,뭔가,1,2.444988
39,아까워서,1,2.444988
40,2회차,1,2.444988
41,3회차,1,2.444988
42,하니까,1,2.444988
43,괜찮은,1,2.444988
44,같기도,1,2.444988
45,스태브,1,2.444988
46,때리다,1,2.444988
47,시발,1,2.444988
48,어느,1,2.444988
49,게임에서도,1,2.444988
50,없는,1,2.444988
51,밟으면,1,2.444988
52,죽는,1,2.444988
53,함정들,1,2.444988
54,존나게,1,2.444988
55,안보인다,1,2.444988
56,2인이서,1,2.444988
57,때도,1,2.444988
58,힘들었는데,1,2.444988
59,이게,1,2.444988
60,1인,1,2.444988
61,난이도랑,1,2.444988
62,똑같다,1,2.444988
63,자세히,1,2.444988
64,모든,1,2.444988
65,맵의,1,2.444988
66,발판과,1,2.444988
67,벽돌이,1,2.444988
68,재탕된,1,2.444988
69,부분이,1,2.444988
70,존나,1,2.444988
71,많음,1,2.444988
72,스테미나가,1,2.444988
73,개빨리는데,1,2.444988
74,원거리로,1,2.444988
75,쉬운,1,2.444988
76,난이도가,1,2.444988
77,되지만,1,2.444988
78,근접,1,2.444988
79,무기를,1,2.444988
80,드는,1,2.444988
81,순간,1,2.444988
82,솔트,1,2.444988
83,새크리파이스를,1,2.444988
84,하고있는건가,1,2.444988
85,철권잽을,1,2.444988
86,피하고있는건가,1,2.444988
87,의구심이,1,2.444988
88,게임이,1,2.444988
89,허무함,1,2.444988
90,길찾고,1,2.444988
91,어어어,1,2.444988
92,하다가,1,2.444988
93,후반가니까,1,2.444988
94,지잉하고,1,2.444988
95,툭치니까,1,2.444988
96,죽어서,1,2.444988
97,뭐지,1,2.444988
98,시발했는데,1,2.444988
99,엔딩임,1,2.444988
100,마법사별,1,2.444988
101,나눠놓은거,1,2.444988
102,좋은데,1,2.444988
103,클래스,1,2.444988
104,쓰는게,1,2.444988
105,장땡임,1,2.444988
106,다른거,1,2.444988
107,필요없음,1,2.444988
108,강화석,1,2.444988
109,파밍이,1,2.444988
110,기형적임,1,2.444988
111,이재료,1,2.444988
112,처먹고,1,2.444988
113,저재료,1,2.444988
114,처먹어서,1,2.444988
115,안그래도,1,2.444988
116,갈아껴야하는데,1,2.444988
117,강해져야하는,1,2.444988
118,때에,1,2.444988
119,강해질,1,2.444988
120,수가,1,2.444988
121,퍼펙트가드,1,2.444988
122,왜있는건지,1,2.444988
123,모르겠음,1,2.444988
124,공격들을,1,2.444988
125,전부,1,2.444988
126,퍼펙트,1,2.444988
127,하면서,1,2.444988
128,하기란,1,2.444988
129,사실상,1,2.444988
130,불가능에,1,2.444988
131,가까운,1,2.444988
132,수준임,1,2.444988
133,즐겨,1,2.444988
134,당신이,1,2.444988
135,피학성애자,1,2.444988
136,라면,1,2.444988
137,추천합니다,1,2.444988
138,그리고,1,2.444988
139,단검,1,2.444988
140,가벼운,1,2.444988
141,무기는,1,2.444988
142,사용하지,1,2.444988
143,마십시오,1,2.444988
144,이건,1,2.444988
145,경고입니다,1,2.444988
146,단점,1,2.444988
147,저는,1,2.444988
148,꿀잼,1,2.444988
149,입니다,1,2.444988
150,1이,1,2.444988
151,명작,1,2.444988
152,몬스터,1,2.444988
153,헌터의,1,2.444988
154,도망치는것을,1,2.444988
155,필드에서,1,2.444988
156,따라가세요,1,2.444988
157,비료옥,1,2.444988
158,섬광탄,1,2.444988
159,닼소와,1,2.444988
160,몬헌을,1,2.444988
161,섞은,1,2.444988
162,필드와,1,2.444988
163,전투,1,2.444988
164,세이브,1,2.444988
165,등은,1,2.444988
166,닼소를,1,2.444988
167,따라가고,1,2.444988
168,멀티와,1,2.444988
169,추적사냥,1,2.444988
170,재료파밍,1,2.444988
171,시스템은,1,2.444988
172,몬헌에서,1,2.444988
173,가져왔다,1,2.444988
174,나름,1,2.444988
175,재밌을뻔했는데,1,2.444988
176,도망을,1,2.444988
177,친다는,1,2.444988
178,점이고,1,2.444988
179,두세번쯤,1,2.444988
180,추적하면,1,2.444988
181,사냥이,1,2.444988
182,끝나는,1,2.444988
183,몬헌과,1,2.444988
184,달리,1,2.444988
185,여기서는,1,2.444988
186,전체를,1,2.444988
187,헤집으면서,1,2.444988
188,텔레포트하고,1,2.444988
189,잡몹을,1,2.444988
190,소환하며,1,2.444988
191,그렇게,1,2.444988
192,6번정도,1,2.444988
193,추적해야,1,2.444988
194,겨우,1,2.444988
195,보스룸으로,1,2.444988
196,이동한다는,1,2.444988
197,점이,1,2.444988
198,다르다,1,2.444988
199,작년,1,2.444988
200,에픽,1,2.444988
