token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
очень,39,24,8.558262,3.822265,4.735997,1.16289
локации,31,17,6.802721,2.707437,4.095284,1.329184
the,23,6,5.04718,0.955566,4.091614,2.40105
to,21,9,4.608295,1.433349,3.174946,1.684843
it,13,3,2.852754,0.477783,2.374971,2.577928
of,13,5,2.852754,0.796305,2.056449,1.840962
just,10,1,2.194426,0.159261,2.035165,3.784379
всей,11,3,2.413869,0.477783,1.936086,2.33692
босса,14,8,3.072197,1.274088,1.798108,1.269805
in,11,4,2.413869,0.637044,1.776825,1.921882
потому,11,4,2.413869,0.637044,1.776825,1.921882
h1,8,0,1.755541,0.0,1.755541,30.709268
that,8,0,1.755541,0.0,1.755541,30.709268
боссов,17,13,3.730524,2.070393,1.660131,0.849474
часть,21,19,4.608295,3.02596,1.582335,0.60684
чтобы,18,15,3.949967,2.388915,1.561052,0.725485
себе,9,3,1.974984,0.477783,1.4972,2.047413
просто,24,24,5.266623,3.822265,1.444358,0.46245
потом,8,2,1.755541,0.318522,1.437019,2.46245
me,7,1,1.536098,0.159261,1.376837,3.269805
проще,7,1,1.536098,0.159261,1.376837,3.269805
hr,6,0,1.316656,0.0,1.316656,30.294231
them,6,0,1.316656,0.0,1.316656,30.294231
заебался,6,0,1.316656,0.0,1.316656,30.294231
идея,6,0,1.316656,0.0,1.316656,30.294231
локация,6,0,1.316656,0.0,1.316656,30.294231
you,10,6,2.194426,0.955566,1.23886,1.199416
уже,17,16,3.730524,2.548176,1.182348,0.549913
будет,9,5,1.974984,0.796305,1.178678,1.310447
часов,9,5,1.974984,0.796305,1.178678,1.310447
туда,6,1,1.316656,0.159261,1.157395,3.047413
который,11,8,2.413869,1.274088,1.139781,0.921882
for,8,4,1.755541,0.637044,1.118497,1.46245
i've,5,0,1.097213,0.0,1.097213,30.031197
гениальная,5,0,1.097213,0.0,1.097213,30.031197
фармить,5,0,1.097213,0.0,1.097213,30.031197
like,7,3,1.536098,0.477783,1.058315,1.684843
эти,9,6,1.974984,0.955566,1.019417,1.047413
no,6,2,1.316656,0.318522,0.998134,2.047413
визуал,6,2,1.316656,0.318522,0.998134,2.047413
первую,6,2,1.316656,0.318522,0.998134,2.047413
пройти,6,2,1.316656,0.318522,0.998134,2.047413
становится,6,2,1.316656,0.318522,0.998134,2.047413
as,5,1,1.097213,0.159261,0.937952,2.784379
boss,5,1,1.097213,0.159261,0.937952,2.784379
so,5,1,1.097213,0.159261,0.937952,2.784379
босс,5,1,1.097213,0.159261,0.937952,2.784379
вторая,5,1,1.097213,0.159261,0.937952,2.784379
одного,5,1,1.097213,0.159261,0.937952,2.784379
хаб,5,1,1.097213,0.159261,0.937952,2.784379
этого,10,8,2.194426,1.274088,0.920338,0.784379
которая,7,4,1.536098,0.637044,0.899054,1.269805
an,4,0,0.87777,0.0,0.87777,29.709268
are,4,0,0.87777,0.0,0.87777,29.709268
every,4,0,0.87777,0.0,0.87777,29.709268
feels,4,0,0.87777,0.0,0.87777,29.709268
haven't,4,0,0.87777,0.0,0.87777,29.709268
it's,4,0,0.87777,0.0,0.87777,29.709268
my,4,0,0.87777,0.0,0.87777,29.709268
out,4,0,0.87777,0.0,0.87777,29.709268
played,4,0,0.87777,0.0,0.87777,29.709268
strike,4,0,0.87777,0.0,0.87777,29.709268
up,4,0,0.87777,0.0,0.87777,29.709268
with,4,0,0.87777,0.0,0.87777,29.709268
бегаешь,4,0,0.87777,0.0,0.87777,29.709268
дабы,4,0,0.87777,0.0,0.87777,29.709268
локацию,4,0,0.87777,0.0,0.87777,29.709268
назад,4,0,0.87777,0.0,0.87777,29.709268
нашел,4,0,0.87777,0.0,0.87777,29.709268
получилось,4,0,0.87777,0.0,0.87777,29.709268
получить,4,0,0.87777,0.0,0.87777,29.709268
релизе,4,0,0.87777,0.0,0.87777,29.709268
ресурсы,4,0,0.87777,0.0,0.87777,29.709268
and,33,40,7.241606,6.370441,0.871165,0.184916
первая,9,7,1.974984,1.114827,0.860156,0.825021
but,6,3,1.316656,0.477783,0.838873,1.46245
куда,8,6,1.755541,0.955566,0.799975,0.877488
может,8,6,1.755541,0.955566,0.799975,0.877488
get,5,2,1.097213,0.318522,0.778691,1.784379
on,5,2,1.097213,0.318522,0.778691,1.784379
будто,5,2,1.097213,0.318522,0.778691,1.784379
будут,5,2,1.097213,0.318522,0.778691,1.784379
геймплей,5,2,1.097213,0.318522,0.778691,1.784379
настолько,5,2,1.097213,0.318522,0.778691,1.784379
поэтому,5,2,1.097213,0.318522,0.778691,1.784379
карты,7,5,1.536098,0.796305,0.739793,0.947877
слишком,7,5,1.536098,0.796305,0.739793,0.947877
one,4,1,0.87777,0.159261,0.718509,2.46245
арене,4,1,0.87777,0.159261,0.718509,2.46245
буду,4,1,0.87777,0.159261,0.718509,2.46245
враги,4,1,0.87777,0.159261,0.718509,2.46245
двери,4,1,0.87777,0.159261,0.718509,2.46245
игрой,4,1,0.87777,0.159261,0.718509,2.46245
которого,4,1,0.87777,0.159261,0.718509,2.46245
минут,4,1,0.87777,0.159261,0.718509,2.46245
никогда,4,1,0.87777,0.159261,0.718509,2.46245
нового,4,1,0.87777,0.159261,0.718509,2.46245
опять,4,1,0.87777,0.159261,0.718509,2.46245
охоты,4,1,0.87777,0.159261,0.718509,2.46245
платформинг,4,1,0.87777,0.159261,0.718509,2.46245
решил,4,1,0.87777,0.159261,0.718509,2.46245
спустя,4,1,0.87777,0.159261,0.718509,2.46245
бегать,9,8,1.974984,1.274088,0.700895,0.632375
боссы,9,8,1.974984,1.274088,0.700895,0.632375
сравнению,9,8,1.974984,1.274088,0.700895,0.632375
друг,6,4,1.316656,0.637044,0.679612,1.047413
absolutely,3,0,0.658328,0.0,0.658328,29.294231
already,3,0,0.658328,0.0,0.658328,29.294231
