token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
есть,44,15,7.007485,3.291639,3.715846,1.090091
всё,35,9,5.574136,1.974984,3.599152,1.496908
части,45,17,7.166746,3.730524,3.436222,0.94194
почти,18,1,2.866699,0.219443,2.647256,3.707475
вообще,26,7,4.140787,1.536098,2.604688,1.430634
первой,50,25,7.963051,5.486065,2.476986,0.53755
игре,38,18,6.051919,3.949967,2.101952,0.615552
можно,42,21,6.688963,4.608295,2.080668,0.53755
тут,30,13,4.777831,2.852754,1.925077,0.744
ещё,27,11,4.300048,2.413869,1.886179,0.833005
стало,13,1,2.070393,0.219443,1.850951,3.237989
больше,21,7,3.344482,1.536098,1.808383,1.122512
spoiler,16,4,2.548176,0.87777,1.670406,1.53755
для,35,18,5.574136,3.949967,1.624169,0.496908
бьют,10,0,1.59261,0.0,1.59261,30.568746
коопе,10,0,1.59261,0.0,1.59261,30.568746
их,22,9,3.503743,1.974984,1.528759,0.827056
могу,12,2,1.911132,0.438885,1.472247,2.122512
более,17,6,2.707437,1.316656,1.390782,1.04005
неё,10,1,1.59261,0.219443,1.373168,2.859478
её,14,4,2.229654,0.87777,1.351884,1.344904
sanctuary,22,10,3.503743,2.194426,1.309316,0.675053
salt,30,16,4.777831,3.511082,1.266749,0.44444
стоит,12,3,1.911132,0.658328,1.252804,1.53755
возможно,9,1,1.433349,0.219443,1.213907,2.707475
достаточно,9,1,1.433349,0.219443,1.213907,2.707475
этой,13,4,2.070393,0.87777,1.192623,1.237989
говорить,7,0,1.114827,0.0,1.114827,30.054173
первый,7,0,1.114827,0.0,1.114827,30.054173
сказать,11,3,1.751871,0.658328,1.093543,1.412019
соль,11,3,1.751871,0.658328,1.093543,1.412019
другой,8,1,1.274088,0.219443,1.054646,2.53755
оружие,16,7,2.548176,1.536098,1.012078,0.730195
souls,9,2,1.433349,0.438885,0.994464,1.707475
gang,6,0,0.955566,0.0,0.955566,29.831781
money,6,0,0.955566,0.0,0.955566,29.831781
shadow,6,0,0.955566,0.0,0.955566,29.831781
wizard,6,0,0.955566,0.0,0.955566,29.831781
атак,6,0,0.955566,0.0,0.955566,29.831781
бою,6,0,0.955566,0.0,0.955566,29.831781
способности,6,0,0.955566,0.0,0.955566,29.831781
стороны,6,0,0.955566,0.0,0.955566,29.831781
уровень,6,0,0.955566,0.0,0.955566,29.831781
они,28,16,4.459309,3.511082,0.948227,0.344904
кто,10,3,1.59261,0.658328,0.934282,1.274515
онлайн,7,1,1.114827,0.219443,0.895385,2.344904
плюс,7,1,1.114827,0.219443,0.895385,2.344904
про,7,1,1.114827,0.219443,0.895385,2.344904
чтоб,7,1,1.114827,0.219443,0.895385,2.344904
сделать,11,4,1.751871,0.87777,0.874101,0.996981
игру,26,15,4.140787,3.291639,0.849148,0.331099
понравилась,8,2,1.274088,0.438885,0.835203,1.53755
became,5,0,0.796305,0.0,0.796305,29.568746
взамен,5,0,0.796305,0.0,0.796305,29.568746
долго,5,0,0.796305,0.0,0.796305,29.568746
заклинания,5,0,0.796305,0.0,0.796305,29.568746
интереснее,5,0,0.796305,0.0,0.796305,29.568746
кооп,5,0,0.796305,0.0,0.796305,29.568746
мере,5,0,0.796305,0.0,0.796305,29.568746
местами,5,0,0.796305,0.0,0.796305,29.568746
меч,5,0,0.796305,0.0,0.796305,29.568746
многие,5,0,0.796305,0.0,0.796305,29.568746
нету,5,0,0.796305,0.0,0.796305,29.568746
норм,5,0,0.796305,0.0,0.796305,29.568746
посох,5,0,0.796305,0.0,0.796305,29.568746
смысла,5,0,0.796305,0.0,0.796305,29.568746
тд,5,0,0.796305,0.0,0.796305,29.568746
чём,5,0,0.796305,0.0,0.796305,29.568746
которое,9,3,1.433349,0.658328,0.775021,1.122512
соли,9,3,1.433349,0.658328,0.775021,1.122512
лучше,20,11,3.185221,2.413869,0.771352,0.400046
из-за,13,6,2.070393,1.316656,0.753738,0.653027
dark,6,1,0.955566,0.219443,0.736124,2.122512
особо,6,1,0.955566,0.219443,0.736124,2.122512
принципе,6,1,0.955566,0.219443,0.736124,2.122512
также,6,1,0.955566,0.219443,0.736124,2.122512
вам,10,4,1.59261,0.87777,0.71484,0.859478
интересно,10,4,1.59261,0.87777,0.71484,0.859478
либо,10,4,1.59261,0.87777,0.71484,0.859478
одной,7,2,1.114827,0.438885,0.675942,1.344904
самый,7,2,1.114827,0.438885,0.675942,1.344904
надо,11,5,1.751871,1.097213,0.654658,0.675053
блок,4,0,0.637044,0.0,0.637044,29.246818
бьет,4,0,0.637044,0.0,0.637044,29.246818
деле,4,0,0.637044,0.0,0.637044,29.246818
добавили,4,0,0.637044,0.0,0.637044,29.246818
игроков,4,0,0.637044,0.0,0.637044,29.246818
интересный,4,0,0.637044,0.0,0.637044,29.246818
которой,4,0,0.637044,0.0,0.637044,29.246818
магия,4,0,0.637044,0.0,0.637044,29.246818
минус,4,0,0.637044,0.0,0.637044,29.246818
нпс,4,0,0.637044,0.0,0.637044,29.246818
остальные,4,0,0.637044,0.0,0.637044,29.246818
пвп,4,0,0.637044,0.0,0.637044,29.246818
полностью,4,0,0.637044,0.0,0.637044,29.246818
понятно,4,0,0.637044,0.0,0.637044,29.246818
самом,4,0,0.637044,0.0,0.637044,29.246818
свои,4,0,0.637044,0.0,0.637044,29.246818
сосульки,4,0,0.637044,0.0,0.637044,29.246818
урон,4,0,0.637044,0.0,0.637044,29.246818
фракции,4,0,0.637044,0.0,0.637044,29.246818
щит,4,0,0.637044,0.0,0.637044,29.246818
экипировки,4,0,0.637044,0.0,0.637044,29.246818
ярость,4,0,0.637044,0.0,0.637044,29.246818
брони,8,3,1.274088,0.658328,0.61576,0.952587
система,8,3,1.274088,0.658328,0.61576,0.952587
каждого,5,1,0.796305,0.219443,0.576863,1.859478
купить,5,1,0.796305,0.219443,0.576863,1.859478
между,5,1,0.796305,0.219443,0.576863,1.859478
меньше,5,1,0.796305,0.219443,0.576863,1.859478
своих,5,1,0.796305,0.219443,0.576863,1.859478
сделано,5,1,0.796305,0.219443,0.576863,1.859478
совсем,5,1,0.796305,0.219443,0.576863,1.859478
спокойно,5,1,0.796305,0.219443,0.576863,1.859478
сути,5,1,0.796305,0.219443,0.576863,1.859478
хоть,5,1,0.796305,0.219443,0.576863,1.859478
хотя,5,1,0.796305,0.219443,0.576863,1.859478
целом,16,9,2.548176,1.974984,0.573193,0.367625
нельзя,9,4,1.433349,0.87777,0.555579,0.707475
стал,9,4,1.433349,0.87777,0.555579,0.707475
каждый,6,2,0.955566,0.438885,0.516681,1.122512
конечно,6,2,0.955566,0.438885,0.516681,1.122512
некоторые,6,2,0.955566,0.438885,0.516681,1.122512
особенно,6,2,0.955566,0.438885,0.516681,1.122512
проблем,6,2,0.955566,0.438885,0.516681,1.122512
прокачки,6,2,0.955566,0.438885,0.516681,1.122512
что-то,6,2,0.955566,0.438885,0.516681,1.122512
здесь,10,5,1.59261,1.097213,0.495397,0.53755
hits,3,0,0.477783,0.0,0.477783,28.831781
mini-bosses,3,0,0.477783,0.0,0.477783,28.831781
ng,3,0,0.477783,0.0,0.477783,28.831781
parrying,3,0,0.477783,0.0,0.477783,28.831781
аж,3,0,0.477783,0.0,0.477783,28.831781
билда,3,0,0.477783,0.0,0.477783,28.831781
враг,3,0,0.477783,0.0,0.477783,28.831781
врага,3,0,0.477783,0.0,0.477783,28.831781
временем,3,0,0.477783,0.0,0.477783,28.831781
вторгаться,3,0,0.477783,0.0,0.477783,28.831781
выбора,3,0,0.477783,0.0,0.477783,28.831781
дается,3,0,0.477783,0.0,0.477783,28.831781
двух,3,0,0.477783,0.0,0.477783,28.831781
дизайна,3,0,0.477783,0.0,0.477783,28.831781
жетоны,3,0,0.477783,0.0,0.477783,28.831781
заметно,3,0,0.477783,0.0,0.477783,28.831781
затягивает,3,0,0.477783,0.0,0.477783,28.831781
играет,3,0,0.477783,0.0,0.477783,28.831781
имба,3,0,0.477783,0.0,0.477783,28.831781
имеется,3,0,0.477783,0.0,0.477783,28.831781
использовал,3,0,0.477783,0.0,0.477783,28.831781
касательно,3,0,0.477783,0.0,0.477783,28.831781
концовки,3,0,0.477783,0.0,0.477783,28.831781
крайней,3,0,0.477783,0.0,0.477783,28.831781
лайк,3,0,0.477783,0.0,0.477783,28.831781
мог,3,0,0.477783,0.0,0.477783,28.831781
набор,3,0,0.477783,0.0,0.477783,28.831781
наверное,3,0,0.477783,0.0,0.477783,28.831781
наоборот,3,0,0.477783,0.0,0.477783,28.831781
начале,3,0,0.477783,0.0,0.477783,28.831781
новую,3,0,0.477783,0.0,0.477783,28.831781
оказались,3,0,0.477783,0.0,0.477783,28.831781
оружий,3,0,0.477783,0.0,0.477783,28.831781
основном,3,0,0.477783,0.0,0.477783,28.831781
ощущениям,3,0,0.477783,0.0,0.477783,28.831781
