rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,16,3.548459
2,and sanctuary,10,2.217787
3,очень сильно,10,2.217787
4,первой частью,8,1.774229
5,первой части,8,1.774229
6,сравнению первой,8,1.774229
7,первая часть,5,1.108893
8,первую часть,5,1.108893
9,при этом,5,1.108893
10,this game,5,1.108893
11,and sacrifice,4,0.887115
12,гениальная идея,4,0.887115
13,визуал стал,3,0.665336
14,локации стали,3,0.665336
15,monster hunter,3,0.665336
16,всю игру,3,0.665336
17,чем дальше,3,0.665336
18,дальше тем,3,0.665336
19,мало того,3,0.665336
20,очень много,3,0.665336
21,всей локации,3,0.665336
22,вторую часть,3,0.665336
23,для крафта,3,0.665336
24,для того,3,0.665336
25,друг друга,3,0.665336
26,the game,3,0.665336
27,заебался бегать,3,0.665336
28,этого мага,3,0.665336
29,hr hr,3,0.665336
30,нужно бегать,2,0.443557
31,чтобы потом,2,0.443557
32,ska studios,2,0.443557
33,слишком сильно,2,0.443557
34,прошлой части,2,0.443557
35,игру бегаешь,2,0.443557
36,поиграл часов,2,0.443557
37,отрыве первой,2,0.443557
38,часть настолько,2,0.443557
39,тем душнее,2,0.443557
40,моей памяти,2,0.443557
41,всей карте,2,0.443557
42,должна была,2,0.443557
43,плохом смысле,2,0.443557
44,первой игрой,2,0.443557
45,смертей были,2,0.443557
46,проблема этой,2,0.443557
47,первые часов,2,0.443557
48,оружия хватает,2,0.443557
49,это при,2,0.443557
50,можно носить,2,0.443557
51,магов просто,2,0.443557
52,тут просто,2,0.443557
53,2й части,2,0.443557
54,это просто,2,0.443557
55,1й части,2,0.443557
56,продолжение salt,2,0.443557
57,представляет собой,2,0.443557
58,конечно можно,2,0.443557
59,лучше перепройти,2,0.443557
60,которые просто,2,0.443557
61,можно получить,2,0.443557
62,there's no,2,0.443557
63,them is,2,0.443557
64,getting beaten,2,0.443557
65,it just,2,0.443557
66,перепройти первую,2,0.443557
67,похожи друг,2,0.443557
68,шагов назад,2,0.443557
69,одним тем,2,0.443557
70,перед тем,2,0.443557
71,первое прохождение,2,0.443557
72,бегать всей,2,0.443557
73,всей локе,2,0.443557
74,вторая часть,2,0.443557
75,магов это,2,0.443557
76,это какой-то,2,0.443557
77,это будет,2,0.443557
78,после убийства,2,0.443557
79,таких магов,2,0.443557
80,это превращает,2,0.443557
81,из-за чего,2,0.443557
82,слишком простой,2,0.443557
83,для прокачки,2,0.443557
84,после этого,2,0.443557
85,протяжении всей,2,0.443557
86,проще некуда,2,0.443557
87,этом плане,2,0.443557
88,главная проблема,2,0.443557
89,это интересно,2,0.443557
90,to see,2,0.443557
91,game is,2,0.443557
92,but it,2,0.443557
93,in this,2,0.443557
94,локациям заебался,2,0.443557
95,вместо этого,2,0.443557
96,разы лучше,2,0.443557
97,лучше это,2,0.443557
98,другом телепорт,2,0.443557
99,без карты,2,0.443557
100,дальше проще,2,0.443557
