rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,salt and,46,4.29786
2,первой части,45,4.204429
3,and sanctuary,28,2.616089
4,первой частью,15,1.401476
5,очень сильно,15,1.401476
6,сравнению первой,14,1.308044
7,and sacrifice,14,1.308044
8,первая часть,11,1.027749
9,при этом,9,0.840886
10,monster hunter,7,0.654022
11,первую часть,7,0.654022
12,ska studios,6,0.56059
13,всю игру,6,0.56059
14,this game,6,0.56059
15,это уже,6,0.56059
16,этой игре,6,0.56059
17,shadow wizard,6,0.56059
18,wizard money,6,0.56059
19,money gang,6,0.56059
20,игре есть,5,0.467159
21,друг друга,5,0.467159
22,это вообще,5,0.467159
23,из-за чего,5,0.467159
24,можно сказать,5,0.467159
25,dark souls,5,0.467159
26,gang shadow,5,0.467159
27,визуал стал,4,0.373727
28,была проблема,4,0.373727
29,больше чем,4,0.373727
30,стало больше,4,0.373727
31,после победы,4,0.373727
32,лучше первой,4,0.373727
33,мало того,4,0.373727
34,очень много,4,0.373727
35,для крафта,4,0.373727
36,всё равно,4,0.373727
37,to be,4,0.373727
38,после убийства,4,0.373727
39,to play,4,0.373727
40,одной стороны,4,0.373727
41,разы лучше,4,0.373727
42,гениальная идея,4,0.373727
43,локации стали,3,0.280295
44,прошлой части,3,0.280295
45,всей локе,3,0.280295
46,this is,3,0.280295
47,оружия брони,3,0.280295
48,брони оружия,3,0.280295
49,часть настолько,3,0.280295
50,чем дальше,3,0.280295
51,дальше тем,3,0.280295
52,всей карте,3,0.280295
53,крайней мере,3,0.280295
54,которые просто,3,0.280295
55,чём была,3,0.280295
56,большую часть,3,0.280295
57,это всё,3,0.280295
58,эту игру,3,0.280295
59,всей локации,3,0.280295
60,вторую часть,3,0.280295
61,это просто,3,0.280295
62,для любителей,3,0.280295
63,souls like,3,0.280295
64,охота магов,3,0.280295
65,части очень,3,0.280295
66,могу сказать,3,0.280295
67,вторая часть,3,0.280295
68,самом деле,3,0.280295
69,крафт оружия,3,0.280295
70,для того,3,0.280295
71,need to,3,0.280295
72,ещё раз,3,0.280295
73,очень понравилась,3,0.280295
74,тем кто,3,0.280295
75,где можно,3,0.280295
76,the game,3,0.280295
77,того чтобы,3,0.280295
78,серии dark,3,0.280295
79,всё ещё,3,0.280295
80,более чем,3,0.280295
81,этот раз,3,0.280295
82,заебался бегать,3,0.280295
83,этого мага,3,0.280295
84,куда лучше,3,0.280295
85,это salt,3,0.280295
86,hr hr,3,0.280295
87,которыми нужно,2,0.186863
88,нужно бегать,2,0.186863
89,чтобы потом,2,0.186863
90,слишком сильно,2,0.186863
91,слишком много,2,0.186863
92,игру бегаешь,2,0.186863
93,нравится бегать,2,0.186863
94,бегать боссами,2,0.186863
95,поиграл часов,2,0.186863
96,раз проходить,2,0.186863
97,отрыве первой,2,0.186863
98,поиграть можно,2,0.186863
99,есть плюсы,2,0.186863
100,чтобы игрок,2,0.186863
