rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,первой части,37,5.973523
2,salt and,30,4.843397
3,and sanctuary,18,2.906038
4,and sacrifice,10,1.614466
5,первой частью,7,1.130126
6,первая часть,6,0.968679
7,сравнению первой,6,0.968679
8,этой игре,6,0.968679
9,shadow wizard,6,0.968679
10,wizard money,6,0.968679
11,money gang,6,0.968679
12,очень сильно,5,0.807233
13,это уже,5,0.807233
14,dark souls,5,0.807233
15,gang shadow,5,0.807233
16,игре есть,4,0.645786
17,была проблема,4,0.645786
18,стало больше,4,0.645786
19,это вообще,4,0.645786
20,лучше первой,4,0.645786
21,всё равно,4,0.645786
22,monster hunter,4,0.645786
23,одной стороны,4,0.645786
24,ska studios,4,0.645786
25,при этом,4,0.645786
26,this is,3,0.48434
27,крайней мере,3,0.48434
28,больше чем,3,0.48434
29,из-за чего,3,0.48434
30,чём была,3,0.48434
31,это всё,3,0.48434
32,самом деле,3,0.48434
33,можно сказать,3,0.48434
34,тем кто,3,0.48434
35,to play,3,0.48434
36,всю игру,3,0.48434
37,серии dark,3,0.48434
38,to be,3,0.48434
39,всё ещё,3,0.48434
40,более чем,3,0.48434
41,этот раз,3,0.48434
42,нравится бегать,2,0.322893
43,оружия брони,2,0.322893
44,чтобы игрок,2,0.322893
45,бегать локациям,2,0.322893
46,финальным боссом,2,0.322893
47,именного мага,2,0.322893
48,брони оружия,2,0.322893
49,есть небольшой,2,0.322893
50,ближе концу,2,0.322893
51,самый топовый,2,0.322893
52,топовый это,2,0.322893
53,это ледяной,2,0.322893
54,дается почти,2,0.322893
55,спелл бьет,2,0.322893
56,второй скилл,2,0.322893
57,много раз,2,0.322893
58,другой стороны,2,0.322893
59,через стену,2,0.322893
60,этот посох,2,0.322893
61,сосульки бьют,2,0.322893
62,почти начале,2,0.322893
63,такая ситуация,2,0.322893
64,последней локации,2,0.322893
65,тех кого,2,0.322893
66,прошёл игру,2,0.322893
67,каждый маг,2,0.322893
68,нечего говорить,2,0.322893
69,отличии первой,2,0.322893
70,друг друга,2,0.322893
71,стал более,2,0.322893
72,больше эффектов,2,0.322893
73,других игроков,2,0.322893
74,любым оружием,2,0.322893
75,можешь спокойно,2,0.322893
76,ещё найти,2,0.322893
77,нпс хабе,2,0.322893
78,проблема сделать,2,0.322893
79,после победы,2,0.322893
80,система магии,2,0.322893
81,полной мере,2,0.322893
82,большую часть,2,0.322893
83,это сделано,2,0.322893
84,есть ещё,2,0.322893
85,эту игру,2,0.322893
86,куда больше,2,0.322893
87,отдельную игру,2,0.322893
88,интересно исследовать,2,0.322893
89,об этом,2,0.322893
90,souls like,2,0.322893
91,охота магов,2,0.322893
92,части очень,2,0.322893
93,могу сказать,2,0.322893
94,всё больше,2,0.322893
95,крафт оружия,2,0.322893
96,боссов первой,2,0.322893
97,прошлой частью,2,0.322893
98,чисто для,2,0.322893
99,бою игре,2,0.322893
100,можно играть,2,0.322893
