rank,token,frequency,relative_frequency_per_1000_tokens
1,это,47,10.313803
2,очень,39,8.558262
3,and,33,7.241606
4,локации,31,6.802721
5,первой,25,5.486065
6,просто,24,5.266623
7,the,23,5.04718
8,часть,21,4.608295
9,можно,21,4.608295
10,to,21,4.608295
11,игре,18,3.949967
12,чтобы,18,3.949967
13,для,18,3.949967
14,боссов,17,3.730524
15,части,17,3.730524
16,уже,17,3.730524
17,они,16,3.511082
18,salt,16,3.511082
19,магов,16,3.511082
20,игру,15,3.291639
21,есть,15,3.291639
22,после,15,3.291639
23,босса,14,3.072197
24,тут,13,2.852754
25,которые,13,2.852754
26,it,13,2.852754
27,of,13,2.852754
28,того,12,2.633311
29,сильно,12,2.633311
30,раз,12,2.633311
31,частью,11,2.413869
32,лучше,11,2.413869
33,тем,11,2.413869
34,ещё,11,2.413869
35,всей,11,2.413869
36,при,11,2.413869
37,который,11,2.413869
38,потому,11,2.413869
39,оружия,11,2.413869
40,in,11,2.413869
41,чем,10,2.194426
42,sanctuary,10,2.194426
43,you,10,2.194426
44,just,10,2.194426
45,этого,10,2.194426
46,боссы,9,1.974984
47,бегать,9,1.974984
48,всё,9,1.974984
49,себе,9,1.974984
50,много,9,1.974984
51,будет,9,1.974984
52,первая,9,1.974984
53,часов,9,1.974984
54,их,9,1.974984
55,целом,9,1.974984
56,сравнению,9,1.974984
57,них,9,1.974984
58,эти,9,1.974984
59,мага,9,1.974984
60,потом,8,1.755541
61,была,8,1.755541
62,где,8,1.755541
63,два,8,1.755541
64,этом,8,1.755541
65,играть,8,1.755541
66,куда,8,1.755541
67,that,8,1.755541
68,for,8,1.755541
69,может,8,1.755541
70,h1,8,1.755541
71,this,8,1.755541
72,game,8,1.755541
73,несколько,8,1.755541
74,слишком,7,1.536098
75,под,7,1.536098
76,дальше,7,1.536098
77,которая,7,1.536098
78,тебя,7,1.536098
79,тебе,7,1.536098
80,тоже,7,1.536098
81,больше,7,1.536098
82,вообще,7,1.536098
83,оружие,7,1.536098
84,like,7,1.536098
85,там,7,1.536098
86,проще,7,1.536098
87,карты,7,1.536098
88,me,7,1.536098
89,визуал,6,1.316656
90,магами,6,1.316656
91,этот,6,1.316656
92,вроде,6,1.316656
93,первую,6,1.316656
94,более,6,1.316656
95,время,6,1.316656
96,локация,6,1.316656
97,лишь,6,1.316656
98,из-за,6,1.316656
99,sacrifice,6,1.316656
100,пройти,6,1.316656
101,маги,6,1.316656
102,друг,6,1.316656
103,становится,6,1.316656
104,no,6,1.316656
105,but,6,1.316656
106,them,6,1.316656
107,is,6,1.316656
108,туда,6,1.316656
109,заебался,6,1.316656
110,идея,6,1.316656
111,hr,6,1.316656
112,нужно,5,1.097213
113,этих,5,1.097213
114,всю,5,1.097213
115,эта,5,1.097213
116,настолько,5,1.097213
117,один,5,1.097213
118,убить,5,1.097213
119,будто,5,1.097213
120,баланс,5,1.097213
121,плохо,5,1.097213
122,фармить,5,1.097213
123,всего,5,1.097213
124,будут,5,1.097213
125,были,5,1.097213
126,гениальная,5,1.097213
127,вторая,5,1.097213
128,одного,5,1.097213
129,всех,5,1.097213
130,такое,5,1.097213
131,хочется,5,1.097213
132,геймплей,5,1.097213
133,ничего,5,1.097213
134,надо,5,1.097213
135,пока,5,1.097213
136,as,5,1.097213
137,on,5,1.097213
138,boss,5,1.097213
139,второй,5,1.097213
140,здесь,5,1.097213
141,ними,5,1.097213
142,босс,5,1.097213
143,поэтому,5,1.097213
144,so,5,1.097213
145,хаб,5,1.097213
146,i've,5,1.097213
147,get,5,1.097213
148,абсолютно,5,1.097213
149,оно,4,0.87777
150,минут,4,0.87777
151,сделать,4,0.87777
152,получилось,4,0.87777
153,этой,4,0.87777
154,стал,4,0.87777
155,хуже,4,0.87777
156,стали,4,0.87777
157,какой-то,4,0.87777
158,hunter,4,0.87777
159,бегаешь,4,0.87777
160,тех,4,0.87777
161,двери,4,0.87777
162,убивать,4,0.87777
163,иногда,4,0.87777
164,карте,4,0.87777
165,никак,4,0.87777
166,её,4,0.87777
167,перед,4,0.87777
168,друга,4,0.87777
169,игрой,4,0.87777
170,враги,4,0.87777
171,охоты,4,0.87777
172,мало,4,0.87777
173,локацию,4,0.87777
174,ради,4,0.87777
175,которых,4,0.87777
176,арене,4,0.87777
177,сразу,4,0.87777
178,через,4,0.87777
179,проблема,4,0.87777
180,опять,4,0.87777
181,хп,4,0.87777
182,хватает,4,0.87777
183,урона,4,0.87777
184,вам,4,0.87777
185,без,4,0.87777
186,решил,4,0.87777
187,другом,4,0.87777
188,никогда,4,0.87777
189,чего,4,0.87777
190,такой,4,0.87777
191,либо,4,0.87777
192,ведь,4,0.87777
193,платформинг,4,0.87777
194,конце,4,0.87777
195,нашел,4,0.87777
196,нового,4,0.87777
197,атаки,4,0.87777
198,разработчики,4,0.87777
199,сделали,4,0.87777
200,получить,4,0.87777
