rank,token,frequency,relative_frequency_per_1000_tokens
1,это,113,10.428202
2,первой,75,6.921373
3,and,73,6.736803
4,можно,63,5.813953
5,очень,63,5.813953
6,части,62,5.721669
7,есть,59,5.444814
8,игре,56,5.167959
9,для,53,4.891104
10,локации,48,4.429679
11,просто,48,4.429679
12,salt,46,4.245109
13,всё,44,4.060539
14,они,44,4.060539
15,тут,43,3.968254
16,игру,41,3.783684
17,часть,40,3.691399
18,ещё,38,3.506829
19,после,37,3.414544
20,магов,37,3.414544
21,чтобы,33,3.045404
22,уже,33,3.045404
23,вообще,33,3.045404
24,sanctuary,32,2.953119
25,которые,32,2.953119
26,лучше,31,2.860834
27,их,31,2.860834
28,боссов,30,2.768549
29,раз,30,2.768549
30,to,30,2.768549
31,the,29,2.676264
32,при,29,2.676264
33,больше,28,2.583979
34,оружия,27,2.491694
35,сильно,26,2.399409
36,того,25,2.307124
37,чем,25,2.307124
38,целом,25,2.307124
39,мага,24,2.214839
40,частью,23,2.122554
41,много,23,2.122554
42,более,23,2.122554
43,оружие,23,2.122554
44,тем,23,2.122554
45,играть,22,2.030269
46,босса,22,2.030269
47,где,21,1.937984
48,них,21,1.937984
49,была,20,1.8457
50,spoiler,20,1.8457
51,из-за,19,1.753415
52,который,19,1.753415
53,почти,19,1.753415
54,этого,18,1.66113
55,её,18,1.66113
56,of,18,1.66113
57,этой,17,1.568845
58,боссы,17,1.568845
59,бегать,17,1.568845
60,this,17,1.568845
61,тебе,17,1.568845
62,тоже,17,1.568845
63,сравнению,17,1.568845
64,первая,16,1.47656
65,you,16,1.47656
66,it,16,1.47656
67,несколько,16,1.47656
68,надо,16,1.47656
69,sacrifice,16,1.47656
70,стоит,15,1.384275
71,сделать,15,1.384275
72,под,15,1.384275
73,здесь,15,1.384275
74,game,15,1.384275
75,эти,15,1.384275
76,маги,15,1.384275
77,два,15,1.384275
78,этом,15,1.384275
79,потому,15,1.384275
80,in,15,1.384275
81,этот,14,1.29199
82,будет,14,1.29199
83,тебя,14,1.29199
84,всей,14,1.29199
85,часов,14,1.29199
86,либо,14,1.29199
87,могу,14,1.29199
88,соль,14,1.29199
89,может,14,1.29199
90,стало,14,1.29199
91,интересно,14,1.29199
92,куда,14,1.29199
93,вам,14,1.29199
94,сказать,14,1.29199
95,стал,13,1.199705
96,один,13,1.199705
97,эта,13,1.199705
98,нельзя,13,1.199705
99,дальше,13,1.199705
100,баланс,13,1.199705
101,там,13,1.199705
102,всего,13,1.199705
103,кто,13,1.199705
104,нужно,12,1.10742
105,себе,12,1.10742
106,слишком,12,1.10742
107,магами,12,1.10742
108,тех,12,1.10742
109,for,12,1.10742
110,соли,12,1.10742
111,которое,12,1.10742
112,без,12,1.10742
113,урона,12,1.10742
114,карты,12,1.10742
115,хуже,11,1.015135
116,вроде,11,1.015135
117,is,11,1.015135
118,брони,11,1.015135
119,неё,11,1.015135
120,которая,11,1.015135
121,время,11,1.015135
122,через,11,1.015135
123,лишь,11,1.015135
124,были,11,1.015135
125,всех,11,1.015135
126,такой,11,1.015135
127,система,11,1.015135
128,souls,11,1.015135
129,just,11,1.015135
130,потом,10,0.92285
131,like,10,0.92285
132,второй,10,0.92285
133,убивать,10,0.92285
134,коопе,10,0.92285
135,возможно,10,0.92285
136,бьют,10,0.92285
137,пока,10,0.92285
138,абсолютно,10,0.92285
139,друг,10,0.92285
140,достаточно,10,0.92285
141,чего,10,0.92285
142,понравилась,10,0.92285
143,мир,10,0.92285
144,ничего,10,0.92285
145,оно,9,0.830565
146,этих,9,0.830565
147,самый,9,0.830565
148,нравится,9,0.830565
149,продолжение,9,0.830565
150,мало,9,0.830565
151,ведь,9,0.830565
152,одной,9,0.830565
153,раньше,9,0.830565
154,убить,9,0.830565
155,мы,9,0.830565
156,другой,9,0.830565
157,выше,9,0.830565
158,делать,9,0.830565
159,плохо,9,0.830565
160,ради,9,0.830565
161,проблема,9,0.830565
162,маг,9,0.830565
163,друга,9,0.830565
164,эту,9,0.830565
165,but,9,0.830565
166,визуал,8,0.73828
167,какой-то,8,0.73828
168,hunter,8,0.73828
169,всю,8,0.73828
170,дерево,8,0.73828
171,проходить,8,0.73828
172,первую,8,0.73828
173,оружием,8,0.73828
174,ними,8,0.73828
175,особенно,8,0.73828
176,чтоб,8,0.73828
177,крайне,8,0.73828
178,плюс,8,0.73828
179,про,8,0.73828
180,проблем,8,0.73828
181,каждый,8,0.73828
182,некоторые,8,0.73828
183,что-то,8,0.73828
184,такое,8,0.73828
185,механики,8,0.73828
186,конечно,8,0.73828
187,становится,8,0.73828
188,рекомендую,8,0.73828
189,хочется,8,0.73828
190,проще,8,0.73828
191,других,8,0.73828
192,прокачки,8,0.73828
193,онлайн,8,0.73828
194,пройти,8,0.73828
195,довольно,8,0.73828
196,that,8,0.73828
197,no,8,0.73828
198,отсутствие,8,0.73828
199,h1,8,0.73828
200,вместо,8,0.73828
