rank,token,frequency,relative_frequency_per_1000_tokens
1,это,66,10.511228
2,первой,50,7.963051
3,части,45,7.166746
4,есть,44,7.007485
5,можно,42,6.688963
6,and,40,6.370441
7,игре,38,6.051919
8,всё,35,5.574136
9,для,35,5.574136
10,salt,30,4.777831
11,тут,30,4.777831
12,они,28,4.459309
13,ещё,27,4.300048
14,вообще,26,4.140787
15,игру,26,4.140787
16,просто,24,3.822265
17,очень,24,3.822265
18,после,22,3.503743
19,sanctuary,22,3.503743
20,их,22,3.503743
21,магов,21,3.344482
22,больше,21,3.344482
23,лучше,20,3.185221
24,часть,19,3.02596
25,которые,19,3.02596
26,при,18,2.866699
27,раз,18,2.866699
28,почти,18,2.866699
29,более,17,2.707437
30,локации,17,2.707437
31,оружия,16,2.548176
32,уже,16,2.548176
33,оружие,16,2.548176
34,целом,16,2.548176
35,spoiler,16,2.548176
36,чтобы,15,2.388915
37,мага,15,2.388915
38,чем,15,2.388915
39,сильно,14,2.229654
40,играть,14,2.229654
41,много,14,2.229654
42,её,14,2.229654
43,этой,13,2.070393
44,из-за,13,2.070393
45,где,13,2.070393
46,того,13,2.070393
47,боссов,13,2.070393
48,стало,13,2.070393
49,была,12,1.911132
50,частью,12,1.911132
51,тем,12,1.911132
52,них,12,1.911132
53,могу,12,1.911132
54,стоит,12,1.911132
55,надо,11,1.751871
56,сделать,11,1.751871
57,соль,11,1.751871
58,сказать,11,1.751871
59,здесь,10,1.59261
60,тебе,10,1.59261
61,либо,10,1.59261
62,тоже,10,1.59261
63,коопе,10,1.59261
64,неё,10,1.59261
65,бьют,10,1.59261
66,интересно,10,1.59261
67,кто,10,1.59261
68,sacrifice,10,1.59261
69,вам,10,1.59261
70,this,9,1.433349
71,нельзя,9,1.433349
72,стал,9,1.433349
73,возможно,9,1.433349
74,которое,9,1.433349
75,маги,9,1.433349
76,достаточно,9,1.433349
77,souls,9,1.433349
78,соли,9,1.433349
79,to,9,1.433349
80,один,8,1.274088
81,этого,8,1.274088
82,бегать,8,1.274088
83,боссы,8,1.274088
84,брони,8,1.274088
85,несколько,8,1.274088
86,сравнению,8,1.274088
87,который,8,1.274088
88,другой,8,1.274088
89,этот,8,1.274088
90,босса,8,1.274088
91,без,8,1.274088
92,баланс,8,1.274088
93,эта,8,1.274088
94,под,8,1.274088
95,тех,8,1.274088
96,урона,8,1.274088
97,система,8,1.274088
98,всего,8,1.274088
99,понравилась,8,1.274088
100,первая,7,1.114827
101,тебя,7,1.114827
102,game,7,1.114827
103,одной,7,1.114827
104,самый,7,1.114827
105,плюс,7,1.114827
106,через,7,1.114827
107,про,7,1.114827
108,говорить,7,1.114827
109,первый,7,1.114827
110,такой,7,1.114827
111,два,7,1.114827
112,чтоб,7,1.114827
113,нужно,7,1.114827
114,онлайн,7,1.114827
115,мир,7,1.114827
116,этом,7,1.114827
117,хуже,7,1.114827
118,нравится,6,0.955566
119,you,6,0.955566
120,the,6,0.955566
121,продолжение,6,0.955566
122,уровень,6,0.955566
123,способности,6,0.955566
124,дальше,6,0.955566
125,эти,6,0.955566
126,раньше,6,0.955566
127,мы,6,0.955566
128,проблем,6,0.955566
129,стороны,6,0.955566
130,каждый,6,0.955566
131,некоторые,6,0.955566
132,что-то,6,0.955566
133,выше,6,0.955566
134,были,6,0.955566
135,особенно,6,0.955566
136,там,6,0.955566
137,конечно,6,0.955566
138,также,6,0.955566
139,всех,6,0.955566
140,может,6,0.955566
141,убивать,6,0.955566
142,атак,6,0.955566
143,чего,6,0.955566
144,магами,6,0.955566
145,прокачки,6,0.955566
146,эту,6,0.955566
147,куда,6,0.955566
148,принципе,6,0.955566
149,бою,6,0.955566
150,dark,6,0.955566
151,особо,6,0.955566
152,shadow,6,0.955566
153,wizard,6,0.955566
154,money,6,0.955566
155,gang,6,0.955566
156,дерево,5,0.796305
157,хоть,5,0.796305
158,is,5,0.796305
159,равно,5,0.796305
160,кооп,5,0.796305
161,мало,5,0.796305
162,оно,5,0.796305
163,сделано,5,0.796305
164,посох,5,0.796305
165,оружием,5,0.796305
166,ведь,5,0.796305
167,второй,5,0.796305
168,лишь,5,0.796305
169,хотя,5,0.796305
170,постоянно,5,0.796305
171,смысла,5,0.796305
172,сути,5,0.796305
173,пока,5,0.796305
174,этому,5,0.796305
175,многие,5,0.796305
176,заклинания,5,0.796305
177,например,5,0.796305
178,совсем,5,0.796305
179,делать,5,0.796305
180,мере,5,0.796305
181,время,5,0.796305
182,спокойно,5,0.796305
183,ради,5,0.796305
184,механики,5,0.796305
185,интереснее,5,0.796305
186,рекомендую,5,0.796305
187,норм,5,0.796305
188,долго,5,0.796305
189,проблема,5,0.796305
190,маг,5,0.796305
191,абсолютно,5,0.796305
192,друга,5,0.796305
193,тд,5,0.796305
194,взамен,5,0.796305
195,других,5,0.796305
196,крайне,5,0.796305
197,слишком,5,0.796305
198,меньше,5,0.796305
199,нету,5,0.796305
200,купить,5,0.796305
