token,negative_frequency,positive_frequency,negative_relative_per_1000,positive_relative_per_1000,difference_per_1000,log_ratio
spoiler,22,4,6.146968,1.348618,4.798351,2.188394
找法师,13,0,3.6323,0.0,3.6323,31.758236
h2,6,0,1.676446,0.0,1.676446,30.642759
不推荐,5,0,1.397038,0.0,1.397038,30.379724
td,4,0,1.117631,0.0,1.117631,30.057796
不要买,4,0,1.117631,0.0,1.117631,30.057796
垃圾,4,0,1.117631,0.0,1.117631,30.057796
垃圾游戏,4,0,1.117631,0.0,1.117631,30.057796
毫无新意,4,0,1.117631,0.0,1.117631,30.057796
追法师,4,0,1.117631,0.0,1.117631,30.057796
但是,7,3,1.955854,1.011463,0.94439,0.951354
不好玩,3,0,0.838223,0.0,0.838223,29.642759
人物养成,3,0,0.838223,0.0,0.838223,29.642759
什么,3,0,0.838223,0.0,0.838223,29.642759
傻逼游戏,3,0,0.838223,0.0,0.838223,29.642759
取其糟粕,3,0,0.838223,0.0,0.838223,29.642759
开新图,3,0,0.838223,0.0,0.838223,29.642759
狩猎法师,3,0,0.838223,0.0,0.838223,29.642759
盐与避难所,3,0,0.838223,0.0,0.838223,29.642759
优点,4,1,1.117631,0.337154,0.780476,1.728962
真的,4,1,1.117631,0.337154,0.780476,1.728962
首先,5,2,1.397038,0.674309,0.722729,1.05089
一堆解锁的门,2,0,0.558815,0.0,0.558815,29.057796
为了给boss换区服务而严重影响类恶魔城地图设计的水准,2,0,0.558815,0.0,0.558815,29.057796
二周目,2,0,0.558815,0.0,0.558815,29.057796
但是却不显示各职业的属性,2,0,0.558815,0.0,0.558815,29.057796
作为一代的老粉丝不得不说续作完全偏离的我的期待,2,0,0.558815,0.0,0.558815,29.057796
创建角色界面只显示职业名字,2,0,0.558815,0.0,0.558815,29.057796
别买,2,0,0.558815,0.0,0.558815,29.057796
千万别买,2,0,0.558815,0.0,0.558815,29.057796
去其精华,2,0,0.558815,0.0,0.558815,29.057796
又有一定的吸引力,2,0,0.558815,0.0,0.558815,29.057796
双脚站立与地面,2,0,0.558815,0.0,0.558815,29.057796
发射物,2,0,0.558815,0.0,0.558815,29.057796
召唤小怪,2,0,0.558815,0.0,0.558815,29.057796
可以半价再入,2,0,0.558815,0.0,0.558815,29.057796
哈哈,2,0,0.558815,0.0,0.558815,29.057796
因为引入怪猎的,2,0,0.558815,0.0,0.558815,29.057796
