token,positive_frequency,negative_frequency,positive_relative_per_1000,negative_relative_per_1000,difference_per_1000,log_ratio
好玩,8,0,2.697235,0.0,2.697235,31.328834
退出重进,8,0,2.697235,0.0,2.697235,31.328834
h3,12,8,4.045853,2.235261,1.810592,0.856
system,5,0,1.685772,0.0,1.685772,30.650762
windows,5,0,1.685772,0.0,1.685772,30.650762
挺好玩的,5,0,1.685772,0.0,1.685772,30.650762
h1,16,14,5.394471,3.911707,1.482763,0.463683
forms,4,0,1.348618,0.0,1.348618,30.328834
good,4,0,1.348618,0.0,1.348618,30.328834
quote,4,0,1.348618,0.0,1.348618,30.328834
能玩,4,0,1.348618,0.0,1.348618,30.328834
eventargs,3,0,1.011463,0.0,1.011463,29.913797
form,3,0,1.011463,0.0,1.011463,29.913797
还不错,3,0,1.011463,0.0,1.011463,29.913797
th,4,2,1.348618,0.558815,0.789802,1.271038
法师狩猎,3,1,1.011463,0.279408,0.732056,1.856
and,2,0,0.674309,0.0,0.674309,29.328834
framework,2,0,0.674309,0.0,0.674309,29.328834
is,2,0,0.674309,0.0,0.674309,29.328834
make,2,0,0.674309,0.0,0.674309,29.328834
message,2,0,0.674309,0.0,0.674309,29.328834
on,2,0,0.674309,0.0,0.674309,29.328834
ondeactivate,2,0,0.674309,0.0,0.674309,29.328834
plz,2,0,0.674309,0.0,0.674309,29.328834
very,2,0,0.674309,0.0,0.674309,29.328834
伤害还高,2,0,0.674309,0.0,0.674309,29.328834
只狼,2,0,0.674309,0.0,0.674309,29.328834
可以一玩,2,0,0.674309,0.0,0.674309,29.328834
好评,2,0,0.674309,0.0,0.674309,29.328834
当然,2,0,0.674309,0.0,0.674309,29.328834
很难受,2,0,0.674309,0.0,0.674309,29.328834
快速武器,2,0,0.674309,0.0,0.674309,29.328834
我想,2,0,0.674309,0.0,0.674309,29.328834
最后,2,0,0.674309,0.0,0.674309,29.328834
爱玩,2,0,0.674309,0.0,0.674309,29.328834
盐神,2,0,0.674309,0.0,0.674309,29.328834
虽然不如一代,2,0,0.674309,0.0,0.674309,29.328834
记不住,2,0,0.674309,0.0,0.674309,29.328834
还可以,2,0,0.674309,0.0,0.674309,29.328834
还行,2,0,0.674309,0.0,0.674309,29.328834
game,2,1,0.674309,0.279408,0.394901,1.271038
总之,2,1,0.674309,0.279408,0.394901,1.271038
总结,2,1,0.674309,0.279408,0.394901,1.271038
盐和避难所,2,1,0.674309,0.279408,0.394901,1.271038
0之后才开始玩的,1,0,0.337154,0.0,0.337154,28.328834
0后目前最大的问题是玩法和ai问题,1,0,0.337154,0.0,0.337154,28.328834
0更新的圣坛石核心地图梦回盐1,1,0,0.337154,0.0,0.337154,28.328834
0版本和网络上的视频里不太一样,1,0,0.337154,0.0,0.337154,28.328834
0版本的,1,0,0.337154,0.0,0.337154,28.328834
1000h达成,1,0,0.337154,0.0,0.337154,28.328834
10吧,1,0,0.337154,0.0,0.337154,28.328834
10成时间里有5成时间跑图找路,1,0,0.337154,0.0,0.337154,28.328834
10的最终boss给的经验差不多,1,0,0.337154,0.0,0.337154,28.328834
18年底我又拾起它,1,0,0.337154,0.0,0.337154,28.328834
1代boss很多都让人印象深刻,1,0,0.337154,0.0,0.337154,28.328834
1代的口碑不错,1,0,0.337154,0.0,0.337154,28.328834
1周目难度也不高,1,0,0.337154,0.0,0.337154,28.328834
1图点1级大刀,1,0,0.337154,0.0,0.337154,28.328834
1有一种黑暗历史的厚重感,1,0,0.337154,0.0,0.337154,28.328834
2--两个玩家都需在在结局前备份存档,1,0,0.337154,0.0,0.337154,28.328834
2-8,1,0,0.337154,0.0,0.337154,28.328834
2022年盐2出来,1,0,0.337154,0.0,0.337154,28.328834
21年快毕业的时候,1,0,0.337154,0.0,0.337154,28.328834
25-2025,1,0,0.337154,0.0,0.337154,28.328834
2d联机怪猎,1,0,0.337154,0.0,0.337154,28.328834
2d闯关动作游戏真的挺不错的,1,0,0.337154,0.0,0.337154,28.328834
2个结局都sl了一下,1,0,0.337154,0.0,0.337154,28.328834
2代只能说用融合卡融了个四不像出来,1,0,0.337154,0.0,0.337154,28.328834
2代垃圾,1,0,0.337154,0.0,0.337154,28.328834
2代并不是1代那样,1,0,0.337154,0.0,0.337154,28.328834
2代爽杀,1,0,0.337154,0.0,0.337154,28.328834
2代的色彩更加丰富,1,0,0.337154,0.0,0.337154,28.328834
2则有一种宗教亵渎的猎奇感,1,0,0.337154,0.0,0.337154,28.328834
2图血法弩,1,0,0.337154,0.0,0.337154,28.328834
2图风法双巨,1,0,0.337154,0.0,0.337154,28.328834
2成时间法师终于不跑了你给他打死,1,0,0.337154,0.0,0.337154,28.328834
30小时双人全白金,1,0,0.337154,0.0,0.337154,28.328834
3h的评价,1,0,0.337154,0.0,0.337154,28.328834
3图肉法小锤,1,0,0.337154,0.0,0.337154,28.328834
3成时间清法师小怪,1,0,0.337154,0.0,0.337154,28.328834
4分,1,0,0.337154,0.0,0.337154,28.328834
4图龙法大锤,1,0,0.337154,0.0,0.337154,28.328834
4方互殴,1,0,0.337154,0.0,0.337154,28.328834
5分满分给3分吧,1,0,0.337154,0.0,0.337154,28.328834
5图书法剑杖,1,0,0.337154,0.0,0.337154,28.328834
6周目通关了,1,0,0.337154,0.0,0.337154,28.328834
8个小时,1,0,0.337154,0.0,0.337154,28.328834
8左右,1,0,0.337154,0.0,0.337154,28.328834
9以后难度不变了,1,0,0.337154,0.0,0.337154,28.328834
9和,1,0,0.337154,0.0,0.337154,28.328834
ago,1,0,0.337154,0.0,0.337154,28.328834
ai就像我高中时疯狂拍打键盘享受割草的样子,1,0,0.337154,0.0,0.337154,28.328834
ai是离远了就变sb,1,0,0.337154,0.0,0.337154,28.328834
ai的优先级更高,1,0,0.337154,0.0,0.337154,28.328834
any,1,0,0.337154,0.0,0.337154,28.328834
apparent,1,0,0.337154,0.0,0.337154,28.328834
bgm一想起便让我专注了,1,0,0.337154,0.0,0.337154,28.328834
bgm所渲染的氛围使人起鸡皮疙瘩,1,0,0.337154,0.0,0.337154,28.328834
boolean,1,0,0.337154,0.0,0.337154,28.328834
boss不难,1,0,0.337154,0.0,0.337154,28.328834
boss也不是很难,1,0,0.337154,0.0,0.337154,28.328834
boss会跑是哪个天才想出来的主意,1,0,0.337154,0.0,0.337154,28.328834
boss反复脱战也是,1,0,0.337154,0.0,0.337154,28.328834
boss反而很好打,1,0,0.337154,0.0,0.337154,28.328834
boss很癫,1,0,0.337154,0.0,0.337154,28.328834
boss感觉纯凑数的,1,0,0.337154,0.0,0.337154,28.328834
boss战不再像一代那样,1,0,0.337154,0.0,0.337154,28.328834
boss战不行,1,0,0.337154,0.0,0.337154,28.328834
boss战也实在无趣,1,0,0.337154,0.0,0.337154,28.328834
boss战相当无趣,1,0,0.337154,0.0,0.337154,28.328834
boss是需要你追的,1,0,0.337154,0.0,0.337154,28.328834
boss粪,1,0,0.337154,0.0,0.337154,28.328834
boss都很简单,1,0,0.337154,0.0,0.337154,28.328834
boss随手一击能打你半管血,1,0,0.337154,0.0,0.337154,28.328834
both,1,0,0.337154,0.0,0.337154,28.328834
bought,1,0,0.337154,0.0,0.337154,28.328834
byd,1,0,0.337154,0.0,0.337154,28.328834
byd你搁这怪猎换区呢,1,0,0.337154,0.0,0.337154,28.328834
byd成就给我吐出来了,1,0,0.337154,0.0,0.337154,28.328834
byd破游戏还挺好玩的,1,0,0.337154,0.0,0.337154,28.328834
callback,1,0,0.337154,0.0,0.337154,28.328834
can,1,0,0.337154,0.0,0.337154,28.328834
change,1,0,0.337154,0.0,0.337154,28.328834
cnm,1,0,0.337154,0.0,0.337154,28.328834
copies,1,0,0.337154,0.0,0.337154,28.328834
curator,1,0,0.337154,0.0,0.337154,28.328834
daaaaaaaaaaaaaaaamn,1,0,0.337154,0.0,0.337154,28.328834
die,1,0,0.337154,0.0,0.337154,28.328834
dlc竞技场打两只法师的时候,1,0,0.337154,0.0,0.337154,28.328834
dlc部分值得扣一分,1,0,0.337154,0.0,0.337154,28.328834
don't,1,0,0.337154,0.0,0.337154,28.328834
english这一项打开后划到最底下选择chinese-cn,1,0,0.337154,0.0,0.337154,28.328834
enough,1,0,0.337154,0.0,0.337154,28.328834
extraordinary,1,0,0.337154,0.0,0.337154,28.328834
fast,1,0,0.337154,0.0,0.337154,28.328834
for,1,0,0.337154,0.0,0.337154,28.328834
hardworking,1,0,0.337154,0.0,0.337154,28.328834
have,1,0,0.337154,0.0,0.337154,28.328834
it,1,0,0.337154,0.0,0.337154,28.328834
it's,1,0,0.337154,0.0,0.337154,28.328834
knight的存在,1,0,0.337154,0.0,0.337154,28.328834
man,1,0,0.337154,0.0,0.337154,28.328834
microsoft,1,0,0.337154,0.0,0.337154,28.328834
monogame,1,0,0.337154,0.0,0.337154,28.328834
more,1,0,0.337154,0.0,0.337154,28.328834
nativewindow,1,0,0.337154,0.0,0.337154,28.328834
nice,1,0,0.337154,0.0,0.337154,28.328834
nm,1,0,0.337154,0.0,0.337154,28.328834
npc掉坑里了捡不了掉落怎么办,1,0,0.337154,0.0,0.337154,28.328834
ns上已经150小时了,1,0,0.337154,0.0,0.337154,28.328834
ns打了110,1,0,0.337154,0.0,0.337154,28.328834
nullreferenceexception,1,0,0.337154,0.0,0.337154,28.328834
object,1,0,0.337154,0.0,0.337154,28.328834
one,1,0,0.337154,0.0,0.337154,28.328834
platform,1,0,0.337154,0.0,0.337154,28.328834
ps4版还做了全成就,1,0,0.337154,0.0,0.337154,28.328834
pvp没人了,1,0,0.337154,0.0,0.337154,28.328834
q1,1,0,0.337154,0.0,0.337154,28.328834
q2,1,0,0.337154,0.0,0.337154,28.328834
q3,1,0,0.337154,0.0,0.337154,28.328834
q4,1,0,0.337154,0.0,0.337154,28.328834
q5,1,0,0.337154,0.0,0.337154,28.328834
rpg里的杂兵原则,1,0,0.337154,0.0,0.337154,28.328834
sacrifice,1,0,0.337154,0.0,0.337154,28.328834
salt,1,0,0.337154,0.0,0.337154,28.328834
sanctuary,1,0,0.337154,0.0,0.337154,28.328834
say,1,0,0.337154,0.0,0.337154,28.328834
sender,1,0,0.337154,0.0,0.337154,28.328834
set_active,1,0,0.337154,0.0,0.337154,28.328834
ska我阐述你的梦,1,0,0.337154,0.0,0.337154,28.328834
sososo,1,0,0.337154,0.0,0.337154,28.328834
steam,1,0,0.337154,0.0,0.337154,28.328834
steampowered,1,0,0.337154,0.0,0.337154,28.328834
steam上最棒的可在线联机类银河恶魔城游戏,1,0,0.337154,0.0,0.337154,28.328834
steam把我档吞了,1,0,0.337154,0.0,0.337154,28.328834
steam版买来支持一下制作组,1,0,0.337154,0.0,0.337154,28.328834
still,1,0,0.337154,0.0,0.337154,28.328834
store,1,0,0.337154,0.0,0.337154,28.328834
then,1,0,0.337154,0.0,0.337154,28.328834
though,1,0,0.337154,0.0,0.337154,28.328834
tmd弹反怎么一点正面收益都没有,1,0,0.337154,0.0,0.337154,28.328834
today,1,0,0.337154,0.0,0.337154,28.328834
torturing,1,0,0.337154,0.0,0.337154,28.328834
value,1,0,0.337154,0.0,0.337154,28.328834
was,1,0,0.337154,0.0,0.337154,28.328834
what,1,0,0.337154,0.0,0.337154,28.328834
winformsgameform,1,0,0.337154,0.0,0.337154,28.328834
