rank,bigram,frequency,relative_frequency_per_1000_bigrams
1,找法师 找法师,6,1.819836
2,开新图 找法师,3,0.909918
3,去其精华 取其糟粕,2,0.606612
4,不要买 不要买,2,0.606612
5,找法师 追法师,2,0.606612
6,追法师 追法师,2,0.606612
7,追法师 杀法师,2,0.606612
8,杀法师 开新图,2,0.606612
9,进新地图 找法师,2,0.606612
10,找法师 开门,2,0.606612
11,tr tr,2,0.606612
12,tr td,2,0.606612
13,td tr,2,0.606612
14,因为引入怪猎的 换区,2,0.606612
15,换区 机制,2,0.606612
16,机制 为了给boss换区服务而严重影响类恶魔城地图设计的水准,2,0.606612
17,为了给boss换区服务而严重影响类恶魔城地图设计的水准 感受不到精妙的连接和机关,2,0.606612
18,感受不到精妙的连接和机关 就是,2,0.606612
19,就是 小巷子通向各个大区域,2,0.606612
20,小巷子通向各个大区域 探图无聊,2,0.606612
21,怪物设计偷懒 改为地图守关boss,2,0.606612
22,改为地图守关boss 无限刷新的同质化boss,2,0.606612
23,无限刷新的同质化boss 有些不伦不类,2,0.606612
24,有些不伦不类 并且boss几乎都是,2,0.606612
25,并且boss几乎都是 召唤小怪,2,0.606612
26,召唤小怪 发射物,2,0.606612
27,发射物 近战武器拍一下,2,0.606612
28,近战武器拍一下 战斗无聊,2,0.606612
29,角色韧性设置很奇怪 被怪打飞,2,0.606612
30,被怪打飞 被机关创飞,2,0.606612
31,创建角色界面只显示职业名字 武器,2,0.606612
32,武器 但是却不显示各职业的属性,2,0.606612
33,缆车 毫无新意,2,0.606612
34,毫无新意 并且只能在,2,0.606612
35,并且只能在 双脚站立与地面,2,0.606612
36,双脚站立与地面 时才能交互,2,0.606612
37,时才能交互 改成,2,0.606612
38,改成 在起点范围内即可交互,2,0.606612
39,在起点范围内即可交互 玩家的体验会更舒畅,2,0.606612
40,玩家的体验会更舒畅 平台召唤,2,0.606612
41,平台召唤 类似一代的火把平台,2,0.606612
42,类似一代的火把平台 毫无新意,2,0.606612
43,作为一代的老粉丝不得不说续作完全偏离的我的期待 有很多改变但是感觉都没有做好,2,0.606612
44,有很多改变但是感觉都没有做好 然而游戏本身的,2,0.606612
45,然而游戏本身的 探索,2,0.606612
46,探索 又有一定的吸引力,2,0.606612
47,如果不是一代的粉丝 被画面吸引,2,0.606612
48,被画面吸引 那么请去玩一代,2,0.606612
49,那么请去玩一代 如果是一代粉丝,2,0.606612
50,如果是一代粉丝 那么本作是无法满足你对延续前作体验的期待的,2,0.606612
51,那么本作是无法满足你对延续前作体验的期待的 可以半价再入,2,0.606612
52,平庸之作 虽然也有点可取之处但坏在它作为盐的后续作品实在不够合格,1,0.303306
53,在雪山狩猎法师老刷新那个死妈羊头 是不是觉得爬山的时候给你爹直接一头创死很好玩,1,0.303306
54,是不是觉得爬山的时候给你爹直接一头创死很好玩 草拟司马,1,0.303306
55,草拟司马 垃圾游戏,1,0.303306
56,垃圾游戏 不推荐,1,0.303306
57,不推荐 打完立马卸载,1,0.303306
58,打完立马卸载 垃圾玩意,1,0.303306
59,时隔几年在来玩这游戏 果然还是大粪游戏,1,0.303306
60,果然还是大粪游戏 冠军那个图的怪物设计和地图陷阱,1,0.303306
61,冠军那个图的怪物设计和地图陷阱 妥妥的大粪,1,0.303306
62,妥妥的大粪 喜欢我天花板跳下来一大堆匕首怪吗,1,0.303306
63,喜欢我天花板跳下来一大堆匕首怪吗 你的重甲在匕首怪面前和纸一样,1,0.303306
64,你的重甲在匕首怪面前和纸一样 一个投技后在你倒地起身的时候又是一顿输出,1,0.303306
65,一个投技后在你倒地起身的时候又是一顿输出 匕首怪普通攻击打你刀刀出硬直,1,0.303306
66,匕首怪普通攻击打你刀刀出硬直 真的恶心至极,1,0.303306
